,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'brain coral', 'quilt', 'park bench', 'shower curtain']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,koala,"['koala', 'chainlink fence', 'plastic bag', 'porcupine', 'corn']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,teddy,"['teddy', 'giant panda', 'pug', 'sea lion', 'otter']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,American alligator,"['American alligator', 'black swan', 'head cabbage', 'hippopotamus', 'cannon']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,American alligator,"['American alligator', 'ant', 'crayfish', 'hippopotamus', 'dung beetle']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,albatross,"['albatross', 'chain mail', 'velvet', 'peacock', 'swimming trunks']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'proboscis monkey', 'hip', 'hummingbird', 'nematode']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,comic book,"['comic book', 'envelope', 'plastic bag', 'book jacket', 'jersey']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,koala,"['koala', 'chainlink fence', 'pencil sharpener', 'nematode', 'limpkin']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,orange,"['orange', 'Granny Smith', 'golf ball', 'gong', 'balloon']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,electric ray,"['electric ray', 'stingray', 'brain coral', 'book jacket', 'coral reef']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,maze,"['maze', 'honeycomb', 'ear', 'leaf beetle', 'apiary']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,nematode,"['nematode', 'comic book', 'head cabbage', 'bottlecap', 'pick']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,black swan,"['black swan', 'American alligator', 'velvet', 'shower curtain', 'park bench']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,spider web,"['spider web', 'shower curtain', 'handkerchief', 'velvet', 'coral reef']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'maze', 'folding chair', 'chain', 'pick']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,book jacket,"['book jacket', 'tiger', 'chow', 'comic book', 'recreational vehicle']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'slide rule', 'analog clock', 'magnetic compass', 'scale']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,envelope,"['envelope', 'comic book', 'handkerchief', 'web site', 'prayer rug']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,koala,"['koala', 'porcupine', 'vulture', 'bald eagle', 'kite']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,shower curtain,"['shower curtain', 'doormat', 'velvet', 'orange', 'tray']"
