,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,sarong,"['sarong', 'hoopskirt', 'drum', 'plastic bag', 'overskirt']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'brassiere', 'parachute', 'comic book', 'red wine']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,bow,"['bow', 'theater curtain', 'whistle', 'hair slide', 'quill']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'American lobster', 'king crab', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,barrel,"['barrel', 'punching bag', 'pick', 'shower cap', 'clog']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,doormat,"['doormat', 'sleeping bag', 'cloak', 'hoopskirt', 'brassiere']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'ocarina', 'ski mask', 'quill', 'sarong']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'tiger', 'book jacket', 'Egyptian cat', 'banana']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'maraca', 'hatchet', 'buckle', 'scabbard']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'brassiere', 'quill', 'red wine']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,book jacket,"['book jacket', 'sarong', 'jersey', 'sleeping bag', 'diaper']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'pick', 'water jug', 'whistle', 'pitcher']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'quill', 'red wine', 'maraca', 'comic book']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,maraca,"['maraca', 'red wine', 'leatherback turtle', 'shower cap', 'terrapin']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,pick,"['pick', 'barrel', 'shower cap', 'wall clock', 'puck']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hatchet,"['hatchet', 'table lamp', 'nail', 'crutch', 'hand blower']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,maraca,"['maraca', 'hair slide', 'banana', 'stole', 'hatchet']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,shower cap,"['shower cap', 'sweatshirt', 'binoculars', 'ski mask', 'pick']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,hair slide,"['hair slide', 'thimble', 'buckle', 'spaghetti squash', 'bottlecap']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,binder,"['binder', 'cassette', 'oil filter', 'power drill', 'space heater']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,jersey,"['jersey', 'sleeping bag', 'brassiere', 'clog', 'quill']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'forklift', 'cassette', 'vending machine', 'mousetrap']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,throne,"['throne', 'buckle', 'folding chair', 'comic book', 'rocking chair']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,shield,"['shield', 'buckle', 'thimble', 'wall clock', 'orange']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'scorpion', 'banded gecko', 'African chameleon', 'comic book']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,clumber,"['clumber', 'Chesapeake Bay retriever', 'muzzle', 'Labrador retriever', 'bloodhound']"
