,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'honeycomb', 'hen-of-the-woods', 'gyromitra']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'head cabbage', 'eggnog', 'custard apple', 'hip']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'spotlight', 'holster', 'can opener', 'bow']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,Boston bull,"['Boston bull', 'Appenzeller', 'muzzle', 'Siamese cat', 'English foxhound']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,cauliflower,"['cauliflower', 'conch', 'Sealyham terrier', 'plastic bag', 'Siamese cat']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'space shuttle', 'parachute', 'airliner', 'projectile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Boston bull,"['Boston bull', 'Brittany spaniel', 'American Staffordshire terrier', 'Siamese cat', 'English springer']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'triceratops', 'curly-coated retriever', 'hip', 'parachute']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'isopod', 'tarantula']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'black stork', 'American coot', 'albatross', 'oystercatcher']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'candle', 'tray', 'ice lolly', 'lipstick']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,head cabbage,"['head cabbage', 'tailed frog', 'hen-of-the-woods', 'cauliflower', 'barn spider']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,honeycomb,"['honeycomb', 'conch', 'head cabbage', 'ear', 'puffer']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,coho,"['coho', 'kite', 'platypus', 'hummingbird', 'electric ray']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Siamese cat,"['Siamese cat', 'capuchin', 'Sealyham terrier', 'wire-haired fox terrier', 'Chihuahua']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,night snake,"['night snake', 'sea snake', 'rock python', 'vine snake', 'water snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,muzzle,"['muzzle', 'hair slide', 'clog', 'violin', 'cello']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'conch', 'electric ray', 'hog', 'hen-of-the-woods']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,muzzle,"['muzzle', 'parachute', 'stretcher', 'sleeping bag', 'power drill']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pedestal', 'violin']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'Indian cobra', 'knot', 'stinkhorn']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'cash machine', 'printer', 'switch', 'sewing machine']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,bloodhound,"['bloodhound', 'hen-of-the-woods', 'red wolf', 'golden retriever', 'English foxhound']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,shower cap,"['shower cap', 'cauliflower', 'bakery', 'candle', 'strawberry']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ruffed grouse,"['ruffed grouse', 'black grouse', 'prairie chicken', 'ruddy turnstone', 'kite']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,hair slide,"['hair slide', 'velvet', 'bow tie', 'muzzle', 'parachute']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,Granny Smith,"['Granny Smith', 'mortar', 'packet', 'hair slide', 'broccoli']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'custard apple', 'cucumber']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,hog,"['hog', 'kite', 'ice bear', 'Siberian husky', 'Labrador retriever']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,Arabian camel,"['Arabian camel', 'Siamese cat', 'Border terrier', 'hog', 'wire-haired fox terrier']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,hare,"['hare', 'ibex', 'hen-of-the-woods', 'honeycomb', 'wombat']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,oxygen mask,"['oxygen mask', 'water jug', 'iron', 'gasmask', 'hair slide']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,ski,"['ski', 'chain saw', 'muzzle', 'hair slide', 'electric guitar']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,snow leopard,"['snow leopard', 'grey fox', 'tabby', 'plastic bag', 'lynx']"
