,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,nail,"['nail', 'hair slide', 'sea urchin', 'strawberry', 'ear']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'nail', 'Irish water spaniel', 'skunk', 'ear']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'skunk', 'screw', 'nail', 'isopod']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,parachute,"['parachute', 'hair slide', 'nail', 'ear', 'Band Aid']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,corkscrew,"['corkscrew', 'nematode', 'sea snake', 'tick', 'whistle']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'parachute', 'sea urchin', 'nail', 'hip']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'nail', 'ear', 'doormat', 'Band Aid']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'Irish water spaniel', 'nail', 'skunk', 'hip']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'ear', 'nail', 'Band Aid', 'doormat']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,nail,"['nail', 'hip', 'screw', 'barn spider', 'isopod']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,hair slide,"['hair slide', 'nail', 'doormat', 'ear', 'Kerry blue terrier']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,isopod,"['isopod', 'screw', 'ant', 'American alligator', 'banded gecko']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'isopod', 'black and gold garden spider']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,parachute,"['parachute', 'doormat', 'hair slide', 'hip', 'pick']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'nail', 'honeycomb', 'doormat', 'matchstick']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,web site,"['web site', 'parachute', 'toucan', 'maypole', 'envelope']"
