,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'abaya', 'doormat', 'ant', 'pick']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'screw', 'strainer']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,nail,"['nail', 'screw', 'jigsaw puzzle', 'envelope', 'pole']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,nail,"['nail', 'hair slide', 'sea urchin', 'honeycomb', 'screw']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,envelope,"['envelope', 'hair slide', 'nail', 'parachute', 'Band Aid']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'nail', 'screw', 'hair slide', 'loupe']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,nail,"['nail', 'honeycomb', 'doormat', 'pole', 'jigsaw puzzle']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'nail', 'pick', 'screw', 'vase']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nail,"['nail', 'screw', 'parachute', 'banded gecko', 'nematode']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'jigsaw puzzle', 'pole', 'nail']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'jigsaw puzzle', 'envelope', 'nail', 'loupe']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'nail', 'jigsaw puzzle', 'screw', 'hair slide']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,honeycomb,"['honeycomb', 'nail', 'hair slide', 'pole', 'Band Aid']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,nail,"['nail', 'screw', 'envelope', 'hair slide', 'isopod']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'nail', 'wallet', 'pole', 'hair slide']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,envelope,"['envelope', 'vase', 'jigsaw puzzle', 'pole', 'nail']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nail,"['nail', 'ear', 'hair slide', 'envelope', 'screw']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'loupe', 'ant', 'nematode', 'parachute']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,nail,"['nail', 'envelope', 'hair slide', 'parachute', 'screw']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'hair slide', 'nail', 'handkerchief', 'pick']"
