,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ice bear', 'coral fungus', 'bassinet', 'Great Pyrenees']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'buckle', 'chain', 'Windsor tie']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,honeycomb,"['honeycomb', 'cockroach', 'hen-of-the-woods', 'apiary', 'overskirt']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,swimming trunks,"['swimming trunks', 'Pembroke', 'hen-of-the-woods', 'seashore', 'goldfish']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,centipede,"['centipede', 'beer bottle', 'velvet', 'screw', 'shoe shop']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,oil filter,"['oil filter', 'lawn mower', 'chain', 'dumbbell', 'projector']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'violin', 'lumbermill', 'restaurant', 'beer bottle']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,candle,"['candle', 'coral fungus', 'bell pepper', 'butternut squash', 'conch']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'turnstile', 'recreational vehicle', 'microwave', 'perfume']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'jigsaw puzzle', 'coral reef', 'apiary']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'mushroom', 'jackfruit', 'bakery']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,violin,"['violin', 'oxygen mask', 'conch', 'panpipe', 'clog']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,corn,"['corn', 'paper towel', 'daisy', 'honeycomb', 'bee']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'komondor', 'swab', 'stole']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'coral reef', 'Dutch oven', 'corn', 'potpie']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'mask', 'oxygen mask', 'honeycomb', 'centipede']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'bittern', 'ruffed grouse', 'limpkin', 'acorn']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'plastic bag', 'whiptail', 'West Highland white terrier', 'standard schnauzer']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'brain coral', 'paper towel', 'tray']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'head cabbage', 'hen-of-the-woods', 'potpie', 'mashed potato']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coho', 'water ouzel', 'whiptail', 'agama']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'plane', 'dumbbell', 'library', 'bookshop']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,coral reef,"['coral reef', 'velvet', 'sea slug', 'cauliflower', 'sea cucumber']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'coil', 'hen-of-the-woods', 'maze', 'water ouzel']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'bighorn', 'sea lion', 'ram', 'mushroom']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,missile,"['missile', 'aircraft carrier', 'bulletproof vest', 'assault rifle', 'projectile']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,file,"['file', 'shoe shop', 'wine bottle', 'warplane', 'aircraft carrier']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'papillon', 'hamster', 'miniature schnauzer', 'wool']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,Irish terrier,"['Irish terrier', 'Afghan hound', 'Blenheim spaniel', 'cocker spaniel', 'golden retriever']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,conch,"['conch', 'honeycomb', 'hen-of-the-woods', 'bakery', 'pizza']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'refrigerator', 'medicine chest', 'toilet seat', 'power drill']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'breakwater', 'oystercatcher', 'jellyfish', 'mushroom']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,tiger,"['tiger', 'tiger cat', 'hen-of-the-woods', 'honeycomb', 'jigsaw puzzle']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'hen-of-the-woods', 'tiger cat', 'grey fox', 'Madagascar cat']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,lumbermill,"['lumbermill', 'hammer', 'vault', 'hatchet', 'plane']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'cabbage butterfly', 'honeycomb', 'wool']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,Old English sheepdog,"['Old English sheepdog', 'Shih-Tzu', 'malamute', 'missile', 'indri']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral reef', 'jigsaw puzzle', 'mushroom']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,jackfruit,"['jackfruit', 'corn', 'bell pepper', 'ear', 'Granny Smith']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,sea anemone,"['sea anemone', 'velvet', 'honeycomb', 'toilet seat', 'chow']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,plane,"['plane', 'restaurant', 'holster', 'dining table', 'hamper']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,honeycomb,"['honeycomb', 'sewing machine', 'desk', 'shower curtain', 'file']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,honeycomb,"['honeycomb', 'coral reef', 'stone wall', 'artichoke', 'cauliflower']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,cash machine,"['cash machine', 'tank', 'photocopier', 'recreational vehicle', 'file']"
