,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,hair slide,"['hair slide', 'sea urchin', 'nail', 'mitten', 'bottlecap']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'parachute', 'nail', 'jigsaw puzzle', 'balloon']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'parachute', 'starfish', 'nail', 'barn spider']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,hair slide,"['hair slide', 'nail', 'chain mail', 'safety pin', 'diaper']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,parachute,"['parachute', 'tick', 'corkscrew', 'scorpion', 'hook']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'nail', 'broccoli', 'buckle', 'parachute']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'nail', 'strainer', 'barn spider', 'matchstick']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'mitten', 'handkerchief', 'nail', 'matchstick']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,hair slide,"['hair slide', 'swab', 'web site', 'jigsaw puzzle', 'doormat']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,tick,"['tick', 'ant', 'barn spider', 'Scottish deerhound', 'banded gecko']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,strainer,"['strainer', 'hair slide', 'balloon', 'broccoli', 'matchstick']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ant,"['ant', 'hair slide', 'parachute', 'envelope', 'screw']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'wolf spider', 'scorpion', 'spider web']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'ant', 'handkerchief', 'web site', 'doormat']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'strainer', 'wall clock', 'ant', 'swab']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'tick', 'handkerchief', 'doormat', 'warplane']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,nail,"['nail', 'hair slide', 'matchstick', 'ant', 'tick']"
