,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,wall clock,"['wall clock', 'vase', 'backpack', 'fire screen', 'book jacket']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'brassiere', 'banana', 'sea cucumber', 'lemon']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,ski,"['ski', 'sleeping bag', 'brassiere', 'banana', 'theater curtain']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'American lobster', 'scorpion']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,bucket,"['bucket', 'caldron', 'chain mail', 'manhole cover', 'diaper']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,sleeping bag,"['sleeping bag', 'swab', 'brassiere', 'book jacket', 'shovel']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,maraca,"['maraca', 'wool', 'sleeping bag', 'ski mask', 'bath towel']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,standard poodle,"['standard poodle', 'comic book', 'Egyptian cat', 'caldron', 'swab']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hatchet,"['hatchet', 'maraca', 'clog', 'bolo tie', 'unicycle']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'sea slug', 'flatworm', 'mitten']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,sleeping bag,"['sleeping bag', 'velvet', 'book jacket', 'cauliflower', 'pillow']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'doormat', 'pitcher', 'bucket', 'whistle']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'lemon', 'flatworm', 'mitten']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,brassiere,"['brassiere', 'leatherback turtle', 'maraca', 'manhole cover', 'parachute']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', ""jack-o'-lantern"", 'maraca', 'sombrero', 'lighter']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,maraca,"['maraca', 'mortarboard', 'hook', 'broom', 'hand blower']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,nail,"['nail', 'maraca', 'sea cucumber', 'Christmas stocking', 'stole']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,cauliflower,"['cauliflower', 'caldron', 'sweatshirt', 'head cabbage', 'sleeping bag']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,dishrag,"['dishrag', 'doormat', 'wool', 'parachute', 'swab']"
