,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'manhole cover', 'ice lolly', 'shovel', 'chain saw']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,pedestal,"['pedestal', 'chain saw', 'shovel', 'soap dispenser', 'toilet seat']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,ski mask,"['ski mask', 'knee pad', 'bearskin', 'sleeping bag', 'cowboy boot']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'limpkin', 'ibex', 'ostrich', 'water ouzel']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,ice lolly,"['ice lolly', 'quill', 'sleeping bag', 'mitten', 'cloak']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,affenpinscher,"['affenpinscher', 'American black bear', 'standard poodle', 'schipperke', 'Newfoundland']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,affenpinscher,"['affenpinscher', 'shovel', 'ibex', 'white wolf', 'Newfoundland']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'mailbag', 'caldron', 'water jug', 'binder']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,affenpinscher,"['affenpinscher', 'curly-coated retriever', 'schipperke', 'flat-coated retriever', 'caldron']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,sloth bear,"['sloth bear', 'American black bear', 'electric ray', 'Newfoundland', 'hair slide']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'black and gold garden spider', 'ground beetle']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'frying pan', 'toilet seat', 'caldron', 'bathing cap']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,sunglass,"['sunglass', 'shovel', 'spotlight', 'racket', 'maraca']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,howler monkey,"['howler monkey', 'siamang', 'capuchin', 'chimpanzee', 'indri']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,nail,"['nail', 'stopwatch', 'capuchin', 'shovel', 'affenpinscher']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,quill,"['quill', 'ibex', 'tailed frog', 'indri', 'space shuttle']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,caldron,"['caldron', 'frying pan', 'nail', 'knee pad', 'spotlight']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,envelope,"['envelope', 'cleaver', 'binder', 'quill', 'shovel']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,mink,"['mink', 'coyote', 'white wolf', 'cleaver', 'sunglass']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'ground beetle', 'garden spider', 'black and gold garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,American black bear,"['American black bear', 'sloth bear', 'Newfoundland', 'caldron', 'Egyptian cat']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hair slide,"['hair slide', 'electric ray', 'pedestal', 'vase', 'triumphal arch']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,corkscrew,"['corkscrew', 'quill', 'buckeye', 'envelope', 'ibex']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'hook', 'guillotine', 'pole', 'hammer']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,affenpinscher,"['affenpinscher', 'schipperke', 'Newfoundland', 'Egyptian cat', 'white wolf']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,caldron,"['caldron', 'toilet seat', 'frying pan', 'knee pad', 'nail']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,nematode,"['nematode', 'hair slide', 'hook', 'knot', 'safety pin']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hammer,"['hammer', 'corkscrew', 'hook', 'hatchet', 'sunglass']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'affenpinscher', 'ibex', 'American black bear', 'Egyptian cat']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,spotlight,"['spotlight', 'muzzle', 'nail', 'chain saw', 'whistle']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,ibex,"['ibex', 'bison', 'schipperke', 'mink', 'ostrich']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,nail,"['nail', 'wreck', 'spotlight', 'warplane', 'airliner']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,affenpinscher,"['affenpinscher', 'shovel', 'Arabian camel', 'pedestal', 'spotlight']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,howler monkey,"['howler monkey', 'tick', 'banded gecko', 'capuchin', 'indri']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,Newfoundland,"['Newfoundland', 'caldron', 'affenpinscher', 'cloak', 'ibex']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,shovel,"['shovel', 'mailbag', 'diaper', 'knee pad', 'manhole cover']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,quill,"['quill', 'cleaver', 'hair slide', 'white wolf', 'ibex']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,airship,"['airship', 'quill', 'warplane', 'nail', 'mortarboard']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,caldron,"['caldron', 'frying pan', 'knee pad', 'quill', 'nail']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,barn spider,"['barn spider', 'tarantula', 'garden spider', 'tick', 'ground beetle']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,manhole cover,"['manhole cover', 'caldron', 'chain mail', 'ice lolly', 'shovel']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,Siamese cat,"['Siamese cat', 'mailbag', 'nematode', 'albatross', 'cleaver']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,chain saw,"['chain saw', 'nail', 'shovel', 'caldron', 'toilet seat']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'tick', 'tarantula', 'rhinoceros beetle', 'common newt']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,quill,"['quill', 'isopod', 'ibex', 'cloak', 'electric ray']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,affenpinscher,"['affenpinscher', 'schipperke', 'flat-coated retriever', 'curly-coated retriever', 'groenendael']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,shovel,"['shovel', 'mailbag', 'breastplate', 'knee pad', 'caldron']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,nail,"['nail', 'frying pan', 'gong', 'caldron', 'croquet ball']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,pedestal,"['pedestal', 'bow', 'caldron', 'ibex', 'corkscrew']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,quill,"['quill', 'limpkin', 'black stork', 'bearskin', 'spotlight']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,frying pan,"['frying pan', 'nail', 'nematode', 'face powder', 'caldron']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,shovel,"['shovel', 'ski mask', 'microphone', 'knee pad', 'toilet seat']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,airship,"['airship', 'airliner', 'warplane', 'projectile', 'assault rifle']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,bald eagle,"['bald eagle', 'chain saw', 'cleaver', 'ski', 'shovel']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,punching bag,"['punching bag', 'mailbag', 'ski mask', 'clog', 'caldron']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,shovel,"['shovel', 'ibex', 'hatchet', 'cleaver', 'revolver']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,knee pad,"['knee pad', 'caldron', 'quill', 'toilet seat', 'nail']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,folding chair,"['folding chair', 'studio couch', 'park bench', 'cradle', 'stretcher']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,quill,"['quill', 'caldron', 'shovel', 'spotlight', 'electric ray']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,spotlight,"['spotlight', 'corkscrew', 'electric ray', 'cleaver', 'hook']"
