,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'head cabbage', 'cauliflower', 'honeycomb']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'head cabbage', 'custard apple', 'Granny Smith', 'honeycomb']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'holster', 'sewing machine', 'bow', 'revolver']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Saint Bernard', 'English foxhound', 'isopod', 'Siamese cat']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,Siamese cat,"['Siamese cat', 'hog', 'Sealyham terrier', 'kuvasz', 'clumber']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'space shuttle', 'projectile', 'airliner', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,breastplate,"['breastplate', 'cuirass', 'diaper', 'Chihuahua', 'papillon']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Newfoundland', 'affenpinscher', 'Bouvier des Flandres', 'Leonberg']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'isopod', 'tarantula', 'tick']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'hen-of-the-woods', 'albatross', 'kite', 'black stork']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'candle', 'stinkhorn', 'tray', 'velvet']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tailed frog', 'head cabbage', 'pot', 'gyromitra']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'jellyfish', 'electric ray', 'honeycomb', 'stinkhorn']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,electric ray,"['electric ray', 'can opener', 'platypus', 'bow', 'kite']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Siamese cat,"['Siamese cat', 'wire-haired fox terrier', 'proboscis monkey', 'Saint Bernard', 'English foxhound']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'night snake', 'water snake', 'nematode', 'sidewinder']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,muzzle,"['muzzle', 'violin', 'electric guitar', 'acoustic guitar', 'cello']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hog,"['hog', 'hippopotamus', 'hen-of-the-woods', 'Indian elephant', 'triceratops']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,stretcher,"['stretcher', 'crash helmet', 'ocarina', 'snowmobile', 'chain saw']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pedestal', 'nail']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'stinkhorn', 'sea slug', 'honeycomb']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'printer', 'microwave', 'safe', 'desk']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,bloodhound,"['bloodhound', 'English foxhound', 'red wolf', 'hen-of-the-woods', 'triceratops']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,Granny Smith,"['Granny Smith', 'head cabbage', 'strawberry', 'honeycomb', 'bagel']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ptarmigan,"['ptarmigan', 'ruffed grouse', 'prairie chicken', 'ruddy turnstone', 'black grouse']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,muzzle,"['muzzle', 'bow tie', 'hair slide', 'whistle', 'velvet']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,Granny Smith,"['Granny Smith', 'ocarina', 'hair slide', 'studio couch', 'tennis ball']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'coral reef', 'hen-of-the-woods', 'conch']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,Dandie Dinmont,"['Dandie Dinmont', 'Sealyham terrier', 'Siberian husky', 'whippet', 'Eskimo dog']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,Siamese cat,"['Siamese cat', 'Arabian camel', 'soft-coated wheaten terrier', 'bloodhound', 'Leonberg']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,wombat,"['wombat', 'Airedale', 'Lakeland terrier', 'hen-of-the-woods', 'honeycomb']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,oxygen mask,"['oxygen mask', 'gasmask', 'diaper', 'bulletproof vest', 'spotlight']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,can opener,"['can opener', 'muzzle', 'ski', 'electric ray', 'hair slide']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,fox squirrel,"['fox squirrel', 'grey fox', 'tabby', 'Airedale', 'ear']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,shower cap,"['shower cap', 'candle', 'face powder', 'stinkhorn', 'honeycomb']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,desk,"['desk', 'dining table', 'rotisserie', 'printer', 'face powder']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'candle', 'stinkhorn', 'chiton', 'television']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,Norwich terrier,"['Norwich terrier', 'Pembroke', 'bloodhound', 'Norfolk terrier', 'Chihuahua']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,triceratops,"['triceratops', 'bloodhound', 'Chesapeake Bay retriever', 'Arabian camel', 'earthstar']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Airedale,"['Airedale', 'Norwich terrier', 'red wolf', 'honeycomb', 'hen-of-the-woods']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,platypus,"['platypus', 'mink', 'knot', 'bow', 'leatherback turtle']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'stinkhorn', 'barn spider', 'gyromitra']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'Granny Smith', 'cauliflower', 'isopod', 'shower cap']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,German short-haired pointer,"['German short-haired pointer', 'muzzle', 'bloodhound', 'Indian elephant', 'bluetick']"
44,SilTex_rabbit_ILSVRC2012_val_00006108_st.jpg,fox squirrel,"['fox squirrel', 'coyote', 'wood rabbit', 'tabby', 'Egyptian cat']"
45,SilTex_squirrel_ILSVRC2012_val_00035501_st.jpg,African chameleon,"['African chameleon', 'fox squirrel', 'jacamar', 'frilled lizard', 'mink']"
46,SilTex_shoe_ILSVRC2012_val_00020303_st.jpg,muzzle,"['muzzle', 'bow', 'stretcher', 'scabbard', 'revolver']"
47,SilTex_lobster_ILSVRC2012_val_00002502_st.jpg,centipede,"['centipede', 'isopod', 'American lobster', 'ant', 'cricket']"
48,SilTex_frog_ILSVRC2012_val_00022660_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'artichoke', 'vase', 'ear', 'head cabbage']"
49,SilTex_flower_ILSVRC2012_val_00019320_st.jpg,plastic bag,"['plastic bag', 'paper towel', 'hair slide', 'diaper', 'daisy']"
50,SilTex_swine_ILSVRC2012_val_00016806_st.jpg,triceratops,"['triceratops', 'electric ray', 'mask', 'hog', 'breastplate']"
51,SilTex_spider_ILSVRC2012_val_00008805_st.jpg,barn spider,"['barn spider', 'black and gold garden spider', 'garden spider', 'wolf spider', 'spider web']"
52,SilTex_fish_ILSVRC2012_val_00032417_st.jpg,great white shark,"['great white shark', 'shower cap', 'barracouta', 'plastic bag', 'electric ray']"
53,SilTex_chair_ILSVRC2012_val_00041720_st.jpg,barber chair,"['barber chair', 'hamper', 'carton', 'plane', 'muzzle']"
54,SilTex_cabbage_ILSVRC2012_val_00005749_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'Granny Smith', 'shower cap', 'broccoli']"
55,SilTex_gun_ILSVRC2012_val_00012180_st.jpg,revolver,"['revolver', 'rifle', 'holster', 'assault rifle', 'power drill']"
56,SilTex_lemon_ILSVRC2012_val_00034286_st.jpg,lemon,"['lemon', 'Granny Smith', 'candle', 'bell pepper', 'hair slide']"
