,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'ice lolly', 'airship', 'swab', 'sea cucumber']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,bulletproof vest,"['bulletproof vest', 'analog clock', 'binoculars', 'academic gown', 'hook']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,quill,"['quill', 'bearskin', 'ice lolly', 'diaper', 'ski mask']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'bearskin', 'quill', 'water ouzel', 'American coot']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'ice lolly', 'Christmas stocking', 'three-toed sloth', 'megalith']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,American black bear,"['American black bear', 'giant schnauzer', 'Newfoundland', 'Egyptian cat', 'affenpinscher']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,quill,"['quill', 'skunk', 'matchstick', 'nail', 'platypus']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,mailbag,"['mailbag', 'whiskey jug', 'jersey', 'coffee mug', 'knee pad']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,standard poodle,"['standard poodle', 'curly-coated retriever', 'giant schnauzer', 'Arabian camel', 'neck brace']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,quill,"['quill', 'hair slide', 'matchstick', 'American black bear', 'sloth bear']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black and gold garden spider', 'tick', 'black widow', 'garden spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,electric ray,"['electric ray', 'pick', 'quill', 'ski mask', 'space heater']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,maraca,"['maraca', 'electric ray', 'quill', 'sunglass', 'matchstick']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,American black bear,"['American black bear', 'affenpinscher', 'Egyptian cat', 'capuchin', 'howler monkey']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,quill,"['quill', 'skunk', 'matchstick', 'giant schnauzer', 'Bouvier des Flandres']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,quill,"['quill', 'space shuttle', 'Egyptian cat', 'spotlight', 'Scotch terrier']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,quill,"['quill', 'electric ray', 'caldron', 'Petri dish', 'ski mask']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,envelope,"['envelope', 'wallet', 'binder', 'quill', 'space heater']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,quill,"['quill', 'bald eagle', 'nail', 'skunk', 'mitten']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'black widow', 'cockroach']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,piggy bank,"['piggy bank', 'ibex', 'triceratops', 'space heater', 'sweatshirt']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hair slide,"['hair slide', 'electric ray', 'vase', 'wall clock', 'conch']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'white stork', 'sea cucumber', 'bald eagle', 'feather boa']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'guillotine', 'hook', 'hourglass', 'pedestal']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'Egyptian cat', 'giant schnauzer', 'Scotch terrier']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,electric ray,"['electric ray', 'quill', 'ski mask', 'Petri dish', 'punching bag']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,safety pin,"['safety pin', 'hair slide', 'hook', 'ski mask', 'chain']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,maraca,"['maraca', 'hair slide', 'hammer', 'neck brace', 'matchstick']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,skunk,"['skunk', 'Arabian camel', 'Scotch terrier', 'American black bear', 'flat-coated retriever']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,hair slide,"['hair slide', 'matchstick', 'ski', 'broom', 'quill']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,vulture,"['vulture', 'bald eagle', 'ibex', 'goose', 'kite']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,warplane,"['warplane', 'kite', 'nail', 'banded gecko', 'space shuttle']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,indri,"['indri', 'giant schnauzer', 'affenpinscher', 'Irish water spaniel', 'Scotch terrier']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,American black bear,"['American black bear', 'banded gecko', 'howler monkey', 'black stork', 'capuchin']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,Newfoundland,"['Newfoundland', 'standard poodle', 'cloak', 'abaya', 'gorilla']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,hair slide,"['hair slide', 'ice lolly', 'cassette', 'electric ray', 'paper towel']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,quill,"['quill', 'electric ray', 'hair slide', 'nail', 'kite']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,spotlight,"['spotlight', 'photocopier', 'quill', 'airship', 'notebook']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,electric ray,"['electric ray', 'quill', 'ski mask', 'gasmask', 'rubber eraser']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,tick,"['tick', 'barn spider', 'isopod', 'hair slide', 'scorpion']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,academic gown,"['academic gown', 'electric ray', 'quill', 'ski mask', 'cloak']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,muzzle,"['muzzle', 'quill', 'mailbag', 'bolo tie', 'tennis ball']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,quill,"['quill', 'can opener', 'rule', 'nail', 'matchstick']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'tick', 'ant', 'isopod', 'indri']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,quill,"['quill', 'electric ray', 'isopod', 'cockroach', 'cloak']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,giant schnauzer,"['giant schnauzer', 'Egyptian cat', 'American black bear', 'standard poodle', 'Lakeland terrier']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,academic gown,"['academic gown', 'mailbag', 'quill', 'sweatshirt', 'mortarboard']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,electric ray,"['electric ray', 'gong', 'tick', 'quill', 'tennis ball']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,pedestal,"['pedestal', 'hoopskirt', 'quill', 'ibex', 'guillotine']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,limpkin,"['limpkin', 'quill', 'toucan', 'bearskin', 'American coot']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,electric ray,"['electric ray', 'space heater', 'puck', 'quill', 'face powder']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,quill,"['quill', 'ski mask', 'ice lolly', 'sweatshirt', 'cloak']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,warplane,"['warplane', 'airliner', 'space shuttle', 'wing', 'airship']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,airship,"['airship', 'bald eagle', 'sea cucumber', 'kite', 'quill']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,quill,"['quill', 'abaya', 'ski mask', 'cloak', 'standard poodle']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,quill,"['quill', 'nail', 'broom', 'megalith', 'diaper']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,quill,"['quill', 'electric ray', 'gasmask', 'ski mask', 'punching bag']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,rocking chair,"['rocking chair', 'folding chair', 'dining table', 'cradle', 'upright']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,quill,"['quill', 'ice lolly', 'electric ray', 'leatherback turtle', 'hair slide']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,neck brace,"['neck brace', 'paper towel', 'photocopier', 'theater curtain', 'doormat']"
60,Sil_pineapple_ILSVRC2012_val_00024461_s.jpg,vase,"['vase', 'quill', 'ibex', 'cloak', 'pedestal']"
61,Sil_hammer_ILSVRC2012_val_00032002_s.jpg,nail,"['nail', 'broom', 'spatula', 'matchstick', 'hatchet']"
62,Sil_shoe_ILSVRC2012_val_00034558_s.jpg,sunglass,"['sunglass', 'quill', 'hair slide', 'safety pin', 'muzzle']"
63,Sil_helmet_ILSVRC2012_val_00047186_s.jpg,ski mask,"['ski mask', 'sweatshirt', 'gasmask', 'Newfoundland', 'abaya']"
64,Sil_strawberry_ILSVRC2012_val_00031440_s.jpg,quill,"['quill', 'electric ray', 'ski mask', 'nail', 'academic gown']"
65,Sil_dog_ILSVRC2012_val_00010378_s.jpg,briard,"['briard', 'miniature poodle', 'standard poodle', 'affenpinscher', 'skunk']"
66,Sil_bellpepper_ILSVRC2012_val_00003536_s.jpg,quill,"['quill', 'cloak', 'ski mask', 'electric ray', 'academic gown']"
67,Sil_snail_ILSVRC2012_val_00018951_s.jpg,quill,"['quill', 'bearskin', 'isopod', 'electric ray', 'ice lolly']"
68,Sil_airplane_ILSVRC2012_val_00033920_s.jpg,airliner,"['airliner', 'warplane', 'bow', 'bald eagle', 'ski']"
69,Sil_tiger_ILSVRC2012_val_00015897_s.jpg,giant schnauzer,"['giant schnauzer', 'Egyptian cat', 'skunk', 'Bedlington terrier', 'American black bear']"
70,Sil_mushroom_ILSVRC2012_val_00021713_s.jpg,nail,"['nail', 'paintbrush', 'hand blower', 'matchstick', 'ski mask']"
71,Sil_chair_ILSVRC2012_val_00001953_s.jpg,rocking chair,"['rocking chair', 'folding chair', 'muzzle', 'barber chair', 'cradle']"
72,Sil_cabbage_ILSVRC2012_val_00027632_s.jpg,quill,"['quill', 'ibex', 'diaper', 'cuirass', 'nail']"
73,Sil_cat_ILSVRC2012_val_00001341_s.jpg,quill,"['quill', 'Egyptian cat', 'paper towel', 'ice lolly', 'American black bear']"
74,Sil_camel_ILSVRC2012_val_00011354_s.jpg,three-toed sloth,"['three-toed sloth', 'American black bear', 'Egyptian cat', 'Scotch terrier', 'ibex']"
75,Sil_elephant_ILSVRC2012_val_00011247_s.jpg,American black bear,"['American black bear', 'sloth bear', 'skunk', 'Newfoundland', 'bald eagle']"
76,Sil_cat_ILSVRC2012_val_00013550_s.jpg,American black bear,"['American black bear', 'giant schnauzer', 'sloth bear', 'skunk', 'flat-coated retriever']"
77,Sil_mushroom_ILSVRC2012_val_00040625_s.jpg,nail,"['nail', 'broom', 'hook', 'quill', 'matchstick']"
78,Sil_guitar_ILSVRC2012_val_00019484_s.jpg,maraca,"['maraca', 'electric ray', 'matchstick', 'hair slide', 'nail']"
79,Sil_snake_ILSVRC2012_val_00027631_s.jpg,scorpion,"['scorpion', 'hook', 'whistle', 'quill', 'tick']"
80,Sil_lobster_ILSVRC2012_val_00028657_s.jpg,quill,"['quill', 'American lobster', 'isopod', 'tick', 'mantis']"
81,Sil_flower_ILSVRC2012_val_00019320_s.jpg,hair slide,"['hair slide', 'greenhouse', 'electric ray', 'vase', 'leatherback turtle']"
82,Sil_guitar_ILSVRC2012_val_00036762_s.jpg,nail,"['nail', 'broom', 'hook', 'plunger', 'shovel']"
83,Sil_camel_ILSVRC2012_val_00015872_s.jpg,ibex,"['ibex', 'Arabian camel', 'curly-coated retriever', 'flat-coated retriever', 'bighorn']"
84,Sil_car_ILSVRC2012_val_00010455_s.jpg,ice lolly,"['ice lolly', 'megalith', 'quill', 'hair slide', 'doormat']"
85,Sil_dryer_ILSVRC2012_val_00046673_s.jpg,bow,"['bow', 'knot', 'padlock', 'binoculars', 'hair slide']"
86,Sil_fish_ILSVRC2012_val_00032417_s.jpg,quill,"['quill', 'pillow', 'sleeping bag', 'sea cucumber', 'megalith']"
87,Sil_lemon_ILSVRC2012_val_00045149_s.jpg,quill,"['quill', 'electric ray', 'ski mask', 'pick', 'bearskin']"
88,Sil_squirrel_ILSVRC2012_val_00023383_s.jpg,academic gown,"['academic gown', 'giant schnauzer', 'skunk', 'cloak', 'caldron']"
89,Sil_hammer_ILSVRC2012_val_00015583_s.jpg,quill,"['quill', 'nail', 'hair slide', 'broom', 'swab']"
90,Sil_crocodilian_ILSVRC2012_val_00038287_s.jpg,nail,"['nail', 'quill', 'matchstick', 'vulture', 'hook']"
