,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,mitten,"['mitten', 'sea urchin', 'doormat', 'rule', 'paintbrush']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'nail', 'doormat', 'honeycomb', 'paintbrush']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,screw,"['screw', 'hair slide', 'nail', 'isopod', 'ear']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,hair slide,"['hair slide', 'doormat', 'paintbrush', 'buckle', 'screw']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,parachute,"['parachute', 'hook', 'nematode', 'nail', 'screw']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'screw', 'bottlecap', 'sea urchin', 'doormat']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'nail', 'paintbrush', 'doormat', 'screw']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'mitten', 'hook', 'swab', 'nail']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'nail', 'paintbrush', 'doormat', 'envelope']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,tick,"['tick', 'barn spider', 'hip', 'parachute', 'ant']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,honeycomb,"['honeycomb', 'hip', 'doormat', 'sea urchin', 'hair slide']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'parachute', 'ant', 'airship', 'warplane']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'spider web', 'ant']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'ant', 'envelope', 'parachute', 'hip']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'matchstick', 'hip', 'nail']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,kite,"['kite', 'ant', 'airship', 'hip', 'obelisk']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hair slide,"['hair slide', 'tick', 'matchstick', 'hip', 'nail']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'cockroach', 'wolf spider']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'nail', 'hair slide', 'matchstick', 'mortarboard']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'ant', 'airship', 'hip']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'maypole', 'hair slide', 'matchstick']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,nail,"['nail', 'airship', 'hair slide', 'folding chair', 'screw']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,honeycomb,"['honeycomb', 'hair slide', 'doormat', 'matchstick', 'nail']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,hair slide,"['hair slide', 'sea urchin', 'nail', 'folding chair', 'hip']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,hair slide,"['hair slide', 'starfish', 'banded gecko', 'sea cucumber', 'Kerry blue terrier']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,hair slide,"['hair slide', 'poncho', 'web site', 'Gordon setter', 'doormat']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,sea urchin,"['sea urchin', 'screw', 'hip', 'hair slide', 'tick']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,hair slide,"['hair slide', 'screw', 'parachute', 'ant', 'airship']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nail,"['nail', 'paintbrush', 'broom', 'screw', 'hair slide']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,hip,"['hip', 'hair slide', 'vase', 'doormat', 'airship']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,hip,"['hip', 'honeycomb', 'sea urchin', 'isopod', 'airship']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,hip,"['hip', 'tick', 'barn spider', 'hair slide', 'dung beetle']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,barn spider,"['barn spider', 'hair slide', 'handkerchief', 'spider web', 'tick']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,hip,"['hip', 'buckeye', 'folding chair', 'hair slide', 'nail']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'hip', 'sea urchin', 'nail', 'doormat']"
