,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,hoopskirt,"['hoopskirt', 'fire screen', 'Windsor tie', 'gown', 'overskirt']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'pick', 'brassiere', 'shower cap', 'wallet']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,bassoon,"['bassoon', 'cassette', 'rifle', 'mailbag', 'chain saw']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,tick,"['tick', 'scorpion', 'rock crab', 'barn spider', 'king crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,shower cap,"['shower cap', 'manhole cover', 'punching bag', 'knee pad', 'sleeping bag']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,leatherback turtle,"['leatherback turtle', 'sleeping bag', 'book jacket', 'chain saw', 'brassiere']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,neck brace,"['neck brace', 'quill', 'mortarboard', 'isopod', 'sombrero']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'book jacket', 'head cabbage', 'cloak', 'groenendael']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,drum,"['drum', 'pick', 'maraca', 'bonnet', 'neck brace']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'leatherback turtle', 'buckle', 'doormat']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,head cabbage,"['head cabbage', 'book jacket', 'quill', 'cloak', 'buckeye']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'pick', 'carton', 'jersey', 'whistle']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,pick,"['pick', 'comic book', 'hair slide', 'quill', 'sleeping bag']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,head cabbage,"['head cabbage', 'leatherback turtle', 'maraca', 'brassiere', 'comic book']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,manhole cover,"['manhole cover', 'wall clock', 'pick', 'analog clock', 'leatherback turtle']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,maraca,"['maraca', 'scale', 'sewing machine', 'ocarina', 'nail']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,knot,"['knot', 'leatherback turtle', 'bonnet', 'stopwatch', 'maraca']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,quill,"['quill', 'binoculars', 'shower cap', 'sweatshirt', 'bathing cap']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,hair slide,"['hair slide', 'binder', 'spaghetti squash', 'spotlight', 'pencil sharpener']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,mousetrap,"['mousetrap', 'cassette', 'hard disc', 'envelope', 'binder']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,swab,"['swab', 'quill', 'paintbrush', 'sleeping bag', 'bathing cap']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'cassette', 'modem', 'hard disc', 'syringe']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,barber chair,"['barber chair', 'throne', 'skunk', 'doormat', 'fire screen']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,lemon,"['lemon', 'shield', 'manhole cover', 'drum', 'buckle']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'scorpion', 'banded gecko', 'crayfish', 'leatherback turtle']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Sussex spaniel,"['Sussex spaniel', 'clumber', 'Gordon setter', 'Labrador retriever', 'English springer']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,pick,"['pick', 'gong', 'toilet seat', 'electric ray', 'bathing cap']"
