,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'Arctic fox', 'coral reef', 'kuvasz']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'corkscrew', 'maze', ""carpenter's kit"", 'hook']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,doormat,"['doormat', 'honeycomb', 'hen-of-the-woods', 'wool', 'buckeye']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jay,"['jay', 'sea lion', 'indigo bunting', 'red-backed sandpiper', 'mortarboard']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,chiton,"['chiton', 'stole', 'honeycomb', 'candle', 'beer bottle']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'screen', 'oil filter', 'desk', 'dumbbell']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,restaurant,"['restaurant', 'shoe shop', 'beer bottle', 'butternut squash', 'lumbermill']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,jack-o'-lantern,"[""jack-o'-lantern"", 'butternut squash', 'coral fungus', 'bell pepper', 'orange']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'perfume', 'microwave', 'screen', 'turnstile']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,bee,"['bee', 'honeycomb', 'apiary', 'ruddy turnstone', 'goldfish']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'ear', 'apiary', 'wool']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,butternut squash,"['butternut squash', 'violin', 'sax', 'consomme', 'buckle']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,ringlet,"['ringlet', 'trifle', 'paper towel', 'daisy', 'toy poodle']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'komondor', 'ear', 'wool']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'zucchini', 'corn', 'head cabbage', 'Dutch oven']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,mask,"['mask', 'honeycomb', 'sea slug', 'chocolate sauce', 'piggy bank']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,acorn,"['acorn', 'buckeye', 'three-toed sloth', 'tailed frog', 'bolete']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'African grey', 'conch', 'mask', 'valley']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,cauliflower,"['cauliflower', 'head cabbage', 'brain coral', 'conch', 'hen-of-the-woods']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'corn', 'hen-of-the-woods', 'coral fungus', 'bee']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,king crab,"['king crab', 'hen-of-the-woods', 'Dungeness crab', 'coho', 'butcher shop']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,plane,"['plane', 'rifle', 'dumbbell', 'assault rifle', 'reel']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,coral reef,"['coral reef', 'sea anemone', 'goldfish', 'brain coral', 'velvet']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'ibex', 'seashore', 'grey fox', 'echidna']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'sea lion', 'ruffed grouse', 'stone wall', 'honeycomb']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,bulletproof vest,"['bulletproof vest', 'rifle', 'tank', 'military uniform', 'assault rifle']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,warplane,"['warplane', 'umbrella', 'coho', 'maze', 'shoe shop']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,Blenheim spaniel,"['Blenheim spaniel', 'Dandie Dinmont', 'Welsh springer spaniel', 'pizza', 'papillon']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,otterhound,"['otterhound', 'wool', 'Sussex spaniel', 'cocker spaniel', 'soft-coated wheaten terrier']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,conch,"['conch', 'hen-of-the-woods', 'plastic bag', 'cauliflower', 'honeycomb']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'refrigerator', 'medicine chest', 'toilet seat', 'switch']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,conch,"['conch', 'hog', 'hen-of-the-woods', 'plastic bag', 'Mexican hairless']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tiger', 'honeycomb', 'bee', 'shower curtain']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tiger', 'Madagascar cat', 'grey fox', 'vase']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,lumbermill,"['lumbermill', 'panpipe', 'jigsaw puzzle', 'organ', 'tile roof']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,buckeye,"['buckeye', 'apiary', 'honeycomb', 'ear', 'hen-of-the-woods']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,Old English sheepdog,"['Old English sheepdog', 'Shih-Tzu', 'Tibetan terrier', 'Cardigan', 'Angora']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'coral reef', 'conch', 'honeycomb']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,jackfruit,"['jackfruit', 'bell pepper', 'corn', 'Granny Smith', 'acorn']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'sea lion', 'shower curtain', 'Italian greyhound', 'velvet']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,hamper,"['hamper', 'restaurant', 'confectionery', 'jigsaw puzzle', 'bikini']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,shower curtain,"['shower curtain', 'refrigerator', 'honeycomb', 'oscilloscope', 'photocopier']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'coral reef', 'guacamole', 'artichoke', 'cauliflower']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,photocopier,"['photocopier', 'recreational vehicle', 'desk', 'file', 'medicine chest']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,maze,"['maze', 'plane', 'hammer', 'lumbermill', 'tile roof']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,shoe shop,"['shoe shop', 'tile roof', 'rifle', 'coho', 'sea lion']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'bee', 'hen-of-the-woods', 'apiary', 'wool']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,pineapple,"['pineapple', 'flatworm', 'Granny Smith', 'coral reef', 'spaghetti squash']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,coral reef,"['coral reef', 'sea anemone', 'swimming trunks', 'shower curtain', 'acorn']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,pineapple,"['pineapple', 'hen-of-the-woods', 'ear', 'corn', 'orange']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'sea lion', 'wool', 'ruffed grouse', 'honeycomb']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'conch', 'ear', 'plastic bag']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,corkscrew,"['corkscrew', 'rifle', 'pill bottle', ""carpenter's kit"", 'can opener']"
