,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,ant,"['ant', 'web site', 'matchstick', 'honeycomb', 'envelope']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,ant,"['ant', 'envelope', 'prayer rug', 'hair slide', 'web site']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,hair slide,"['hair slide', 'prayer rug', 'ant', 'wool', 'parachute']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,hair slide,"['hair slide', 'ant', 'face powder', 'strainer', 'ping-pong ball']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,envelope,"['envelope', 'hair slide', 'matchstick', 'nail', 'prayer rug']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,ant,"['ant', 'envelope', 'web site', 'hair slide', 'nematode']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,ant,"['ant', 'crane', 'strainer', 'balloon', 'airship']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'hair slide', 'ant', 'web site', 'nematode']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'chain', 'necklace', 'hair slide', 'whistle']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,envelope,"['envelope', 'honeycomb', 'lighter', 'prayer rug', 'nail']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,ant,"['ant', 'nematode', 'ping-pong ball', 'web site', 'matchstick']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,ant,"['ant', 'envelope', 'web site', 'hair slide', 'matchstick']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,hair slide,"['hair slide', 'nail', 'ant', 'Band Aid', 'honeycomb']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,ant,"['ant', 'lakeside', 'bald eagle', 'web site', 'airship']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'jigsaw puzzle', 'nematode']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,ant,"['ant', 'web site', 'envelope', 'matchstick', 'hair slide']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'envelope', 'prayer rug', 'matchstick', 'lighter']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,ant,"['ant', 'envelope', 'web site', 'nematode', 'parachute']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,balloon,"['balloon', 'crane', 'ant', 'airship', 'obelisk']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,ant,"['ant', 'nematode', 'strainer', 'web site', 'hook']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,ant,"['ant', 'web site', 'hook', 'nematode', 'chain']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'ant', 'lighter', 'web site', 'honeycomb']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,ant,"['ant', 'airship', 'nematode', 'web site', 'envelope']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,hair slide,"['hair slide', 'ant', 'nematode', 'envelope', 'matchstick']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'banded gecko', 'knot', 'chain', 'starfish']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,ant,"['ant', 'swing', 'hair slide', 'nail', 'strainer']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,ant,"['ant', 'nematode', 'envelope', 'chain', 'screw']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,ant,"['ant', 'hair slide', 'matchstick', 'envelope', 'strainer']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,web site,"['web site', 'matchstick', 'ant', 'tennis ball', 'nematode']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,ant,"['ant', 'strainer', 'web site', 'traffic light', 'envelope']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,hair slide,"['hair slide', 'nail', 'Band Aid', 'matchstick', 'rubber eraser']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,ant,"['ant', 'bald eagle', 'kite', 'balloon', 'nematode']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,nail,"['nail', 'parachute', 'screw', 'ant', 'hair slide']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,hair slide,"['hair slide', 'nail', 'ant', 'hip', 'matchstick']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,ant,"['ant', 'prayer rug', 'honeycomb', 'hair slide', 'strainer']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,hair slide,"['hair slide', 'nail', 'ant', 'face powder', 'honeycomb']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,ant,"['ant', 'web site', 'prayer rug', 'matchstick', 'nematode']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,hair slide,"['hair slide', 'ant', 'prayer rug', 'matchstick', 'honeycomb']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'corkscrew', 'hair slide', 'necklace', 'hook']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,hair slide,"['hair slide', 'ant', 'nematode', 'knot', 'parachute']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'ant', 'screw']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,screw,"['screw', 'envelope', 'ant', 'nail', 'web site']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,nail,"['nail', 'ant', 'nematode', 'hair slide', 'airship']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,rapeseed,"['rapeseed', 'ant', 'ping-pong ball', 'balloon', 'crane']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,hair slide,"['hair slide', 'nail', 'ant', 'nematode', 'handkerchief']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,hair slide,"['hair slide', 'pick', 'ant', 'matchstick', 'rubber eraser']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,ant,"['ant', 'hair slide', 'nail', 'matchstick', 'web site']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,hair slide,"['hair slide', 'ant', 'nail', 'matchstick', 'screw']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,ant,"['ant', 'swing', 'balloon', 'crane', 'web site']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,ant,"['ant', 'parachute', 'strainer', 'nematode', 'matchstick']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,ant,"['ant', 'nematode', 'hair slide', 'parachute', 'airship']"
51,Cro5dva_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,parachute,"['parachute', 'hair slide', 'screw', 'airship', 'nail']"
52,Cro5dva_v05_snail_ILSVRC2012_val_00001959_cs.jpg,ant,"['ant', 'nematode', 'nail', 'screw', 'hair slide']"
53,Cro5dva_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,nail,"['nail', 'hair slide', 'ant', 'screw', 'ear']"
54,Cro5dva_v05_bird_ILSVRC2012_val_00028363_cs.jpg,ant,"['ant', 'matchstick', 'nail', 'hair slide', 'web site']"
55,Cro5dva_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,ant,"['ant', 'prayer rug', 'web site', 'ping-pong ball', 'envelope']"
56,Cro5dva_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,ant,"['ant', 'honeycomb', 'nematode', 'hair slide', 'matchstick']"
57,Cro5dva_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,ant,"['ant', 'hair slide', 'hip', 'face powder', 'strainer']"
58,Cro5dva_v05_spider_ILSVRC2012_val_00029156_cs.jpg,bald eagle,"['bald eagle', 'ant', 'kite', 'lakeside', 'crane']"
59,Cro5dva_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'parachute', 'prayer rug']"
60,Cro5dva_v05_chair_ILSVRC2012_val_00004120_cs.jpg,hair slide,"['hair slide', 'pick', 'Band Aid', 'handkerchief', 'envelope']"
61,Cro5dva_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,hair slide,"['hair slide', 'ant', 'nail', 'matchstick', 'rubber eraser']"
62,Cro5dva_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,screw,"['screw', 'hair slide', 'nail', 'parachute', 'prayer rug']"
63,Cro5dva_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,hair slide,"['hair slide', 'ant', 'face powder', 'prayer rug', 'envelope']"
64,Cro5dva_v05_bear_ILSVRC2012_val_00038263_cs.jpg,ant,"['ant', 'honeycomb', 'nail', 'matchstick', 'strainer']"
65,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,parachute,"['parachute', 'ant', 'nematode', 'screw', 'hair slide']"
66,Cro5dva_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,ant,"['ant', 'strainer', 'prayer rug', 'web site', 'balloon']"
67,Cro5dva_v05_chair_ILSVRC2012_val_00012771_cs.jpg,ant,"['ant', 'envelope', 'parachute', 'hair slide', 'barn spider']"
68,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,hair slide,"['hair slide', 'ant', 'screw', 'ear', 'nematode']"
69,Cro5dva_v05_flower_ILSVRC2012_val_00039137_cs.jpg,ant,"['ant', 'hip', 'hair slide', 'strainer', 'nail']"
70,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,ant,"['ant', 'hair slide', 'nematode', 'web site', 'envelope']"
