,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'pick', 'hair slide', 'caldron', 'frying pan']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,conch,"['conch', 'abaya', 'quill', 'diaper', 'wall clock']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,sweatshirt,"['sweatshirt', 'ski mask', 'punching bag', 'bearskin', 'quill']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,water ouzel,"['water ouzel', 'caldron', 'limpkin', 'fire screen', 'standard poodle']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'sleeping bag', 'punching bag', 'sweatshirt', 'cleaver']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,American black bear,"['American black bear', 'standard poodle', 'giant schnauzer', 'curly-coated retriever', 'brown bear']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,quill,"['quill', 'flat-coated retriever', 'electric ray', 'Gordon setter', 'frying pan']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'sweatshirt', 'punching bag', 'oil filter', 'mailbag']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,curly-coated retriever,"['curly-coated retriever', 'standard poodle', 'miniature poodle', 'racket', 'punching bag']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,binoculars,"['binoculars', 'hair slide', 'neck brace', 'quill', 'sunglass']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'ant', 'black and gold garden spider', 'tick', 'garden spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'sweatshirt', 'nematode', 'caldron', 'tennis ball']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,hair slide,"['hair slide', 'sunglass', 'spatula', 'electric ray', 'maraca']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,American black bear,"['American black bear', 'siamang', 'indri', 'spider monkey', 'howler monkey']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,quill,"['quill', 'nematode', 'stopwatch', 'microphone', 'broom']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,quill,"['quill', 'sweatshirt', 'electric ray', 'American black bear', 'ski mask']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,frying pan,"['frying pan', 'sweatshirt', 'tennis ball', 'strawberry', 'caldron']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,cleaver,"['cleaver', 'quill', 'envelope', 'sleeping bag', 'binder']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,electric ray,"['electric ray', 'quill', 'hatchet', 'black stork', 'paper towel']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,ant,"['ant', 'tick', 'barn spider', 'cockroach', 'ground beetle']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,sweatshirt,"['sweatshirt', 'neck brace', 'ibex', 'caldron', 'jersey']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,wall clock,"['wall clock', 'digital clock', 'sweatshirt', 'black grouse', 'conch']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'white stork', 'feather boa', 'vulture', 'envelope']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'screw', 'hook', 'pole', 'tripod']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'Irish water spaniel', 'Labrador retriever', 'standard poodle']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,pick,"['pick', 'sweatshirt', 'nematode', 'caldron', 'strawberry']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,neck brace,"['neck brace', 'safety pin', ""jack-o'-lantern"", 'hook', 'ski mask']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hatchet,"['hatchet', 'neck brace', 'strainer', 'corkscrew', 'hammer']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'black grouse', 'hook', 'black-footed ferret', 'American black bear']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,binoculars,"['binoculars', 'hair slide', 'chain saw', 'punching bag', 'hook']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,electric ray,"['electric ray', 'ibex', 'curly-coated retriever', 'black grouse', 'quill']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,warplane,"['warplane', 'airliner', 'projectile', 'fire screen', 'hair slide']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,sweatshirt,"['sweatshirt', 'chain saw', 'hook', 'miniature poodle', 'revolver']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,banded gecko,"['banded gecko', 'groenendael', 'black-footed ferret', 'curly-coated retriever', 'platypus']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,abaya,"['abaya', 'curly-coated retriever', 'sweatshirt', 'cloak', 'standard poodle']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,sweatshirt,"['sweatshirt', 'neck brace', 'quill', 'hair slide', 'jersey']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,quill,"['quill', 'hair slide', 'electric ray', 'pick', 'chain saw']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,quill,"['quill', 'chain saw', 'abaya', 'bow', 'envelope']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,sweatshirt,"['sweatshirt', 'nematode', 'tennis ball', 'diaper', 'pick']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,ant,"['ant', 'tick', 'barn spider', 'electric fan', 'hair slide']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,sweatshirt,"['sweatshirt', 'quill', 'tennis ball', 'frying pan', 'diaper']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,hook,"['hook', 'quill', 'mailbag', 'nematode', 'gasmask']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,sweatshirt,"['sweatshirt', 'quill', 'punching bag', 'jersey', 'tennis ball']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,ant,"['ant', 'black stork', 'fire screen', 'banded gecko', 'rhinoceros beetle']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,quill,"['quill', 'electric ray', 'ant', 'ibex', 'ski mask']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,American black bear,"['American black bear', 'giant schnauzer', 'Egyptian cat', 'standard poodle', 'curly-coated retriever']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,sweatshirt,"['sweatshirt', 'mailbag', 'greenhouse', 'jersey', 'mortarboard']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,caldron,"['caldron', 'pick', 'gong', 'nematode', 'frying pan']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,pedestal,"['pedestal', 'jersey', 'oboe', 'corkscrew', 'abaya']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,quill,"['quill', 'ant', 'electric ray', 'ski mask', 'limpkin']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,pick,"['pick', 'nematode', 'sweatshirt', 'caldron', 'tennis ball']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,sweatshirt,"['sweatshirt', 'tennis ball', 'quill', 'jersey', 'strawberry']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,warplane,"['warplane', 'chain saw', 'airliner', 'projectile', 'kite']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,quill,"['quill', 'kite', 'chain saw', 'bow', 'black grouse']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,ski mask,"['ski mask', 'punching bag', 'sweatshirt', 'abaya', 'jersey']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,quill,"['quill', 'sweatshirt', 'neck brace', 'jersey', 'electric ray']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,tennis ball,"['tennis ball', 'caldron', 'electric ray', 'pick', 'quill']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,sweatshirt,"['sweatshirt', 'hook', 'guillotine', 'park bench', 'chain saw']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,quill,"['quill', 'caldron', 'jersey', 'electric ray', 'pick']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,jersey,"['jersey', 'sweatshirt', 'paper towel', 'hatchet', 'sunglass']"
60,Sil_pineapple_ILSVRC2012_val_00024461_s.jpg,racket,"['racket', 'curly-coated retriever', 'punching bag', 'pedestal', 'revolver']"
61,Sil_hammer_ILSVRC2012_val_00032002_s.jpg,nail,"['nail', 'hair slide', 'spatula', 'hook', 'sunglass']"
62,Sil_shoe_ILSVRC2012_val_00034558_s.jpg,sunglass,"['sunglass', 'quill', 'safety pin', 'hook', 'muzzle']"
63,Sil_helmet_ILSVRC2012_val_00047186_s.jpg,sweatshirt,"['sweatshirt', 'electric ray', 'cloak', 'neck brace', 'ski mask']"
64,Sil_strawberry_ILSVRC2012_val_00031440_s.jpg,diaper,"['diaper', 'caldron', 'strawberry', 'pick', 'quill']"
65,Sil_dog_ILSVRC2012_val_00010378_s.jpg,standard poodle,"['standard poodle', 'miniature poodle', 'sweatshirt', 'Irish water spaniel', 'quill']"
66,Sil_bellpepper_ILSVRC2012_val_00003536_s.jpg,sweatshirt,"['sweatshirt', 'ski mask', 'quill', 'diaper', 'electric ray']"
67,Sil_snail_ILSVRC2012_val_00018951_s.jpg,quill,"['quill', 'ski mask', 'bearskin', 'sweatshirt', 'electric ray']"
68,Sil_airplane_ILSVRC2012_val_00033920_s.jpg,airliner,"['airliner', 'warplane', 'space shuttle', 'projectile', 'bow']"
69,Sil_tiger_ILSVRC2012_val_00015897_s.jpg,indri,"['indri', 'electric ray', 'flat-coated retriever', 'racket', 'Arabian camel']"
70,Sil_mushroom_ILSVRC2012_val_00021713_s.jpg,pick,"['pick', 'electric ray', 'hatchet', 'spotlight', 'nail']"
