,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,sea urchin,"['sea urchin', 'purse', 'mitten', 'parachute', 'Band Aid']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'swab', 'parachute', 'ear', 'stole']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'screw', 'ear', 'swab', 'broom']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,parachute,"['parachute', 'hair slide', 'doormat', 'safety pin', 'chain mail']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nail,"['nail', 'screw', 'hook', 'parachute', 'chain']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'bottlecap', 'leatherback turtle', 'ear', 'buckle']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'ear', 'doormat', 'purse', 'screw']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'ear', 'mitten', 'necklace', 'screw']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'buckle', 'hair slide', 'stole', 'purse']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,ant,"['ant', 'hair slide', 'parachute', 'barn spider', 'doormat']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,honeycomb,"['honeycomb', 'skunk', 'swab', 'stole', 'face powder']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ant,"['ant', 'screw', 'banded gecko', 'American alligator', 'envelope']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,ant,"['ant', 'barn spider', 'tick', 'ground beetle', 'rhinoceros beetle']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,ant,"['ant', 'hair slide', 'screw', 'doormat', 'parachute']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,honeycomb,"['honeycomb', 'hair slide', 'swab', 'stole', 'web site']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'kite', 'doormat', 'airship', 'screw']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hair slide,"['hair slide', 'matchstick', 'hook', 'screw', 'nail']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'ant', 'tick', 'wolf spider', 'garden spider']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'ear', 'starfish', 'nail', 'leatherback turtle']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,traffic light,"['traffic light', 'swab', 'lakeside', 'ant', 'honeycomb']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'oboe', 'hook', 'broom', 'matchstick']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,hair slide,"['hair slide', 'screw', 'ear', 'nail', 'whistle']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,swab,"['swab', 'honeycomb', 'traffic light', 'wall clock', 'screw']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,hair slide,"['hair slide', 'doormat', 'screw', 'honeycomb', 'leatherback turtle']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,hair slide,"['hair slide', 'leatherback turtle', 'skunk', 'Kerry blue terrier', 'flatworm']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'ant', 'hair slide', 'web site', 'doormat']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,flatworm,"['flatworm', 'quill', 'sea urchin', 'ear', 'vase']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,screw,"['screw', 'hair slide', 'ant', 'swab', 'nail']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,hair slide,"['hair slide', 'ear', 'broom', 'starfish', 'screw']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,skunk,"['skunk', 'iPod', 'doormat', 'hair slide', 'web site']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,parachute,"['parachute', 'ant', 'matchstick', 'balloon', 'weevil']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,hair slide,"['hair slide', 'ear', 'nail', 'leatherback turtle', 'hip']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,hair slide,"['hair slide', 'barn spider', 'safety pin', 'handkerchief', 'ant']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,hair slide,"['hair slide', 'ant', 'leatherback turtle', 'swab', 'doormat']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'leatherback turtle', 'doormat', 'vase', 'screw']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,screw,"['screw', 'swab', 'ant', 'wall clock', 'vase']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,ringlet,"['ringlet', 'sea urchin', 'ear', 'cabbage butterfly', 'parachute']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,screw,"['screw', 'nematode', 'hair slide', 'hook', 'nail']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,flatworm,"['flatworm', 'ear', 'hair slide', 'quill', 'sea urchin']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,screw,"['screw', 'safety pin', 'parachute', 'hair slide', 'Christmas stocking']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,sea snake,"['sea snake', 'corkscrew', 'screw', 'hook', 'cheetah']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,hair slide,"['hair slide', 'skunk', 'doormat', 'paintbrush', 'ear']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,hair slide,"['hair slide', 'screw', 'ant', 'leatherback turtle', 'skunk']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,parachute,"['parachute', 'Kerry blue terrier', 'barn spider', 'ant', 'wire-haired fox terrier']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,stole,"['stole', 'swab', 'ear', 'honeycomb', 'plunger']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,flatworm,"['flatworm', 'ear', 'mitten', 'hair slide', 'plunger']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,quill,"['quill', 'ear', 'sea urchin', 'ant', 'cabbage butterfly']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'bottlecap', 'swab', 'sea urchin']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,snowmobile,"['snowmobile', 'swab', 'ant', 'ski', 'web site']"
49,Cro5dva_v07_frog_ILSVRC2012_val_00010287_cd.jpg,hair slide,"['hair slide', 'leatherback turtle', 'stole', 'swab', 'cabbage butterfly']"
50,Cro5dva_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,flatworm,"['flatworm', 'sea urchin', 'ear', 'honeycomb', 'lab coat']"
51,Cro5dva_v07_banana_ILSVRC2012_val_00049606_cd.jpg,hair slide,"['hair slide', 'screw', 'necklace', 'nematode', 'hook']"
52,Cro5dva_v07_mug_ILSVRC2012_val_00027194_cd.jpg,purse,"['purse', 'buckle', 'Band Aid', 'mitten', 'water bottle']"
53,Cro5dva_v07_flower_ILSVRC2012_val_00013936_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'strainer', 'doormat', 'swab']"
54,Cro5dva_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,nail,"['nail', 'screw', 'oboe', 'quill', 'tick']"
55,Cro5dva_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,screw,"['screw', 'hook', 'parachute', 'quill', 'nematode']"
56,Cro5dva_v07_crab_ILSVRC2012_val_00008705_cd.jpg,ant,"['ant', 'tick', 'isopod', 'screw', 'barn spider']"
57,Cro5dva_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,honeycomb,"['honeycomb', 'envelope', 'traffic light', 'hair slide', 'doormat']"
58,Cro5dva_v07_chair_ILSVRC2012_val_00001953_cd.jpg,hair slide,"['hair slide', 'screw', 'ant', 'nematode', 'quill']"
59,Cro5dva_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,hair slide,"['hair slide', 'screw', 'leatherback turtle', 'ant', 'whistle']"
60,Cro5dva_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,parachute,"['parachute', 'hair slide', 'ear', 'umbrella', 'broom']"
61,Cro5dva_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,ant,"['ant', 'screw', 'tick', 'skunk', 'envelope']"
62,Cro5dva_v07_camel_ILSVRC2012_val_00013553_cd.jpg,parachute,"['parachute', 'screw', 'hair slide', 'stole', 'ear']"
63,Cro5dva_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,hair slide,"['hair slide', 'ant', 'screw', 'banded gecko', 'flatworm']"
64,Cro5dva_v07_gun_ILSVRC2012_val_00016796_cd.jpg,hair slide,"['hair slide', 'skunk', 'ant', 'leatherback turtle', 'screw']"
65,Cro5dva_v07_snail_ILSVRC2012_val_00046248_cd.jpg,hair slide,"['hair slide', 'Granny Smith', 'ant', 'tick', 'doormat']"
66,Cro5dva_v07_flower_ILSVRC2012_val_00019320_cd.jpg,traffic light,"['traffic light', 'honeycomb', 'lakeside', 'web site', 'doormat']"
67,Cro5dva_v07_pineapple_ILSVRC2012_val_00012582_cd.jpg,swab,"['swab', 'honeycomb', 'screw', 'doormat', 'traffic light']"
