,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,hoopskirt,"['hoopskirt', 'comic book', 'vase', 'mailbag', 'backpack']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,parachute,"['parachute', 'sleeping bag', 'brassiere', 'stethoscope', 'knot']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,theater curtain,"['theater curtain', 'caldron', 'hatchet', 'skunk', 'knot']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,king crab,"['king crab', 'rock crab', 'scorpion', 'fiddler crab', 'American lobster']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,nematode,"['nematode', 'caldron', 'manhole cover', 'pick', 'strawberry']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,sleeping bag,"['sleeping bag', 'parachute', 'mountain tent', 'skunk', 'swab']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'sombrero', 'wool', 'ski mask', 'quill']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'skunk', 'triceratops', 'banana', 'coffee mug']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,shield,"['shield', 'whistle', 'maraca', 'hatchet', 'knot']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'electric ray', 'parachute', 'brassiere']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,book jacket,"['book jacket', 'comic book', 'poncho', 'parachute', 'swab']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'pitcher', 'cauliflower', 'doormat', 'shield']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'stethoscope', 'parachute', 'quill', 'maraca']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,bottlecap,"['bottlecap', 'leatherback turtle', 'comic book', 'buckle', 'parachute']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'maraca', 'bloodhound', 'punching bag', 'sombrero']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,maraca,"['maraca', 'nail', 'mortarboard', 'hammer', 'hook']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,knot,"['knot', 'maraca', 'starfish', 'parachute', 'sea cucumber']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,pick,"['pick', 'tiger beetle', 'punching bag', 'skunk', 'shower cap']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,hair slide,"['hair slide', 'parachute', 'book jacket', 'necklace', 'wall clock']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,binder,"['binder', 'hard disc', 'packet', 'laptop', 'chest']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,swab,"['swab', 'parachute', 'quill', 'sleeping bag', 'brassiere']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'forklift', 'turnstile', 'chain saw', 'mousetrap']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,folding chair,"['folding chair', 'shield', 'rocking chair', 'throne', 'breastplate']"
