,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'wool', 'doormat', 'chain mail']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,doormat,"['doormat', 'honeycomb', 'strainer', 'jigsaw puzzle', 'prayer rug']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,strainer,"['strainer', 'honeycomb', 'airship', 'nail', 'parachute']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,doormat,"['doormat', 'strainer', 'prayer rug', 'chain mail', 'purse']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'whistle', 'sea snake', 'hook', 'night snake']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'wool', 'doormat', 'strainer']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'doormat', 'honeycomb', 'strainer', 'prayer rug']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,strainer,"['strainer', 'honeycomb', 'doormat', 'parachute', 'hair slide']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'honeycomb', 'hamper', 'chain mail', 'doormat']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,strainer,"['strainer', 'doormat', 'ant', 'jigsaw puzzle', 'hook']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,doormat,"['doormat', 'chain mail', 'honeycomb', 'wool', 'window screen']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'ant', 'hook', 'corkscrew', 'pole']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,ant,"['ant', 'pick', 'necklace', 'hook', 'chain']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,ant,"['ant', 'doormat', 'window screen', 'pole', 'honeycomb']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'prayer rug', 'doormat', 'pole']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'honeycomb', 'doormat', 'pole', 'wool']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hair slide,"['hair slide', 'nail', 'strainer', 'hook', 'whistle']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,ant,"['ant', 'warplane', 'hook', 'corkscrew', 'crane']"
