,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'spider web', 'wool', 'velvet', 'park bench']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,chainlink fence,"['chainlink fence', 'plastic bag', 'obelisk', 'ant', 'hip']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,great grey owl,"['great grey owl', 'pug', 'cocker spaniel', 'barn spider', 'diamondback']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,American alligator,"['American alligator', 'terrapin', 'maze', 'buckle', 'hen']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,American alligator,"['American alligator', 'dung beetle', 'scorpion', 'cockroach', 'chainlink fence']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chainlink fence,"['chainlink fence', 'chain mail', 'chain', 'peacock', 'padlock']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,spider web,"['spider web', 'hook', 'nematode', 'howler monkey', 'strainer']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'comic book', 'pick', 'wall clock', 'nematode']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,howler monkey,"['howler monkey', 'birdhouse', 'nematode', 'chainlink fence', 'park bench']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,golf ball,"['golf ball', 'American egret', 'soccer ball', 'limpkin', 'dome']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,orangutan,"['orangutan', 'chainlink fence', 'stingray', 'brain coral', 'peacock']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,dishrag,"['dishrag', 'chainlink fence', 'honeycomb', 'whistle', 'prayer rug']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,buckle,"['buckle', 'nematode', 'banjo', 'manhole cover', 'comic book']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,American alligator,"['American alligator', 'African crocodile', 'swab', 'chainlink fence', 'orangutan']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,chainlink fence,"['chainlink fence', 'envelope', 'volcano', 'buckle', 'wallet']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,chainlink fence,"['chainlink fence', 'maze', 'cassette', 'oboe', 'stone wall']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,chainlink fence,"['chainlink fence', 'howler monkey', 'terrapin', 'orangutan', 'volcano']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'wall clock', 'analog clock', 'barometer', 'magnetic compass']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,pick,"['pick', 'envelope', 'bib', 'plate rack', 'jersey']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,birdhouse,"['birdhouse', 'chainlink fence', 'bald eagle', 'howler monkey', 'plastic bag']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,doormat,"['doormat', 'buckle', 'chainlink fence', 'sea urchin', 'umbrella']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,plastic bag,"['plastic bag', 'chainlink fence', 'howler monkey', 'spider web', 'hip']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,howler monkey,"['howler monkey', 'spider web', 'binoculars', 'proboscis monkey', 'chainlink fence']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,chainlink fence,"['chainlink fence', 'dung beetle', 'howler monkey', 'honeycomb', 'orangutan']"
