,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'broccoli', 'gyromitra', 'mushroom']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'head cabbage', 'custard apple', 'strawberry', 'broccoli']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'switch', 'holster', 'spotlight', 'rifle']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,Siamese cat,"['Siamese cat', 'hen-of-the-woods', 'triceratops', 'bee', 'mushroom']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,electric ray,"['electric ray', 'custard apple', 'hog', 'conch', 'paper towel']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'space shuttle', 'projectile', 'airliner', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Chihuahua,"['Chihuahua', 'kite', 'Boston bull', 'pedestal', 'parachute']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'bloodhound', 'Irish wolfhound', 'cocker spaniel']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'isopod', 'spider web']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'kite', 'albatross', 'black stork', 'oystercatcher']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'stinkhorn', 'lipstick', 'candle', 'pretzel']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'bullfrog', 'hen-of-the-woods', 'custard apple', 'isopod']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'potpie', 'electric ray', 'horned viper', 'French loaf']"
