,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'swab', 'paintbrush', 'nematode', 'stethoscope']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,spotlight,"['spotlight', 'cannon', 'pedestal', 'triumphal arch', 'hook']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,mitten,"['mitten', 'ski mask', 'quill', 'bearskin', 'bow tie']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'hen', 'ruffed grouse', 'bonnet', 'American coot']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'sock', 'matchstick', 'Christmas stocking', 'ice lolly']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,giant schnauzer,"['giant schnauzer', 'standard poodle', 'curly-coated retriever', 'Irish water spaniel', 'affenpinscher']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,quill,"['quill', 'swab', 'stethoscope', 'paintbrush', 'matchstick']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,mailbag,"['mailbag', 'punching bag', 'bulletproof vest', 'spotlight', 'caldron']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Irish water spaniel,"['Irish water spaniel', 'curly-coated retriever', 'giant schnauzer', 'miniature poodle', 'standard poodle']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,quill,"['quill', 'Irish water spaniel', 'ant', 'sea slug', 'loupe']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'ant', 'black and gold garden spider', 'garden spider', 'wolf spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'toilet seat', 'strainer', 'spotlight', 'quill']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,nail,"['nail', 'ant', 'quill', 'sunglass', 'loupe']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,hook,"['hook', 'analog clock', 'assault rifle', 'curly-coated retriever', 'chimpanzee']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,quill,"['quill', 'stopwatch', 'matchstick', 'nail', 'swab']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,quill,"['quill', 'abaya', 'spotlight', 'chimpanzee', 'mitten']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,quill,"['quill', 'strainer', 'strawberry', 'bearskin', 'nematode']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,quill,"['quill', 'envelope', 'binder', 'mailbag', 'sleeping bag']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,quill,"['quill', 'swab', 'bow tie', 'weasel', 'cloak']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'wolf spider', 'ant', 'ground beetle', 'tick']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,miniature poodle,"['miniature poodle', 'Irish water spaniel', 'jersey', 'spotlight', 'giant schnauzer']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,feather boa,"['feather boa', 'panpipe', 'conch', 'spotlight', 'hair slide']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'white stork', 'buckeye', 'envelope', 'corkscrew']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'hook', 'hatchet', 'microphone', 'swab']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Irish water spaniel,"['Irish water spaniel', 'spotlight', 'affenpinscher', 'curly-coated retriever', 'shovel']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,strainer,"['strainer', 'quill', 'pick', 'bucket', 'tennis ball']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,loupe,"['loupe', 'nematode', 'hook', 'neck brace', 'spotlight']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,loupe,"['loupe', 'hammer', 'nail', 'frying pan', 'spatula']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,vulture,"['vulture', 'bow', 'Scotch terrier', 'hook', 'weasel']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,corkscrew,"['corkscrew', 'hook', 'nail', 'screwdriver', 'bow tie']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,ibex,"['ibex', 'parachute', 'vulture', 'quill', 'nail']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,nail,"['nail', 'warplane', 'hook', 'mortarboard', 'shovel']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,Scotch terrier,"['Scotch terrier', 'chain saw', 'giant schnauzer', 'miniature poodle', 'Irish water spaniel']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,capuchin,"['capuchin', 'curly-coated retriever', 'howler monkey', 'ant', 'weasel']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,standard poodle,"['standard poodle', 'curly-coated retriever', 'ski mask', 'Newfoundland', 'miniature poodle']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,abaya,"['abaya', 'toaster', 'mailbag', 'bow tie', 'swab']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,quill,"['quill', 'swab', 'submarine', 'parachute', 'shovel']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,quill,"['quill', 'envelope', 'loupe', 'ibex', 'projectile']"
