,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'honeycomb', 'Sussex spaniel', 'cauliflower']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'paper towel', 'gong', 'eggnog', 'tennis ball']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'switch', 'holster', 'can opener', 'bow']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,Boston bull,"['Boston bull', 'triceratops', 'hen-of-the-woods', 'muzzle', 'capuchin']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,custard apple,"['custard apple', 'ptarmigan', 'albatross', 'plastic bag', 'Angora']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'projectile', 'parachute', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Boston bull,"['Boston bull', 'English foxhound', 'English springer', 'Italian greyhound', 'kite']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'standard schnauzer', 'Newfoundland', 'giant schnauzer', 'Bouvier des Flandres']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'tarantula', 'spider web']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,albatross,"['albatross', 'black grouse', 'bustard', 'black stork', 'goose']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'candle', 'lipstick', 'trifle', 'chocolate sauce']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'head cabbage', 'stinkhorn', 'artichoke', 'tailed frog']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,stinkhorn,"['stinkhorn', 'hen-of-the-woods', 'conch', 'head cabbage', 'spaghetti squash']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,electric ray,"['electric ray', 'coho', 'kite', 'sturgeon', 'puffer']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Welsh springer spaniel,"['Welsh springer spaniel', 'capuchin', 'proboscis monkey', 'Siamese cat', 'beagle']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'night snake', 'rock python', 'vine snake', 'water snake']"
