,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,ant,"['ant', 'matchstick', 'envelope', 'pick', 'face powder']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'face powder', 'nail', 'matchstick', 'ant']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,ear,"['ear', 'matchstick', 'face powder', 'balloon', 'rule']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,face powder,"['face powder', 'matchstick', 'hair slide', 'nail', 'balloon']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'envelope', 'matchstick', 'nail', 'safety pin']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hair slide,"['hair slide', 'ant', 'nail', 'envelope', 'matchstick']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,face powder,"['face powder', 'balloon', 'doormat', 'hair slide', 'handkerchief']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'parachute', 'handkerchief', 'hair slide', 'nail']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'necklace', 'safety pin']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,nail,"['nail', 'matchstick', 'hair slide', 'honeycomb', 'envelope']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'rubber eraser', 'face powder', 'pick', 'handkerchief']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,matchstick,"['matchstick', 'hair slide', 'face powder', 'envelope', 'traffic light']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'paintbrush', 'Band Aid']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'matchstick', 'ant', 'parachute', 'face powder']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'hair slide', 'matchstick', 'nail', 'Band Aid']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,matchstick,"['matchstick', 'hair slide', 'safety pin', 'envelope', 'web site']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'envelope', 'matchstick', 'ear', 'nail']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'barn spider', 'ant', 'parachute', 'hair slide']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,balloon,"['balloon', 'face powder', 'matchstick', 'traffic light', 'parachute']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,ant,"['ant', 'hair slide', 'nail', 'parachute', 'envelope']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'parachute', 'ant', 'airship', 'screw']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'nail', 'hair slide', 'matchstick', 'safety pin']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,hair slide,"['hair slide', 'envelope', 'nail', 'face powder', 'rule']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,hair slide,"['hair slide', 'envelope', 'matchstick', 'safety pin', 'nail']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'nail', 'matchstick', 'hair slide', 'banded gecko']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,face powder,"['face powder', 'envelope', 'balloon', 'hair slide', 'parachute']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'American alligator', 'ant', 'parachute', 'pick']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'matchstick', 'face powder']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,face powder,"['face powder', 'hair slide', 'rapeseed', 'matchstick', 'rule']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,nail,"['nail', 'matchstick', 'face powder', 'hair slide', 'envelope']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,matchstick,"['matchstick', 'nail', 'hair slide', 'face powder', 'maraca']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,ant,"['ant', 'parachute', 'envelope', 'warplane', 'barn spider']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,parachute,"['parachute', 'nail', 'hair slide', 'ear', 'maypole']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,face powder,"['face powder', 'nail', 'hair slide', 'matchstick', 'balloon']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,face powder,"['face powder', 'hair slide', 'matchstick', 'envelope', 'nail']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,nail,"['nail', 'hair slide', 'matchstick', 'face powder', 'maraca']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,envelope,"['envelope', 'ant', 'balloon', 'matchstick', 'face powder']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,hair slide,"['hair slide', 'matchstick', 'nail', 'safety pin', 'face powder']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,hair slide,"['hair slide', 'screw', 'envelope', 'nail', 'corkscrew']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,matchstick,"['matchstick', 'face powder', 'strawberry', 'hair slide', 'rubber eraser']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,hair slide,"['hair slide', 'matchstick', 'parachute', 'nail', 'ear']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,envelope,"['envelope', 'screw', 'nail', 'airship', 'ant']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,envelope,"['envelope', 'nail', 'parachute', 'hair slide', 'screw']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,face powder,"['face powder', 'hair slide', 'balloon', 'matchstick', 'rapeseed']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'envelope', 'parachute']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,parachute,"['parachute', 'rubber eraser', 'pick', 'handkerchief', 'hair slide']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'safety pin', 'ear']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,hair slide,"['hair slide', 'matchstick', 'nail', 'envelope', 'balloon']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,envelope,"['envelope', 'face powder', 'matchstick', 'ant', 'handkerchief']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,safety pin,"['safety pin', 'envelope', 'parachute', 'matchstick', 'hair slide']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,hair slide,"['hair slide', 'face powder', 'nail', 'matchstick', 'safety pin']"
51,Cro5dva_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,hair slide,"['hair slide', 'parachute', 'envelope', 'matchstick', 'safety pin']"
52,Cro5dva_v05_snail_ILSVRC2012_val_00001959_cs.jpg,parachute,"['parachute', 'ant', 'hair slide', 'pick', 'hip']"
53,Cro5dva_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,nail,"['nail', 'hair slide', 'parachute', 'matchstick', 'face powder']"
54,Cro5dva_v05_bird_ILSVRC2012_val_00028363_cs.jpg,matchstick,"['matchstick', 'ant', 'face powder', 'envelope', 'hair slide']"
55,Cro5dva_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,hair slide,"['hair slide', 'envelope', 'handkerchief', 'matchstick', 'face powder']"
56,Cro5dva_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,face powder,"['face powder', 'hair slide', 'ant', 'matchstick', 'ear']"
57,Cro5dva_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'face powder', 'ant']"
58,Cro5dva_v05_spider_ILSVRC2012_val_00029156_cs.jpg,ant,"['ant', 'envelope', 'parachute', 'face powder', 'bee eater']"
59,Cro5dva_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,parachute,"['parachute', 'hair slide', 'envelope', 'safety pin', 'matchstick']"
60,Cro5dva_v05_chair_ILSVRC2012_val_00004120_cs.jpg,pick,"['pick', 'parachute', 'envelope', 'rubber eraser', 'handkerchief']"
61,Cro5dva_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,matchstick,"['matchstick', 'hair slide', 'face powder', 'nail', 'balloon']"
62,Cro5dva_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,parachute,"['parachute', 'nail', 'envelope', 'oboe', 'crane']"
63,Cro5dva_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,matchstick,"['matchstick', 'hair slide', 'nail', 'face powder', 'envelope']"
64,Cro5dva_v05_bear_ILSVRC2012_val_00038263_cs.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'face powder', 'balloon']"
65,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,parachute,"['parachute', 'nail', 'pick', 'matchstick', 'nematode']"
66,Cro5dva_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,face powder,"['face powder', 'hair slide', 'ear', 'matchstick', 'nail']"
67,Cro5dva_v05_chair_ILSVRC2012_val_00012771_cs.jpg,pick,"['pick', 'parachute', 'envelope', 'ant', 'handkerchief']"
68,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,hair slide,"['hair slide', 'safety pin', 'matchstick', 'ear', 'parachute']"
69,Cro5dva_v05_flower_ILSVRC2012_val_00039137_cs.jpg,face powder,"['face powder', 'nail', 'hair slide', 'honeycomb', 'matchstick']"
70,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,hair slide,"['hair slide', 'face powder', 'nail', 'ear', 'balloon']"
71,Cro5dva_v05_pineapple_ILSVRC2012_val_00024461_cs.jpg,nail,"['nail', 'hair slide', 'face powder', 'honeycomb', 'traffic light']"
72,Cro5dva_v05_squirrel_ILSVRC2012_val_00042981_cs.jpg,face powder,"['face powder', 'parachute', 'Band Aid', 'hair slide', 'envelope']"
73,Cro5dva_v05_mug_ILSVRC2012_val_00025893_cs.jpg,hair slide,"['hair slide', 'balloon', 'nail', 'ear', 'face powder']"
74,Cro5dva_v05_car_ILSVRC2012_val_00010455_cs.jpg,hair slide,"['hair slide', 'envelope', 'face powder', 'nail', 'matchstick']"
75,Cro5dva_v05_frog_ILSVRC2012_val_00010287_cs.jpg,face powder,"['face powder', 'hair slide', 'balloon', 'nail', 'matchstick']"
76,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00032449_cs.jpg,envelope,"['envelope', 'matchstick', 'nail', 'hair slide', 'face powder']"
77,Cro5dva_v05_spider_ILSVRC2012_val_00026030_cs.jpg,ant,"['ant', 'envelope', 'parachute', 'handkerchief', 'hip']"
78,Cro5dva_v05_frog_ILSVRC2012_val_00022660_cs.jpg,strawberry,"['strawberry', 'nail', 'matchstick', 'parachute', 'hip']"
79,Cro5dva_v05_bird_ILSVRC2012_val_00007153_cs.jpg,face powder,"['face powder', 'hair slide', 'envelope', 'nail', 'rubber eraser']"
80,Cro5dva_v05_crab_ILSVRC2012_val_00008705_cs.jpg,ant,"['ant', 'parachute', 'face powder', 'pick', 'envelope']"
81,Cro5dva_v05_crab_ILSVRC2012_val_00011922_cs.jpg,ant,"['ant', 'parachute', 'handkerchief', 'envelope', 'rubber eraser']"
82,Cro5dva_v05_mushroom_ILSVRC2012_val_00021713_cs.jpg,parachute,"['parachute', 'envelope', 'nail', 'traffic light', 'pick']"
83,Cro5dva_v05_lobster_ILSVRC2012_val_00017039_cs.jpg,hair slide,"['hair slide', 'rubber eraser', 'face powder', 'envelope', 'matchstick']"
84,Cro5dva_v05_crocodilian_ILSVRC2012_val_00010826_cs.jpg,envelope,"['envelope', 'screw', 'airship', 'American alligator', 'letter opener']"
85,Cro5dva_v05_snake_ILSVRC2012_val_00006751_cs.jpg,parachute,"['parachute', 'sea snake', 'corkscrew', 'nematode', 'quill']"
86,Cro5dva_v05_bird_ILSVRC2012_val_00017028_cs.jpg,envelope,"['envelope', 'hair slide', 'matchstick', 'safety pin', 'pick']"
87,Cro5dva_v05_mug_ILSVRC2012_val_00020276_cs.jpg,hair slide,"['hair slide', 'face powder', 'nail', 'rule', 'matchstick']"
88,Cro5dva_v05_spider_ILSVRC2012_val_00008805_cs.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'ant', 'spider web']"
89,Cro5dva_v05_acorn_ILSVRC2012_val_00028557_cs.jpg,face powder,"['face powder', 'hair slide', 'nail', 'matchstick', 'strawberry']"
90,Cro5dva_v05_monkey_ILSVRC2012_val_00003631_cs.jpg,hair slide,"['hair slide', 'face powder', 'matchstick', 'nail', 'envelope']"
91,Cro5dva_v05_bird_ILSVRC2012_val_00030545_cs.jpg,hair slide,"['hair slide', 'ant', 'face powder', 'parachute', 'envelope']"
92,Cro5dva_v05_spider_ILSVRC2012_val_00029756_cs.jpg,parachute,"['parachute', 'barn spider', 'ant', 'pick', 'envelope']"
93,Cro5dva_v05_airplane_ILSVRC2012_val_00033920_cs.jpg,envelope,"['envelope', 'ant', 'screw', 'barn spider', 'American alligator']"
94,Cro5dva_v05_airplane_ILSVRC2012_val_00023781_cs.jpg,ant,"['ant', 'envelope', 'parachute', 'pick', 'screw']"
95,Cro5dva_v05_apple_ILSVRC2012_val_00045087_cs.jpg,nail,"['nail', 'hair slide', 'face powder', 'matchstick', 'strawberry']"
96,Cro5dva_v05_hammer_ILSVRC2012_val_00003387_cs.jpg,safety pin,"['safety pin', 'hair slide', 'matchstick', 'envelope', 'pick']"
97,Cro5dva_v05_elephant_ILSVRC2012_val_00018263_cs.jpg,matchstick,"['matchstick', 'envelope', 'hair slide', 'safety pin', 'face powder']"
98,Cro5dva_v05_mushroom_ILSVRC2012_val_00040625_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'safety pin', 'matchstick']"
99,Cro5dva_v05_camel_ILSVRC2012_val_00013553_cs.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'face powder', 'envelope']"
100,Cro5dva_v05_hammer_ILSVRC2012_val_00028069_cs.jpg,envelope,"['envelope', 'screw', 'syringe', 'hair slide', 'nail']"
101,Cro5dva_v05_gun_ILSVRC2012_val_00003457_cs.jpg,matchstick,"['matchstick', 'envelope', 'parachute', 'hair slide', 'safety pin']"
102,Cro5dva_v05_shoe_ILSVRC2012_val_00019717_cs.jpg,envelope,"['envelope', 'hair slide', 'screw', 'parachute', 'nail']"
103,Cro5dva_v05_bellpepper_ILSVRC2012_val_00028090_cs.jpg,hair slide,"['hair slide', 'balloon', 'ear', 'matchstick', 'parachute']"
104,Cro5dva_v05_snail_ILSVRC2012_val_00045031_cs.jpg,hair slide,"['hair slide', 'weevil', 'hip', 'safety pin', 'barn spider']"
105,Cro5dva_v05_broccoli_ILSVRC2012_val_00004207_cs.jpg,matchstick,"['matchstick', 'face powder', 'balloon', 'hair slide', 'nail']"
106,Cro5dva_v05_monkey_ILSVRC2012_val_00027323_cs.jpg,ant,"['ant', 'envelope', 'pick', 'parachute', 'nail']"
107,Cro5dva_v05_pineapple_ILSVRC2012_val_00023804_cs.jpg,parachute,"['parachute', 'envelope', 'nail', 'hair slide', 'pick']"
108,Cro5dva_v05_gun_ILSVRC2012_val_00002840_cs.jpg,hair slide,"['hair slide', 'envelope', 'matchstick', 'nail', 'face powder']"
109,Cro5dva_v05_bee_ILSVRC2012_val_00017418_cs.jpg,envelope,"['envelope', 'face powder', 'rubber eraser', 'handkerchief', 'hair slide']"
110,Cro5dva_v05_frog_ILSVRC2012_val_00041279_cs.jpg,matchstick,"['matchstick', 'face powder', 'envelope', 'traffic light', 'strawberry']"
111,Cro5dva_v05_acorn_ILSVRC2012_val_00012754_cs.jpg,hair slide,"['hair slide', 'face powder', 'nail', 'matchstick', 'balloon']"
112,Cro5dva_v05_rabbit_ILSVRC2012_val_00021667_cs.jpg,face powder,"['face powder', 'hair slide', 'rubber eraser', 'strawberry', 'nail']"
113,Cro5dva_v05_guitar_ILSVRC2012_val_00021556_cs.jpg,parachute,"['parachute', 'maypole', 'crane', 'warplane', 'envelope']"
114,Cro5dva_v05_flower_ILSVRC2012_val_00019320_cs.jpg,face powder,"['face powder', 'doormat', 'matchstick', 'balloon', 'ant']"
115,Cro5dva_v05_rabbit_ILSVRC2012_val_00006108_cs.jpg,envelope,"['envelope', 'parachute', 'nail', 'hair slide', 'handkerchief']"
116,Cro5dva_v05_crab_ILSVRC2012_val_00034670_cs.jpg,ant,"['ant', 'balloon', 'parachute', 'face powder', 'lakeside']"
117,Cro5dva_v05_mug_ILSVRC2012_val_00025548_cs.jpg,hair slide,"['hair slide', 'matchstick', 'face powder', 'nail', 'maraca']"
118,Cro5dva_v05_strawberry_ILSVRC2012_val_00023739_cs.jpg,nail,"['nail', 'hair slide', 'honeycomb', 'matchstick', 'face powder']"
119,Cro5dva_v05_lobster_ILSVRC2012_val_00047059_cs.jpg,envelope,"['envelope', 'ant', 'face powder', 'rubber eraser', 'pick']"
120,Cro5dva_v05_cat_ILSVRC2012_val_00001341_cs.jpg,hair slide,"['hair slide', 'nail', 'face powder', 'ear', 'matchstick']"
121,Cro5dva_v05_snake_ILSVRC2012_val_00027631_cs.jpg,ant,"['ant', 'airship', 'parachute', 'envelope', 'pick']"
122,Cro5dva_v05_turtle_ILSVRC2012_val_00009376_cs.jpg,face powder,"['face powder', 'balloon', 'matchstick', 'hip', 'ant']"
123,Cro5dva_v05_flower_ILSVRC2012_val_00013936_cs.jpg,face powder,"['face powder', 'balloon', 'hair slide', 'doormat', 'rule']"
124,Cro5dva_v05_horse_ILSVRC2012_val_00029082_cs.jpg,matchstick,"['matchstick', 'hair slide', 'envelope', 'nail', 'web site']"
125,Cro5dva_v05_bear_ILSVRC2012_val_00020441_cs.jpg,hair slide,"['hair slide', 'matchstick', 'face powder', 'envelope', 'nail']"
126,Cro5dva_v05_squirrel_ILSVRC2012_val_00023383_cs.jpg,nail,"['nail', 'envelope', 'paintbrush', 'ear', 'honeycomb']"
127,Cro5dva_v05_camel_ILSVRC2012_val_00003409_cs.jpg,matchstick,"['matchstick', 'strawberry', 'safety pin', 'hip', 'hair slide']"
128,Cro5dva_v05_flower_ILSVRC2012_val_00022139_cs.jpg,face powder,"['face powder', 'honeycomb', 'nail', 'hair slide', 'doormat']"
129,Cro5dva_v05_car_ILSVRC2012_val_00034824_cs.jpg,hair slide,"['hair slide', 'ear', 'nail', 'rule', 'nematode']"
130,Cro5dva_v05_dryer_ILSVRC2012_val_00013313_cs.jpg,hair slide,"['hair slide', 'matchstick', 'envelope', 'nail', 'ant']"
131,Cro5dva_v05_pineapple_ILSVRC2012_val_00009015_cs.jpg,face powder,"['face powder', 'nail', 'envelope', 'matchstick', 'doormat']"
132,Cro5dva_v05_hammer_ILSVRC2012_val_00001110_cs.jpg,nail,"['nail', 'crane', 'parachute', 'airship', 'envelope']"
133,Cro5dva_v05_bird_ILSVRC2012_val_00004344_cs.jpg,hair slide,"['hair slide', 'ant', 'envelope', 'matchstick', 'nail']"
