,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,vase,"['vase', 'fire screen', 'doormat', 'drum', 'jersey']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,parachute,"['parachute', 'sleeping bag', 'neck brace', 'sombrero', 'maraca']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,banana,"['banana', 'parachute', 'paintbrush', 'jersey', 'hook']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,king crab,"['king crab', 'scorpion', 'fiddler crab', 'rock crab', 'American lobster']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,manhole cover,"['manhole cover', 'punching bag', 'Indian cobra', 'sombrero', 'parachute']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,sleeping bag,"['sleeping bag', 'parachute', 'alp', 'head cabbage', 'swab']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,sombrero,"['sombrero', 'quill', 'neck brace', 'ski mask', 'matchstick']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'macaw', 'parachute', 'bloodhound', 'triceratops']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,maraca,"['maraca', 'hatchet', 'hand blower', 'neck brace', 'hook']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sleeping bag,"['sleeping bag', 'sea slug', 'swab', 'parachute', 'brassiere']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,poncho,"['poncho', 'book jacket', 'comic book', 'stole', 'sleeping bag']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'pitcher', 'jersey', 'drum', 'beer glass']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'parachute', 'quill', 'comic book', 'maraca']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,parachute,"['parachute', 'manhole cover', 'comic book', 'leatherback turtle', 'head cabbage']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,manhole cover,"['manhole cover', 'sombrero', 'caldron', 'gong', 'pick']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hatchet,"['hatchet', 'paintbrush', 'cleaver', 'corkscrew', 'broom']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,parachute,"['parachute', 'starfish', 'ear', 'mushroom', 'knot']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,jersey,"['jersey', 'sweatshirt', 'manhole cover', 'binoculars', 'head cabbage']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,parachute,"['parachute', 'hair slide', 'daisy', 'chambered nautilus', 'book jacket']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,mousetrap,"['mousetrap', 'cassette', 'envelope', 'carton', 'chain saw']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,sleeping bag,"['sleeping bag', 'quill', 'parachute', 'paintbrush', 'nematode']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'mousetrap', 'crate', 'turnstile', 'cassette']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,folding chair,"['folding chair', 'throne', 'comic book', 'guillotine', 'rocking chair']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,lemon,"['lemon', 'shield', 'manhole cover', 'orange', 'drum']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'scorpion', 'crayfish', 'African chameleon', 'banded gecko']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,clumber,"['clumber', 'Gordon setter', 'muzzle', 'briard', 'Welsh springer spaniel']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'pick', 'punching bag', 'manhole cover', 'maraca']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,hatchet,"['hatchet', 'African chameleon', 'frilled lizard', 'bonnet', 'nail']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,nematode,"['nematode', 'knot', 'hook', 'mailbag', 'bib']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,electric ray,"['electric ray', 'bonnet', 'pick', 'manhole cover', 'doormat']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,comic book,"['comic book', 'jersey', 'wall clock', 'parachute', 'head cabbage']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,manhole cover,"['manhole cover', 'pick', 'jersey', 'sombrero', 'head cabbage']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,American alligator,"['American alligator', 'leatherback turtle', 'Gila monster', 'African crocodile', 'letter opener']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,revolver,"['revolver', 'rifle', 'triumphal arch', 'hatchet', 'assault rifle']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,pick,"['pick', 'thimble', 'manhole cover', 'sombrero', 'punching bag']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,assault rifle,"['assault rifle', 'revolver', 'rifle', 'bow', 'power drill']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,ear,"['ear', 'parachute', 'swab', 'buckle', 'matchstick']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,jersey,"['jersey', 'punching bag', 'pick', 'coffee mug', 'mailbag']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,manhole cover,"['manhole cover', 'punching bag', ""jack-o'-lantern"", 'jersey', 'quill']"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,manhole cover,"['manhole cover', 'bonnet', 'sombrero', 'maraca', 'bib']"
40,Lin_rabbit_ILSVRC2012_val_00044412_l.jpg,head cabbage,"['head cabbage', 'African chameleon', 'sombrero', 'neck brace', 'electric ray']"
41,Lin_snail_ILSVRC2012_val_00001959_l.jpg,electric ray,"['electric ray', 'maraca', 'banded gecko', 'sombrero', 'snail']"
42,Lin_banana_ILSVRC2012_val_00021860_l.jpg,banana,"['banana', 'hook', 'paddle', 'whistle', 'sleeping bag']"
43,Lin_frog_ILSVRC2012_val_00010287_l.jpg,tailed frog,"['tailed frog', 'African chameleon', 'bonnet', 'quill', 'electric ray']"
44,Lin_monkey_ILSVRC2012_val_00030191_l.jpg,comic book,"['comic book', 'manhole cover', 'briard', 'bloodhound', 'parachute']"
45,Lin_hippopotamus_ILSVRC2012_val_00032449_l.jpg,comic book,"['comic book', 'head cabbage', 'Gila monster', 'tabby', 'jersey']"
46,Lin_turtle_ILSVRC2012_val_00024666_l.jpg,electric ray,"['electric ray', 'box turtle', 'African chameleon', 'parachute', 'leatherback turtle']"
47,Lin_swine_ILSVRC2012_val_00011892_l.jpg,comic book,"['comic book', 'jersey', 'skunk', 'quill', 'briard']"
48,Lin_acorn_ILSVRC2012_val_00013791_l.jpg,maraca,"['maraca', 'manhole cover', 'sombrero', 'parachute', 'pick']"
49,Lin_airplane_ILSVRC2012_val_00011168_l.jpg,chain saw,"['chain saw', 'assault rifle', 'revolver', 'hook', 'crane']"
50,Lin_crab_ILSVRC2012_val_00004462_l.jpg,scorpion,"['scorpion', 'king crab', 'American lobster', 'wolf spider', 'crayfish']"
