,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'ant', 'screw', 'honeycomb', 'matchstick']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,honeycomb,"['honeycomb', 'matchstick', 'swab', 'envelope', 'parachute']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,honeycomb,"['honeycomb', 'bulletproof vest', 'vase', 'stole', 'jigsaw puzzle']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,honeycomb,"['honeycomb', 'swab', 'nail', 'table lamp', 'strainer']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'swab', 'strainer', 'parachute']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'screw', 'parachute', 'banded gecko']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'traffic light', 'ant', 'spotlight']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,honeycomb,"['honeycomb', 'oboe', 'envelope', 'swab', 'aircraft carrier']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,necklace,"['necklace', 'matchstick', 'nail', 'envelope', 'screw']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'envelope', 'stole', 'aircraft carrier']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'jigsaw puzzle', 'handkerchief', 'swab']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'swab', 'ear', 'honeycomb', 'oboe']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,honeycomb,"['honeycomb', 'stole', 'screw', 'vase', 'bib']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'ant', 'honeycomb', 'oboe', 'matchstick']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,strainer,"['strainer', 'honeycomb', 'envelope', 'ski', 'nail']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,envelope,"['envelope', 'swab', 'honeycomb', 'parachute', 'ant']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,envelope,"['envelope', 'honeycomb', 'screw', 'swab', 'matchstick']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'oboe', 'ant', 'chain', 'swab']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,parachute,"['parachute', 'envelope', 'honeycomb', 'ant', 'strainer']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,screw,"['screw', 'strainer', 'nail', 'hair slide', 'swab']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'screw', 'oboe', 'matchstick', 'ant']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'jigsaw puzzle', 'honeycomb', 'airship', 'swab']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,swab,"['swab', 'honeycomb', 'envelope', 'parachute', 'matchstick']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,envelope,"['envelope', 'honeycomb', 'matchstick', 'ant', 'strainer']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,oboe,"['oboe', 'necklace', 'matchstick', 'whistle', 'screw']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,honeycomb,"['honeycomb', 'screw', 'vase', 'envelope', 'swab']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'matchstick', 'ski', 'oboe', 'screw']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'envelope', 'vase', 'screw']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'swab', 'screw', 'matchstick']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,honeycomb,"['honeycomb', 'envelope', 'oboe', 'chain saw', 'aircraft carrier']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,honeycomb,"['honeycomb', 'spotlight', 'screw', 'loupe', 'nail']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,parachute,"['parachute', 'ant', 'envelope', 'ski', 'honeycomb']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,envelope,"['envelope', 'oboe', 'parachute', 'honeycomb', 'vase']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,honeycomb,"['honeycomb', 'screw', 'spotlight', 'swab', 'stole']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,honeycomb,"['honeycomb', 'parachute', 'loupe', 'envelope', 'ear']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,honeycomb,"['honeycomb', 'screw', 'loupe', 'spotlight', 'nail']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,ant,"['ant', 'honeycomb', 'airship', 'screw', 'strainer']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,honeycomb,"['honeycomb', 'swab', 'strainer', 'nail', 'screw']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,oboe,"['oboe', 'screw', 'syringe', 'envelope', 'chain']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,honeycomb,"['honeycomb', 'swab', 'ant', 'oboe', 'envelope']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,honeycomb,"['honeycomb', 'parachute', 'table lamp', 'swab', 'wall clock']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,envelope,"['envelope', 'ski', 'oboe', 'strainer', 'matchstick']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,oboe,"['oboe', 'white stork', 'swab', 'matchstick', 'chain saw']"
