,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'honeycomb', 'head cabbage', 'gyromitra']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'stinkhorn', 'paper towel', 'soap dispenser', 'eggnog']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'switch', 'can opener', 'spotlight', 'holster']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,platypus,"['platypus', 'hen-of-the-woods', 'English foxhound', 'German shepherd', 'Siamese cat']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,ptarmigan,"['ptarmigan', 'diaper', 'Saint Bernard', 'horizontal bar', 'clumber']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'projectile', 'airliner', 'space shuttle', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,kite,"['kite', 'indri', 'soap dispenser', 'Boston bull', 'breastplate']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Sussex spaniel', 'triceratops', 'cocker spaniel', 'gyromitra']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'isopod', 'spider web']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'black stork', 'oystercatcher', 'albatross', 'kite']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'French loaf', 'stinkhorn', 'lipstick', 'pretzel']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tailed frog', 'honeycomb', 'isopod', 'barn spider']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,potpie,"['potpie', 'custard apple', 'head cabbage', 'electric ray', 'isopod']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,platypus,"['platypus', 'coho', 'barracouta', 'kite', 'electric ray']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Siamese cat,"['Siamese cat', 'proboscis monkey', 'Chihuahua', 'hamster', 'capuchin']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'night snake', 'water snake', 'vine snake', 'Indian cobra']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,muzzle,"['muzzle', 'violin', 'hair slide', 'oxygen mask', 'whistle']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'hog', 'Arabian camel', 'conch']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,parachute,"['parachute', 'warplane', 'ladybug', 'stretcher', 'power drill']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pedestal', 'violin']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'starfish', 'knot', 'lemon']"
