,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Samoyed', 'coral fungus', 'plastic bag', 'hamster']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'buckle', 'wall clock', 'screwdriver']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stole', 'honeycomb', 'poncho', 'sea urchin']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,goldfish,"['goldfish', 'hen-of-the-woods', 'jigsaw puzzle', 'shoe shop', 'Windsor tie']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,honeycomb,"['honeycomb', 'stole', 'cockroach', 'shoe shop', 'poncho']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'waffle iron', 'oil filter', 'maze', 'screwdriver']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'waffle iron', 'wine bottle', 'chain mail', 'violin']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,candle,"['candle', 'bell pepper', 'strawberry', 'coral fungus', 'goldfish']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'turnstile', 'microwave', 'recreational vehicle', 'Polaroid camera']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'ruddy turnstone', 'red-backed sandpiper', 'brambling']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'honeycomb', 'apiary', 'coral reef']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,whistle,"['whistle', 'pick', 'chain mail', 'thimble', 'cello']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,trifle,"['trifle', 'wool', 'diaper', 'hamster', 'goldfish']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'coral fungus', 'stole']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'potpie', 'coral reef', 'frying pan']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'breastplate', 'hen-of-the-woods', 'cuirass', 'piggy bank']"
