,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,book jacket,"['book jacket', 'sarong', 'hoopskirt', 'fire screen', 'stole']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'electric ray', 'hair slide', 'bottlecap', 'brassiere']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,ski,"['ski', 'banana', 'sleeping bag', 'parachute', 'chain saw']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,scorpion,"['scorpion', 'fiddler crab', 'king crab', 'rock crab', 'wolf spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,punching bag,"['punching bag', 'quill', 'chain saw', 'sleeping bag', 'bucket']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,sleeping bag,"['sleeping bag', 'alp', 'parachute', 'volcano', 'brassiere']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,wool,"['wool', 'quill', 'drum', 'ski mask', 'snail']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'book jacket', 'triceratops', 'tiger', 'sleeping bag']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,maraca,"['maraca', 'drum', 'hand blower', 'punching bag', 'stopwatch']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'brassiere', 'stole', 'volcano']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,book jacket,"['book jacket', 'comic book', 'sarong', 'stole', 'velvet']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'buckle', 'drum', 'caldron', 'bucket']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,hair slide,"['hair slide', 'pencil box', 'sleeping bag', 'clog', 'maraca']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,maraca,"['maraca', 'bottlecap', 'mud turtle', 'ocarina', 'leatherback turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,punching bag,"['punching bag', 'shield', 'maraca', 'analog clock', 'pick']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hook,"['hook', 'nail', 'corkscrew', 'hatchet', 'maraca']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,maraca,"['maraca', 'hair slide', 'bolo tie', 'bonnet', 'electric ray']"
