,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'spotlight', 'promontory', 'nematode', 'plunger']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,spotlight,"['spotlight', 'pedestal', 'bulletproof vest', 'knee pad', 'conch']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'sweatshirt', 'quill', 'jersey', 'bulletproof vest']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'ostrich', 'spotlight', 'magpie', 'hen']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'sleeping bag', 'knee pad', 'nematode', 'broom']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,spotlight,"['spotlight', 'giant schnauzer', 'schipperke', 'American black bear', 'curly-coated retriever']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,quill,"['quill', 'sleeping bag', 'knee pad', 'ibex', 'spotlight']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,bulletproof vest,"['bulletproof vest', 'knee pad', 'hook', 'coffee mug', 'sweatshirt']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Arabian camel,"['Arabian camel', 'ibex', 'curly-coated retriever', 'flat-coated retriever', 'schipperke']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,American black bear,"['American black bear', 'Arabian camel', 'ibex', 'Newfoundland', 'spotlight']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black and gold garden spider', 'garden spider', 'black widow', 'wolf spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'electric ray', 'puck', 'face powder', 'spotlight']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,nail,"['nail', 'spotlight', 'hook', 'loupe', 'bow']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,ibex,"['ibex', 'hook', 'capuchin', 'corkscrew', 'siamang']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,quill,"['quill', 'spotlight', 'broom', 'knee pad', 'kite']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,quill,"['quill', 'spotlight', 'ibex', 'gasmask', 'sweatshirt']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,quill,"['quill', 'knee pad', 'bulletproof vest', 'spotlight', 'gasmask']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,sleeping bag,"['sleeping bag', 'quill', 'studio couch', 'knee pad', 'wallet']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,quill,"['quill', 'kite', 'vulture', 'American black bear', 'Arabian camel']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'wolf spider', 'tick', 'black and gold garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,sweatshirt,"['sweatshirt', 'jersey', 'bulletproof vest', 'spotlight', 'ibex']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,spotlight,"['spotlight', 'bald eagle', 'black grouse', 'kite', 'screw']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'white stork', 'buckeye', 'feather boa', 'vulture']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'hook', 'spotlight', 'pedestal', 'screw']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,ibex,"['ibex', 'spotlight', 'Newfoundland', 'schipperke', 'American black bear']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,bulletproof vest,"['bulletproof vest', 'puck', 'neck brace', 'caldron', 'spotlight']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,nematode,"['nematode', 'hair slide', 'ski mask', 'hook', 'neck brace']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hatchet,"['hatchet', 'hammer', 'hair slide', 'hook', 'corkscrew']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'American black bear', 'ibex', 'skunk', 'Newfoundland']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,whistle,"['whistle', 'ski', 'spotlight', 'quill', 'hair slide']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,ibex,"['ibex', 'spotlight', 'vulture', 'quill', 'parachute']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,nail,"['nail', 'kite', 'warplane', 'black stork', 'vulture']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,spotlight,"['spotlight', 'ibex', 'pedestal', 'knee pad', 'hook']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,howler monkey,"['howler monkey', 'capuchin', 'bald eagle', 'ibex', 'kite']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,sweatshirt,"['sweatshirt', 'spotlight', 'bulletproof vest', 'gasmask', 'ibex']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,spotlight,"['spotlight', 'knee pad', 'gasmask', 'bulletproof vest', 'studio couch']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,quill,"['quill', 'promontory', 'American black bear', 'broom', 'spotlight']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,quill,"['quill', 'envelope', 'nail', 'nematode', 'spotlight']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,knee pad,"['knee pad', 'quill', 'punching bag', 'sweatshirt', 'nematode']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'tick', 'tarantula']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,quill,"['quill', 'sweatshirt', 'knee pad', 'bulletproof vest', 'neck brace']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,mailbag,"['mailbag', 'quill', 'nematode', 'hatchet', 'muzzle']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,quill,"['quill', 'spotlight', 'bulletproof vest', 'knee pad', 'switch']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,ibex,"['ibex', 'kite', 'nail', 'hip', 'corkscrew']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,quill,"['quill', 'ibex', 'spotlight', 'tick', 'sleeping bag']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,American black bear,"['American black bear', 'schipperke', 'flat-coated retriever', 'giant schnauzer', 'curly-coated retriever']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,sweatshirt,"['sweatshirt', 'knee pad', 'bulletproof vest', 'spotlight', 'jersey']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,puck,"['puck', 'pick', 'face powder', 'frying pan', 'spotlight']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,corkscrew,"['corkscrew', 'quill', 'spotlight', 'pedestal', 'academic gown']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,quill,"['quill', 'spotlight', 'black stork', 'limpkin', 'bald eagle']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,puck,"['puck', 'pick', 'face powder', 'punching bag', 'spotlight']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,bulletproof vest,"['bulletproof vest', 'quill', 'sweatshirt', 'jersey', 'neck brace']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,warplane,"['warplane', 'kite', 'bow', 'ski', 'hook']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,quill,"['quill', 'ski', 'nail', 'chain saw', 'bow']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,knee pad,"['knee pad', 'ski mask', 'megalith', 'bulletproof vest', 'quill']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,quill,"['quill', 'knee pad', 'spotlight', 'jersey', 'diaper']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,quill,"['quill', 'knee pad', 'bulletproof vest', 'neck brace', 'nematode']"
