,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'spider web', 'shower curtain', 'brain coral', 'window screen']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,chainlink fence,"['chainlink fence', 'howler monkey', 'magpie', 'plastic bag', 'bee eater']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,bighorn,"['bighorn', 'book jacket', 'chainlink fence', 'pillow', 'ptarmigan']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,Gila monster,"['Gila monster', 'American alligator', 'ruffed grouse', 'Komodo dragon', 'hen']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,Gila monster,"['Gila monster', 'dung beetle', 'stone wall', 'American alligator', 'chainlink fence']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,brain coral,"['brain coral', 'eel', 'coral reef', 'chainlink fence', 'honeycomb']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'plastic bag', 'spider web', 'hip', 'proboscis monkey']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'comic book', 'tray', 'jersey', 'nematode']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,howler monkey,"['howler monkey', 'proboscis monkey', 'bald eagle', 'sulphur-crested cockatoo', 'langur']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,sulphur-crested cockatoo,"['sulphur-crested cockatoo', 'bubble', 'brown bear', 'howler monkey', 'parking meter']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,brain coral,"['brain coral', 'hen', 'peacock', 'eel', 'coral reef']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,chainlink fence,"['chainlink fence', 'prayer rug', 'maze', 'window screen', 'rapeseed']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,comic book,"['comic book', 'nematode', 'book jacket', 'buckle', 'chainlink fence']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,chainlink fence,"['chainlink fence', 'park bench', 'velvet', 'umbrella', 'prayer rug']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,chainlink fence,"['chainlink fence', 'spider web', 'shower curtain', 'maze', 'velvet']"
