,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,Irish water spaniel,"['Irish water spaniel', 'quill', 'sea urchin', 'airship', 'nematode']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,nail,"['nail', 'triumphal arch', 'panpipe', 'swab', 'quill']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,jersey,"['jersey', 'cloak', 'quill', 'bearskin', 'sweatshirt']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'ostrich', 'vulture', 'Arabian camel', 'magpie']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'cloak', 'broom', 'sleeping bag', 'nematode']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,American black bear,"['American black bear', 'giant schnauzer', 'Irish water spaniel', 'flat-coated retriever', 'chimpanzee']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,Irish water spaniel,"['Irish water spaniel', 'American black bear', 'quill', 'curly-coated retriever', 'Newfoundland']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,mailbag,"['mailbag', 'jersey', 'punching bag', 'spotlight', 'coffee mug']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Irish water spaniel,"['Irish water spaniel', 'giant schnauzer', 'standard poodle', 'curly-coated retriever', 'flat-coated retriever']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,American black bear,"['American black bear', 'skunk', 'Irish water spaniel', 'sunglass', 'quill']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black widow', 'garden spider', 'black and gold garden spider', 'wolf spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,electric ray,"['electric ray', 'pick', 'toilet seat', 'spotlight', 'caldron']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,nail,"['nail', 'kite', 'sunglass', 'black stork', 'bald eagle']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,siamang,"['siamang', 'howler monkey', 'capuchin', 'ibex', 'chimpanzee']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,quill,"['quill', 'kite', 'vulture', 'black stork', 'broom']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,quill,"['quill', 'American black bear', 'Scotch terrier', 'electric ray', 'vulture']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,electric ray,"['electric ray', 'sea urchin', 'gasmask', 'caldron', 'bearskin']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,envelope,"['envelope', 'quill', 'jersey', 'carton', 'bathtub']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,kite,"['kite', 'quill', 'skunk', 'vulture', 'bald eagle']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'rhinoceros beetle', 'ground beetle', 'black widow']"
