,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'hen-of-the-woods', 'honeycomb']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'head cabbage', 'custard apple', 'broccoli', 'strawberry']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'rifle', 'assault rifle', 'revolver', 'holster']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,English foxhound,"['English foxhound', 'triceratops', 'muzzle', 'platypus', 'Appenzeller']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,conch,"['conch', 'electric ray', 'ptarmigan', 'hog', 'Sealyham terrier']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'projectile', 'space shuttle', 'airship']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,parachute,"['parachute', 'cuirass', 'breastplate', 'Boston bull', 'plastic bag']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,standard schnauzer,"['standard schnauzer', 'miniature schnauzer', 'triceratops', 'cocker spaniel', 'Gordon setter']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'spider web', 'isopod']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'albatross', 'water ouzel', 'goose', 'cuirass']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'ice lolly', 'velvet', 'meat loaf', 'stinkhorn']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'honeycomb', 'African chameleon', 'broccoli']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'chiton', 'French loaf', 'potpie', 'hen-of-the-woods']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,electric ray,"['electric ray', 'platypus', 'banded gecko', 'kite', 'horned viper']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,basset,"['basset', 'English foxhound', 'Welsh springer spaniel', 'Siamese cat', 'Chihuahua']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,Indian cobra,"['Indian cobra', 'night snake', 'chain', 'nematode', 'sea snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,hair slide,"['hair slide', 'muzzle', 'whistle', 'violin', 'mousetrap']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hippopotamus', 'Arabian camel', 'hog', 'electric ray']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,fiddler crab,"['fiddler crab', 'kite', 'parachute', 'stretcher', 'hair slide']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,pedestal,"['pedestal', 'electric guitar', 'totem pole', 'banjo', 'screw']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'hotdog', 'chiton', 'conch']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'switch', 'printer', 'desk', 'safe']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,bloodhound,"['bloodhound', 'hen-of-the-woods', 'English foxhound', 'red wolf', 'triceratops']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,bagel,"['bagel', 'pretzel', 'conch', 'potpie', 'French loaf']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ruffed grouse,"['ruffed grouse', 'ruddy turnstone', 'kite', 'black grouse', 'prairie chicken']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,bow tie,"['bow tie', 'holster', 'hair slide', 'whistle', 'flagpole']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,Granny Smith,"['Granny Smith', 'artichoke', 'cucumber', 'banana', 'bell pepper']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'African chameleon', 'hen-of-the-woods']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,triceratops,"['triceratops', 'hog', 'ice bear', 'Arabian camel', 'kite']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,Arabian camel,"['Arabian camel', 'hog', 'cougar', 'bighorn', 'ibex']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'Airedale', 'ibex', 'cocker spaniel']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,cradle,"['cradle', 'oxygen mask', 'soap dispenser', 'can opener', 'iron']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,hair slide,"['hair slide', 'chain saw', 'muzzle', 'neck brace', 'bow']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,grey fox,"['grey fox', 'tabby', 'coyote', 'conch', 'bulletproof vest']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,shower cap,"['shower cap', 'lemon', 'head cabbage', 'conch', 'spotlight']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,entertainment center,"['entertainment center', 'desk', 'medicine chest', 'cash machine', 'dining table']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'candle', 'Windsor tie', 'shower cap', 'swimming trunks']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,kite,"['kite', 'conch', 'hen-of-the-woods', 'triceratops', 'banded gecko']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,triceratops,"['triceratops', 'Arabian camel', 'muzzle', 'banded gecko', 'bloodhound']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Airedale,"['Airedale', 'hen-of-the-woods', 'honeycomb', 'conch', 'Lakeland terrier']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,weasel,"['weasel', 'American alligator', 'knot', 'nail', 'mink']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'gyromitra', 'ruffed grouse', 'hair slide']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'shower cap', 'broccoli', 'custard apple']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,kite,"['kite', 'African hunting dog', 'albatross', 'German short-haired pointer', 'Arabian camel']"
44,SilTex_rabbit_ILSVRC2012_val_00006108_st.jpg,tabby,"['tabby', 'triceratops', 'bulletproof vest', 'pedestal', 'frilled lizard']"
45,SilTex_squirrel_ILSVRC2012_val_00035501_st.jpg,African chameleon,"['African chameleon', 'kite', 'electric ray', 'frilled lizard', 'banded gecko']"
46,SilTex_shoe_ILSVRC2012_val_00020303_st.jpg,warplane,"['warplane', 'projectile', 'submarine', 'stretcher', 'rifle']"
47,SilTex_lobster_ILSVRC2012_val_00002502_st.jpg,scorpion,"['scorpion', 'banded gecko', 'isopod', 'ant', 'common newt']"
48,SilTex_frog_ILSVRC2012_val_00022660_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'artichoke', 'mantis', 'vase']"
