,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,hair slide,"['hair slide', 'mitten', 'nail', 'pick', 'strawberry']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'matchstick', 'strawberry']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'nail', 'screw', 'parachute', 'tick']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,hair slide,"['hair slide', 'nail', 'knot', 'buckle', 'safety pin']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nail,"['nail', 'nematode', 'tick', 'parachute', 'barn spider']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'tick', 'nail', 'African chameleon', 'pick']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'strawberry', 'safety pin']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'parachute', 'knot']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,hair slide,"['hair slide', 'nail', 'broom', 'safety pin', 'doormat']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,nail,"['nail', 'parachute', 'hair slide', 'tick', 'ant']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'knot', 'strawberry']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'parachute', 'kite', 'warplane', 'nail']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'ant', 'garden spider', 'black widow']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,nail,"['nail', 'hair slide', 'parachute', 'tick', 'ant']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'safety pin', 'doormat']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,nail,"['nail', 'kite', 'bald eagle', 'airship', 'ant']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,nail,"['nail', 'hair slide', 'matchstick', 'screw', 'parachute']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,tick,"['tick', 'barn spider', 'ant', 'warplane', 'wolf spider']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'bolo tie', 'screw', 'knot', 'matchstick']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,hair slide,"['hair slide', 'nail', 'lakeside', 'rapeseed', 'parachute']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'matchstick', 'swab', 'hook']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,nail,"['nail', 'airship', 'hair slide', 'parachute', 'screw']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'safety pin', 'knot']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'parachute', 'tick']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'matchstick', 'banded gecko']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,nail,"['nail', 'hair slide', 'parachute', 'matchstick', 'Irish water spaniel']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,nail,"['nail', 'hair slide', 'Kerry blue terrier', 'strawberry', 'Scotch terrier']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,screw,"['screw', 'nail', 'hair slide', 'parachute', 'airship']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nail,"['nail', 'hair slide', 'matchstick', 'parachute', 'airship']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'matchstick', 'broom']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,nail,"['nail', 'hair slide', 'parachute', 'matchstick', 'isopod']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,nail,"['nail', 'tick', 'hair slide', 'parachute', 'matchstick']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,tick,"['tick', 'nail', 'barn spider', 'hair slide', 'ant']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'tick', 'matchstick']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'nail', 'tick', 'parachute', 'matchstick']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,screw,"['screw', 'nail', 'tick', 'hook', 'maypole']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,hair slide,"['hair slide', 'nail', 'strawberry', 'mitten', 'safety pin']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,hair slide,"['hair slide', 'nail', 'screw', 'banded gecko', 'knot']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'parachute', 'strawberry']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,nail,"['nail', 'hair slide', 'screw', 'parachute', 'ski']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nail,"['nail', 'nematode', 'parachute', 'screw', 'barn spider']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'parachute', 'screw']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,hair slide,"['hair slide', 'parachute', 'nail', 'tick', 'airship']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,hair slide,"['hair slide', 'parachute', 'matchstick', 'nail', 'starfish']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,hair slide,"['hair slide', 'nail', 'mitten', 'broom', 'poncho']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,hair slide,"['hair slide', 'nail', 'pick', 'Kerry blue terrier', 'matchstick']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,nail,"['nail', 'hair slide', 'strawberry', 'matchstick', 'tick']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'matchstick', 'tick']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,nail,"['nail', 'parachute', 'screw', 'matchstick', 'tick']"
49,Cro5dva_v07_frog_ILSVRC2012_val_00010287_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'broom', 'Kerry blue terrier']"
50,Cro5dva_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,nail,"['nail', 'hair slide', 'strawberry', 'matchstick', 'pick']"
51,Cro5dva_v07_banana_ILSVRC2012_val_00049606_cd.jpg,nail,"['nail', 'screw', 'horned viper', 'hair slide', 'parachute']"
52,Cro5dva_v07_mug_ILSVRC2012_val_00027194_cd.jpg,hair slide,"['hair slide', 'nail', 'buckle', 'mitten', 'safety pin']"
53,Cro5dva_v07_flower_ILSVRC2012_val_00013936_cd.jpg,hair slide,"['hair slide', 'nail', 'ant', 'tick', 'matchstick']"
54,Cro5dva_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,nail,"['nail', 'screw', 'hair slide', 'tick', 'matchstick']"
55,Cro5dva_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,nail,"['nail', 'parachute', 'screw', 'matchstick', 'hook']"
56,Cro5dva_v07_crab_ILSVRC2012_val_00008705_cd.jpg,tick,"['tick', 'ant', 'hair slide', 'nail', 'parachute']"
57,Cro5dva_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'Kerry blue terrier', 'broom']"
58,Cro5dva_v07_chair_ILSVRC2012_val_00001953_cd.jpg,nail,"['nail', 'screw', 'airship', 'parachute', 'hair slide']"
59,Cro5dva_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'screw', 'tick']"
60,Cro5dva_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,nail,"['nail', 'parachute', 'hair slide', 'screw', 'matchstick']"
61,Cro5dva_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,nail,"['nail', 'screw', 'tick', 'warplane', 'parachute']"
62,Cro5dva_v07_camel_ILSVRC2012_val_00013553_cd.jpg,hair slide,"['hair slide', 'nail', 'matchstick', 'parachute', 'strawberry']"
63,Cro5dva_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,hair slide,"['hair slide', 'nail', 'screw', 'banded gecko', 'common newt']"
64,Cro5dva_v07_gun_ILSVRC2012_val_00016796_cd.jpg,hair slide,"['hair slide', 'parachute', 'tick', 'nail', 'screw']"
65,Cro5dva_v07_snail_ILSVRC2012_val_00046248_cd.jpg,tick,"['tick', 'hair slide', 'nail', 'parachute', 'matchstick']"
