,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,African chameleon,"['African chameleon', 'sea urchin', 'porcupine', 'window screen', 'face powder']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,affenpinscher,"['affenpinscher', 'Irish water spaniel', 'Bouvier des Flandres', 'Kerry blue terrier', 'Scotch terrier']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,digital clock,"['digital clock', 'Gila monster', 'screw', 'lipstick', 'African chameleon']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,window screen,"['window screen', 'nematode', 'digital clock', 'strainer', 'whistle']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,screw,"['screw', 'corkscrew', 'nail', 'tripod', 'jersey']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain saw,"['chain saw', 'digital clock', 'coil', 'hen-of-the-woods', 'Gila monster']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,digital clock,"['digital clock', 'window screen', 'African chameleon', 'hen-of-the-woods', 'mitten']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'affenpinscher', 'skunk', 'mitten', 'Gila monster']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'affenpinscher', 'honeycomb', 'chain saw', 'Irish water spaniel']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,screw,"['screw', 'tripod', 'jersey', 'corkscrew', 'digital clock']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,coral fungus,"['coral fungus', 'Irish water spaniel', 'hen-of-the-woods', 'affenpinscher', 'wool']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'corkscrew', 'digital clock', 'airship', 'warplane']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'screw', 'envelope', 'jersey', 'menu']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,screw,"['screw', 'envelope', 'chain saw', 'digital clock', 'lipstick']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'coral fungus', 'hen-of-the-woods', 'jigsaw puzzle', 'traffic light']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,screw,"['screw', 'menu', 'envelope', 'corkscrew', 'spider web']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,diamondback,"['diamondback', 'digital clock', 'American alligator', 'screw', 'oboe']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,screw,"['screw', 'spider web', 'corkscrew', 'jersey', 'envelope']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'lampshade', 'jersey', 'American alligator', 'strainer']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'warplane', 'airship', 'digital clock', 'handkerchief']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,rule,"['rule', 'oboe', 'screw', 'binder', 'acoustic guitar']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,digital clock,"['digital clock', 'oscilloscope', 'rule', 'airship', 'screw']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,window screen,"['window screen', 'coral fungus', 'jigsaw puzzle', 'handkerchief', 'hen-of-the-woods']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,digital clock,"['digital clock', 'black stork', 'Irish water spaniel', 'affenpinscher', 'chain saw']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Gila monster,"['Gila monster', 'Kerry blue terrier', 'banded gecko', 'starfish', 'American alligator']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'affenpinscher', 'Kerry blue terrier', 'Bouvier des Flandres', 'American alligator']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,window screen,"['window screen', 'white stork', 'black stork', 'American alligator', 'sea urchin']"
