,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'hair slide', 'jersey', 'face powder', 'pick']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,sea cucumber,"['sea cucumber', 'Kerry blue terrier', 'Gila monster', 'American alligator', 'hair slide']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,American alligator,"['American alligator', 'Kerry blue terrier', 'nematode', 'airship', 'starfish']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,nematode,"['nematode', 'chain mail', 'hook', 'coffee mug', 'cup']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,corkscrew,"['corkscrew', 'nematode', 'scorpion', 'hook', 'screw']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'horned viper', 'jersey', 'knot', 'nematode']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,nematode,"['nematode', 'digital clock', 'sea cucumber', 'mitten', 'leatherback turtle']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,sea cucumber,"['sea cucumber', 'Gila monster', 'nematode', 'Kerry blue terrier', 'American alligator']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'mitten', 'wool', 'stole', 'chain mail']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,nematode,"['nematode', 'American alligator', 'barn spider', 'isopod', 'screw']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'mitten', 'hair slide', 'chain mail', 'face powder']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,airship,"['airship', 'screw', 'envelope', 'nematode', 'American alligator']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'isopod', 'scorpion']"
