,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'Gila monster', 'mud turtle', 'terrapin', 'tailed frog']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'American black bear', 'otter', 'mongoose', 'king penguin']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'cardoon', 'artichoke', 'custard apple', 'hen-of-the-woods']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'isopod', 'coral fungus', 'sea anemone', 'centipede']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,fur coat,"['fur coat', 'hen-of-the-woods', 'brown bear', 'coral reef', 'Sussex spaniel']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,sandal,"['sandal', 'coffee mug', 'pitcher', 'cup', 'coffeepot']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,honeycomb,"['honeycomb', 'barn spider', 'garden spider', 'hen-of-the-woods', 'hognose snake']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,meerkat,"['meerkat', 'Arabian camel', 'ibex', 'cougar', 'bighorn']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'orange', 'shower curtain', 'clog', 'ear']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,Weimaraner,"['Weimaraner', 'hippopotamus', 'Mexican hairless', 'Indian elephant', 'hog']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'ox', 'Irish wolfhound', 'llama', 'Arabian camel']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'ringlet', 'barn spider', 'lycaenid', 'black and gold garden spider']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,wood rabbit,"['wood rabbit', 'hare', 'fox squirrel', 'grey fox', 'coyote']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,velvet,"['velvet', 'manhole cover', 'doormat', 'fire screen', 'thunder snake']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'tick', 'barn spider', 'lemon', 'spaghetti squash']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,warplane,"['warplane', 'hen-of-the-woods', 'aircraft carrier', 'trimaran', 'sea lion']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,cardoon,"['cardoon', 'broccoli', 'ear', 'artichoke', 'coral fungus']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,spotlight,"['spotlight', 'electric fan', 'microphone', 'dumbbell', 'gasmask']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,analog clock,"['analog clock', 'odometer', 'stopwatch', 'wall clock', 'scale']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,hare,"['hare', 'coyote', 'wood rabbit', 'ibex', 'kit fox']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'agaric', 'quilt', 'studio couch']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'tusker', 'Great Dane', 'African elephant', 'Weimaraner']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,hog,"['hog', 'wild boar', 'triceratops', 'kelpie', 'wallaby']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,kuvasz,"['kuvasz', 'Samoyed', 'Great Pyrenees', 'chow', 'golden retriever']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,brown bear,"['brown bear', 'Newfoundland', 'otter', 'Sussex spaniel', 'ibex']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'hen-of-the-woods', 'meerkat', 'earthstar', 'ibex']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,valley,"['valley', 'tile roof', 'lumbermill', 'sandbar', 'brain coral']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,Granny Smith,"['Granny Smith', 'tick', 'fig', 'ant', 'acorn']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,Labrador retriever,"['Labrador retriever', 'golden retriever', 'Great Pyrenees', 'Border terrier', 'kuvasz']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,prairie chicken,"['prairie chicken', 'partridge', 'brambling', 'ruffed grouse', 'echidna']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,ear,"['ear', 'corn', 'honeycomb', 'brain coral', 'isopod']"
31,Fil_lobster_ILSVRC2012_val_00002502_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'whiptail', 'stinkhorn', 'tarantula', 'gyromitra']"
32,Fil_shoe_ILSVRC2012_val_00033141_f.jpg,running shoe,"['running shoe', 'toilet tissue', 'doormat', 'shower curtain', 'paper towel']"
33,Fil_helmet_ILSVRC2012_val_00032342_f.jpg,oxygen mask,"['oxygen mask', 'bathtub', 'toilet seat', 'bonnet', 'trimaran']"
34,Fil_frog_ILSVRC2012_val_00022660_f.jpg,African chameleon,"['African chameleon', 'vine snake', 'tree frog', 'green mamba', 'green snake']"
35,Fil_car_ILSVRC2012_val_00005456_f.jpg,sports car,"['sports car', 'motor scooter', 'racer', 'convertible', 'moped']"
36,Fil_squirrel_ILSVRC2012_val_00024584_f.jpg,fox squirrel,"['fox squirrel', 'mongoose', 'meerkat', 'grey fox', 'red fox']"
37,Fil_gun_ILSVRC2012_val_00012180_f.jpg,revolver,"['revolver', 'holster', 'rifle', 'assault rifle', 'scabbard']"
38,Fil_horse_ILSVRC2012_val_00011600_f.jpg,sorrel,"['sorrel', 'impala', 'African hunting dog', 'red wolf', 'gazelle']"
39,Fil_chair_ILSVRC2012_val_00004120_f.jpg,stole,"['stole', 'poncho', 'swimming trunks', 'bulletproof vest', 'brassiere']"
40,Fil_helmet_ILSVRC2012_val_00047186_f.jpg,crash helmet,"['crash helmet', 'racer', 'bobsled', 'quilt', 'football helmet']"
41,Fil_clock_ILSVRC2012_val_00035392_f.jpg,wall clock,"['wall clock', 'analog clock', 'odometer', 'stopwatch', 'barometer']"
42,Fil_airplane_ILSVRC2012_val_00049097_f.jpg,rifle,"['rifle', 'hammer', 'revolver', ""carpenter's kit"", 'cleaver']"
43,Fil_bee_ILSVRC2012_val_00042015_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ruddy turnstone', 'valley', 'brambling', 'alp']"
44,Fil_car_ILSVRC2012_val_00037128_f.jpg,tank,"['tank', 'jeep', 'half track', 'amphibian', 'cassette']"
45,Fil_banana_ILSVRC2012_val_00046575_f.jpg,banana,"['banana', 'cucumber', 'pineapple', 'zucchini', 'ear']"
46,Fil_snail_ILSVRC2012_val_00001959_f.jpg,coil,"['coil', 'chambered nautilus', 'snail', 'hen-of-the-woods', 'conch']"
47,Fil_crab_ILSVRC2012_val_00034670_f.jpg,coral reef,"['coral reef', 'brain coral', 'sea anemone', 'starfish', 'hen-of-the-woods']"
48,Fil_acorn_ILSVRC2012_val_00031536_f.jpg,acorn,"['acorn', 'snail', 'conch', 'mud turtle', 'box turtle']"
49,Fil_monkey_ILSVRC2012_val_00003631_f.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'gyromitra', 'macaque', 'gibbon']"
