,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,Samoyed,"['Samoyed', 'Angora', 'Maltese dog', 'West Highland white terrier', 'Great Pyrenees']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'nail', 'maze', 'chain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'chain', 'coral fungus', 'wool', 'chain mail']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,coho,"['coho', 'seashore', 'hammerhead', 'hen-of-the-woods', 'barracouta']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,stole,"['stole', 'velvet', 'wool', 'poncho', 'Windsor tie']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,dumbbell,"['dumbbell', 'monitor', 'barbell', 'palace', 'cinema']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,beer bottle,"['beer bottle', 'shoe shop', 'wine bottle', 'restaurant', 'rifle']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,goldfish,"['goldfish', 'candle', 'conch', 'sea slug', 'vase']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,desk,"['desk', 'recreational vehicle', 'safe', 'mobile home', 'organ']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,bee,"['bee', 'hen-of-the-woods', 'honeycomb', 'rock beauty', 'goldfinch']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,honeycomb,"['honeycomb', 'jackfruit', 'apiary', 'pineapple', 'custard apple']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,acoustic guitar,"['acoustic guitar', 'screw', 'pinwheel', 'hair slide', 'whistle']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'bee', 'vase', 'honeycomb', 'rapeseed']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'honeycomb', 'stinkhorn', 'coral reef']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'coral reef', 'cauliflower', 'guacamole']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,hair slide,"['hair slide', 'breastplate', 'cuirass', 'mask', 'crash helmet']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,spider web,"['spider web', 'hen-of-the-woods', 'bee', 'barn spider', 'garden spider']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'cliff', 'coral fungus', 'valley']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'hammerhead', 'electric ray', 'coral reef', 'stingray']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'head cabbage', 'custard apple', 'pineapple', 'mashed potato']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'wool', 'coho', 'pineapple']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'assault rifle', 'plane', 'lumbermill', 'panpipe']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'stole', 'coral reef', 'sea anemone', 'sea urchin']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'stone wall', 'cliff', 'alp', 'ibex']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'horned viper', 'sidewinder', 'hognose snake', 'volcano']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,dumbbell,"['dumbbell', 'maze', 'half track', 'monitor', 'barbell']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,motor scooter,"['motor scooter', 'coho', 'warplane', 'aircraft carrier', 'shoe shop']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,Blenheim spaniel,"['Blenheim spaniel', 'titi', 'collie', 'gibbon', 'wire-haired fox terrier']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Sussex spaniel', 'cocker spaniel', 'Irish water spaniel', 'three-toed sloth']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'jackfruit', 'brain coral', 'coral reef']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,medicine chest,"['medicine chest', 'washbasin', 'sewing machine', 'bathtub', 'refrigerator']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ptarmigan', 'coral fungus', 'Arctic fox', 'black grouse']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,tiger,"['tiger', 'tiger cat', 'fur coat', 'hen-of-the-woods', 'tabby']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'hen-of-the-woods', 'Madagascar cat', 'tiger cat', 'skunk']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,maze,"['maze', 'organ', 'panpipe', 'dumbbell', 'jigsaw puzzle']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'buckeye', 'earthstar', 'coral fungus', 'coral reef']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,black grouse,"['black grouse', 'wire-haired fox terrier', 'borzoi', 'fur coat', 'Old English sheepdog']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'velvet', 'mushroom', 'coral reef']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,artichoke,"['artichoke', 'head cabbage', 'custard apple', 'cardoon', 'green mamba']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'gyromitra', 'velvet', 'mushroom']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'quilt', 'restaurant', 'palace', 'velvet']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,photocopier,"['photocopier', 'maze', 'shower curtain', 'refrigerator', 'oscilloscope']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'cardoon', 'artichoke', 'broccoli', 'valley']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,desk,"['desk', 'photocopier', 'microwave', 'medicine chest', 'projector']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,lumbermill,"['lumbermill', 'rifle', 'hammer', 'plane', 'nail']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,nail,"['nail', 'scabbard', 'tile roof', 'worm fence', 'lumbermill']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'tarantula', 'bee', 'ant']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,Granny Smith,"['Granny Smith', 'ant', 'goldfinch', 'damselfly', 'ladybug']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,velvet,"['velvet', 'Granny Smith', 'head cabbage', 'apron', 'shower curtain']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,pineapple,"['pineapple', 'hen-of-the-woods', 'buckeye', 'coral reef', 'gyromitra']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tabby', 'tarantula', 'wool', 'gyromitra']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'loggerhead', 'jigsaw puzzle', 'sidewinder']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,desk,"['desk', 'paper towel', 'hook', 'monitor', 'jigsaw puzzle']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'valley', 'sea lion', 'lakeside', 'seashore']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'earthstar', 'coral reef', 'Shih-Tzu', 'coral fungus']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'coral reef', 'sea slug', 'honeycomb']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,space bar,"['space bar', 'maze', ""carpenter's kit"", 'chain', 'bulletproof vest']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'mushroom', 'stinkhorn', 'coral fungus']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,tick,"['tick', 'Granny Smith', 'ant', 'buckeye', 'ladybug']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,motor scooter,"['motor scooter', 'crash helmet', 'shoe shop', 'running shoe', 'snowmobile']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,chain mail,"['chain mail', 'hen-of-the-woods', 'chain', 'nail', 'shoe shop']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,syringe,"['syringe', 'maze', 'wool', 'bulletproof vest', 'oil filter']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,valley,"['valley', 'alp', 'stone wall', 'ibex', 'promontory']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'brain coral', 'wool', 'stole']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'stinkhorn', 'mushroom', 'nail']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'brain coral', 'albatross', 'quilt', 'goose']"
66,Tex_banana_ILSVRC2012_val_00003412_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'coral reef', 'brain coral', 'coral fungus']"
67,Tex_spider_ILSVRC2012_val_00029156_t.jpg,horned viper,"['horned viper', 'sidewinder', 'hen-of-the-woods', 'whiptail', 'hognose snake']"
68,Tex_banana_ILSVRC2012_val_00046575_t.jpg,brain coral,"['brain coral', 'sea anemone', 'velvet', 'jackfruit', 'cucumber']"
69,Tex_frog_ILSVRC2012_val_00033769_t.jpg,gyromitra,"['gyromitra', 'electric ray', 'flatworm', 'hen-of-the-woods', 'sea slug']"
70,Tex_cabbage_ILSVRC2012_val_00007752_t.jpg,head cabbage,"['head cabbage', 'pot', 'hen-of-the-woods', 'velvet', 'custard apple']"
71,Tex_airplane_ILSVRC2012_val_00030531_t.jpg,goldfish,"['goldfish', 'lifeboat', 'grocery store', 'conch', 'warplane']"
72,Tex_rabbit_ILSVRC2012_val_00021667_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Airedale', 'Lakeland terrier', 'toy poodle', 'wool']"
73,Tex_microwave_ILSVRC2012_val_00027917_t.jpg,bulletproof vest,"['bulletproof vest', 'assault rifle', 'holster', 'rifle', 'shoe shop']"
74,Tex_car_ILSVRC2012_val_00034824_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'shoe shop', 'seashore', 'coral reef', 'hen-of-the-woods']"
75,Tex_pineapple_ILSVRC2012_val_00029522_t.jpg,cardoon,"['cardoon', 'bee', 'hen-of-the-woods', 'earthstar', 'pineapple']"
76,Tex_camel_ILSVRC2012_val_00013553_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'brain coral', 'coral fungus', 'mushroom', 'meerkat']"
77,Tex_snake_ILSVRC2012_val_00027631_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'velvet', 'wool', 'chain mail']"
78,Tex_dryer_ILSVRC2012_val_00027635_t.jpg,spider web,"['spider web', 'tarantula', 'velvet', 'beer bottle', 'starfish']"
79,Tex_squirrel_ILSVRC2012_val_00035501_t.jpg,coral reef,"['coral reef', 'brain coral', 'sea cucumber', 'sea anemone', 'chiton']"
80,Tex_elephant_ILSVRC2012_val_00011247_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'sea lion', 'gyromitra', 'hog']"
81,Tex_mushroom_ILSVRC2012_val_00009394_t.jpg,pajama,"['pajama', 'coral reef', 'agaric', 'velvet', 'coral fungus']"
82,Tex_butterfly_ILSVRC2012_val_00013795_t.jpg,ant,"['ant', 'bee', 'daisy', 'tick', 'water snake']"
83,Tex_flower_ILSVRC2012_val_00048934_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', 'velvet', 'sarong', 'daisy']"
84,Tex_cabbage_ILSVRC2012_val_00019287_t.jpg,indigo bunting,"['indigo bunting', 'kite', 'cardoon', 'jacamar', 'brambling']"
85,Tex_shoe_ILSVRC2012_val_00020303_t.jpg,warplane,"['warplane', 'bulletproof vest', 'tank', 'tile roof', 'rifle']"
86,Tex_bird_ILSVRC2012_val_00030545_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'red-backed sandpiper', 'brambling', 'sea anemone']"
87,Tex_mug_ILSVRC2012_val_00020276_t.jpg,shower curtain,"['shower curtain', 'paper towel', 'breastplate', 'cuirass', 'Samoyed']"
88,Tex_crab_ILSVRC2012_val_00004462_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'stinkhorn', 'honeycomb', 'fiddler crab']"
89,Tex_bear_ILSVRC2012_val_00041813_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'coral fungus', 'bee', 'tarantula']"
90,Tex_strawberry_ILSVRC2012_val_00031440_t.jpg,velvet,"['velvet', 'strawberry', 'sarong', 'stole', 'sea anemone']"
91,Tex_flower_ILSVRC2012_val_00019320_t.jpg,daisy,"['daisy', 'handkerchief', 'paper towel', 'quilt', 'shower cap']"
