,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,obelisk,"['obelisk', 'book jacket', 'pedestal', 'pole', 'totem pole']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'leatherback turtle', 'hair slide', 'parachute', 'electric ray']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,chain saw,"['chain saw', 'radio telescope', 'wreck', 'ski', 'airship']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,barn spider,"['barn spider', 'fiddler crab', 'scorpion', 'tick', 'rock crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,shield,"['shield', 'drum', 'bolo tie', 'pick', 'loupe']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,volcano,"['volcano', 'alp', 'ski', 'mountain tent', 'chain saw']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,airship,"['airship', 'balloon', 'terrapin', 'isopod', 'sombrero']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,Arabian camel,"['Arabian camel', 'Scottish deerhound', 'warthog', 'flat-coated retriever', 'African hunting dog']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'holster', 'microphone', 'knee pad', 'muzzle']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,volcano,"['volcano', 'alp', 'platypus', 'American alligator', 'sea cucumber']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,book jacket,"['book jacket', 'timber wolf', 'volcano', 'comic book', 'alp']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'whiskey jug', 'pitcher', 'coffeepot']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'parachute', 'electric ray', 'volcano', 'platypus']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'leatherback turtle', 'loggerhead', 'box turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'shield', 'drum', 'rugby ball', 'tray']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,bow,"['bow', 'crane', 'hook', 'stretcher', 'hand blower']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,hatchet,"['hatchet', 'hen-of-the-woods', 'flatworm', 'hook', 'Indian cobra']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,pick,"['pick', 'electric ray', 'chambered nautilus', 'shield', 'steel drum']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,pick,"['pick', 'hair slide', 'bolo tie', 'chambered nautilus', 'tick']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,chain saw,"['chain saw', 'mousetrap', 'hard disc', 'wallet', 'carton']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,alp,"['alp', 'volcano', 'Arabian camel', 'sleeping bag', 'electric ray']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'microwave', 'oscilloscope', 'book jacket', 'menu']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,folding chair,"['folding chair', 'rocking chair', 'throne', 'mousetrap', 'plate rack']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,shield,"['shield', 'tray', 'sundial', 'pick', 'magnetic compass']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'bow', 'hair slide', 'common newt', 'long-horned beetle']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,flat-coated retriever,"['flat-coated retriever', 'Gordon setter', 'Newfoundland', 'Sussex spaniel', 'clumber']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'chime', 'solar dish', 'shield', 'punching bag']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,brassiere,"['brassiere', 'great grey owl', 'leopard', 'Egyptian cat', 'snow leopard']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,nematode,"['nematode', 'knot', 'hook', 'slug', 'Indian cobra']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,head cabbage,"['head cabbage', 'bonnet', 'shower cap', 'sleeping bag', 'plastic bag']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,Scotch terrier,"['Scotch terrier', 'warthog', 'hatchet', 'giant schnauzer', 'holster']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,head cabbage,"['head cabbage', 'shower cap', 'radio telescope', 'pick', 'plastic bag']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,knot,"['knot', 'chain saw', 'American alligator', 'ski', 'letter opener']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,rifle,"['rifle', 'revolver', 'assault rifle', 'holster', 'cleaver']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,rugby ball,"['rugby ball', 'crash helmet', 'soccer ball', 'mountain tent', 'lampshade']"
