,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'sea urchin', 'porcupine', 'electric ray', 'ski mask']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'broccoli', 'Gila monster', 'chain mail', 'Irish water spaniel']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'tick', 'web site', 'safety pin', 'nematode']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'ski mask', 'Gila monster', 'tick', 'hourglass']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'sidewinder', 'sea snake', 'oscilloscope', 'night snake']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,tick,"['tick', 'nematode', 'chiton', 'ant', 'isopod']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'tick', 'safety pin', 'electric ray']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'nematode', 'affenpinscher', 'tick']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,crossword puzzle,"['crossword puzzle', 'chain mail', 'web site', 'oscilloscope', 'panpipe']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'tick', 'curly-coated retriever', 'affenpinscher']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,broccoli,"['broccoli', 'Kerry blue terrier', 'porcupine', 'Irish water spaniel', 'chain mail']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,nematode,"['nematode', 'web site', 'ant', 'tick', 'oscilloscope']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,tick,"['tick', 'scorpion', 'barn spider', 'tarantula', 'black widow']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,tick,"['tick', 'nematode', 'ant', 'scorpion', 'jersey']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,broccoli,"['broccoli', 'chain mail', 'pot', 'safety pin', 'broom']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'tick', 'nematode', 'scorpion', 'web site']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,nematode,"['nematode', 'nail', 'tick', 'hourglass', 'lipstick']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'tick', 'wolf spider', 'black widow', 'garden spider']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'screw', 'nematode', 'starfish', 'hand blower']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,broccoli,"['broccoli', 'pot', 'web site', 'broom', 'rule']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,nail,"['nail', 'screw', 'digital clock', 'power drill', 'hourglass']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,web site,"['web site', 'oscilloscope', 'panpipe', 'airship', 'envelope']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,chain mail,"['chain mail', 'broccoli', 'safety pin', 'Gila monster', 'honeycomb']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,broccoli,"['broccoli', 'ant', 'tick', 'Kerry blue terrier', 'web site']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'Gila monster', 'Bouvier des Flandres', 'banded gecko']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'Bouvier des Flandres', 'affenpinscher', 'standard poodle']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'hare', 'porcupine', 'Irish water spaniel', 'wood rabbit']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,web site,"['web site', 'digital clock', 'oscilloscope', 'rule', 'airship']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,lipstick,"['lipstick', 'chain mail', 'hourglass', 'oscilloscope', 'digital clock']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,broccoli,"['broccoli', 'Kerry blue terrier', 'web site', 'envelope', 'tick']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,hourglass,"['hourglass', 'porcupine', 'electric ray', 'pick', 'tick']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,tick,"['tick', 'Kerry blue terrier', 'broccoli', 'nematode', 'ant']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,tick,"['tick', 'safety pin', 'ant', 'scorpion', 'black widow']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,tick,"['tick', 'Kerry blue terrier', 'nematode', 'ant', 'web site']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,tick,"['tick', 'broccoli', 'ant', 'Kerry blue terrier', 'hair slide']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,tick,"['tick', 'pole', 'drilling platform', 'web site', 'nail']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'electric ray', 'ski mask', 'chiton', 'tick']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,nematode,"['nematode', 'sidewinder', 'banded gecko', 'scorpion', 'nail']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,lipstick,"['lipstick', 'face powder', 'nematode', 'isopod', 'paintbrush']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'tick', 'safety pin', 'ant', 'digital clock']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'sidewinder', 'oscilloscope', 'scorpion', 'analog clock']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,broccoli,"['broccoli', 'Kerry blue terrier', 'tick', 'ant', 'nematode']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,web site,"['web site', 'oscilloscope', 'digital clock', 'tick', 'ant']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'tick', 'banded gecko', 'scorpion']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'chain mail', 'broccoli', 'safety pin']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,broccoli,"['broccoli', 'Kerry blue terrier', 'Gila monster', 'tick', 'chain mail']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,tick,"['tick', 'nematode', 'hourglass', 'isopod', 'quill']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,broccoli,"['broccoli', 'tick', 'Kerry blue terrier', 'chain mail', 'porcupine']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,tick,"['tick', 'web site', 'ant', 'jersey', 'hourglass']"
49,Cro5dva_v07_frog_ILSVRC2012_val_00010287_cd.jpg,broccoli,"['broccoli', 'hourglass', 'Kerry blue terrier', 'web site', 'ant']"
50,Cro5dva_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,chain mail,"['chain mail', 'hourglass', 'sea urchin', 'tick', 'electric ray']"
51,Cro5dva_v07_banana_ILSVRC2012_val_00049606_cd.jpg,nematode,"['nematode', 'centipede', 'sea cucumber', 'Kerry blue terrier', 'screw']"
52,Cro5dva_v07_mug_ILSVRC2012_val_00027194_cd.jpg,chain mail,"['chain mail', 'ski mask', 'wool', 'Gila monster', 'Band Aid']"
53,Cro5dva_v07_flower_ILSVRC2012_val_00013936_cd.jpg,broccoli,"['broccoli', 'chain mail', 'web site', 'pot', 'ant']"
54,Cro5dva_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,tick,"['tick', 'sax', 'nematode', 'oboe', 'web site']"
55,Cro5dva_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,nematode,"['nematode', 'tick', 'scorpion', 'lipstick', 'isopod']"
56,Cro5dva_v07_crab_ILSVRC2012_val_00008705_cd.jpg,tick,"['tick', 'nematode', 'ant', 'web site', 'scorpion']"
57,Cro5dva_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'broccoli', 'digital clock', 'web site', 'Gila monster']"
58,Cro5dva_v07_chair_ILSVRC2012_val_00001953_cd.jpg,tick,"['tick', 'Kerry blue terrier', 'nematode', 'web site', 'white wolf']"
59,Cro5dva_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,digital clock,"['digital clock', 'tick', 'ant', 'Kerry blue terrier', 'web site']"
60,Cro5dva_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,hourglass,"['hourglass', 'tick', 'nail', 'airship', 'radio telescope']"
61,Cro5dva_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,web site,"['web site', 'oscilloscope', 'nematode', 'tick', 'digital clock']"
62,Cro5dva_v07_camel_ILSVRC2012_val_00013553_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'chain mail', 'porcupine', 'Gila monster', 'tick']"
63,Cro5dva_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,nematode,"['nematode', 'tick', 'centipede', 'isopod', 'aircraft carrier']"
64,Cro5dva_v07_gun_ILSVRC2012_val_00016796_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'tick', 'nematode', 'starfish', 'banded gecko']"
65,Cro5dva_v07_snail_ILSVRC2012_val_00046248_cd.jpg,tick,"['tick', 'nematode', 'Kerry blue terrier', 'scorpion', 'ski mask']"
66,Cro5dva_v07_flower_ILSVRC2012_val_00019320_cd.jpg,pot,"['pot', 'broccoli', 'pole', 'web site', 'broom']"
