,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,spider web,"['spider web', 'harvestman', 'nematode', 'trilobite', 'maze']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,vulture,"['vulture', 'ant', 'black grouse', 'limpkin', 'quail']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,clumber,"['clumber', 'book jacket', 'African hunting dog', 'comic book', 'white wolf']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,nematode,"['nematode', 'platypus', 'water snake', 'spider web', 'velvet']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,nematode,"['nematode', 'book jacket', 'sea urchin', 'porcupine', 'cockroach']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,honeycomb,"['honeycomb', 'chain mail', 'ant', 'pick', 'manhole cover']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,nematode,"['nematode', 'harvestman', 'web site', 'flatworm', 'sea anemone']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,harvestman,"['harvestman', 'sea anemone', 'white wolf', 'pick', 'safety pin']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,nematode,"['nematode', 'sea anemone', 'harvestman', 'white wolf', 'rubber eraser']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,nematode,"['nematode', 'ant', 'gong', 'sea anemone', 'sea urchin']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,brain coral,"['brain coral', 'hen-of-the-woods', 'nematode', 'maze', 'flatworm']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,maze,"['maze', 'prayer rug', 'jigsaw puzzle', 'slide rule', 'honeycomb']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,nematode,"['nematode', 'hen-of-the-woods', 'chambered nautilus', 'chiton', 'gong']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,vulture,"['vulture', 'ant', 'ruffed grouse', 'quail', 'velvet']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,nematode,"['nematode', 'maze', 'spider web', 'flatworm', 'brain coral']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'maze', 'honeycomb', 'nail', 'web site']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,white wolf,"['white wolf', 'African hunting dog', 'porcupine', 'nematode', 'sea anemone']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,slide rule,"['slide rule', 'analog clock', 'sundial', 'stopwatch', 'magnetic compass']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,safety pin,"['safety pin', 'maze', 'plate rack', 'sea anemone', 'nematode']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,ant,"['ant', 'vulture', 'spider web', 'quail', 'harvestman']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,sea urchin,"['sea urchin', 'comic book', 'book jacket', 'ant', 'hen-of-the-woods']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,harvestman,"['harvestman', 'web site', 'spider web', 'nematode', 'slide rule']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,spider web,"['spider web', 'nematode', 'harvestman', 'chambered nautilus', 'web site']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,nematode,"['nematode', 'ant', 'flatworm', 'airship', 'skunk']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,maze,"['maze', 'manhole cover', 'slide rule', 'honeycomb', 'spider web']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,nematode,"['nematode', 'spider web', 'chambered nautilus', 'maze', 'velvet']"
26,LinFil_chair_ILSVRC2012_val_00041720_lf.jpg,safety pin,"['safety pin', 'plate rack', 'space bar', 'typewriter keyboard', 'moped']"
27,LinFil_corn_ILSVRC2012_val_00030375_lf.jpg,slide rule,"['slide rule', 'maze', 'jigsaw puzzle', 'velvet', 'flatworm']"
28,LinFil_fish_ILSVRC2012_val_00021994_lf.jpg,nematode,"['nematode', 'harvestman', 'spider web', 'maze', 'sea anemone']"
