,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,stole,"['stole', 'coral reef', 'broccoli', 'poncho', 'peacock']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,lionfish,"['lionfish', 'vase', 'coral reef', 'jellyfish', 'plastic bag']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,totem pole,"['totem pole', 'warplane', 'projectile', 'missile', 'pole']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,Boston bull,"['Boston bull', 'black grouse', 'breastplate', 'killer whale', 'hammerhead']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,volcano,"['volcano', 'geyser', 'ptarmigan', 'ice bear', 'albatross']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'ski', 'parachute', 'wing']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,albatross,"['albatross', 'whippet', 'Great Dane', 'pug', 'Siamese cat']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,pedestal,"['pedestal', 'triceratops', 'hen-of-the-woods', 'parachute', 'cuirass']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tarantula', 'knot', 'necklace']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,vulture,"['vulture', 'triceratops', 'kite', 'albatross', 'bald eagle']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,velvet,"['velvet', 'jellyfish', 'feather boa', 'shower cap', 'plastic bag']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,feather boa,"['feather boa', 'head cabbage', 'pot', 'vase', 'plastic bag']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,plastic bag,"['plastic bag', 'hoopskirt', 'shower cap', 'overskirt', 'pajama']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,jay,"['jay', 'African grey', 'kite', 'warplane', 'coho']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,ice bear,"['ice bear', 'sea lion', 'geyser', 'jay', 'volcano']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,nematode,"['nematode', 'sea snake', 'necklace', 'water snake', 'chain']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,electric guitar,"['electric guitar', 'combination lock', 'swab', 'shopping basket', 'muzzle']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,breastplate,"['breastplate', 'cuirass', 'plastic bag', 'stingray', 'electric ray']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,macaw,"['macaw', 'peacock', 'jay', 'indigo bunting', 'ski']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pedestal', 'totem pole']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,volcano,"['volcano', 'parachute', 'alp', 'wing', 'rapeseed']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'printer', 'recreational vehicle', 'microwave', 'cash machine']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,triceratops,"['triceratops', 'oxygen mask', 'hair slide', 'plastic bag', 'ski']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,jellyfish,"['jellyfish', 'stingray', 'shower cap', 'plastic bag', 'diaper']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ptarmigan,"['ptarmigan', 'vase', 'leatherback turtle', 'otter', 'Indian cobra']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,knee pad,"['knee pad', 'microphone', 'water bottle', 'vase', 'Windsor tie']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,velvet,"['velvet', 'sweatshirt', 'knee pad', 'trench coat', 'sarong']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'stole', 'vase', 'head cabbage', 'necklace']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,warplane,"['warplane', 'triceratops', 'ice bear', 'albatross', 'kite']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,ice bear,"['ice bear', 'standard schnauzer', 'triceratops', 'gorilla', 'miniature schnauzer']"
