,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,geyser,"['geyser', 'ptarmigan', 'volcano', 'albatross', 'airship']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'tile roof', 'corkscrew', 'chain', 'screw']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,screw,"['screw', 'coral reef', 'chain mail', 'chainlink fence', 'pinwheel']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,Dungeness crab,"['Dungeness crab', 'red-backed sandpiper', 'conch', 'hen-of-the-woods', 'brambling']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,water bottle,"['water bottle', 'stage', 'beer bottle', 'steel drum', 'gondola']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,computer keyboard,"['computer keyboard', 'barber chair', 'shoe shop', 'dumbbell', 'barbershop']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,wine bottle,"['wine bottle', 'computer keyboard', 'beer bottle', 'golfcart', 'parking meter']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,jellyfish,"['jellyfish', 'scuba diver', 'hammerhead', 'stingray', 'geyser']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,microwave,"['microwave', 'home theater', 'dining table', 'desk', 'desktop computer']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,killer whale,"['killer whale', 'coral reef', 'sea lion', 'padlock', 'chain']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,head cabbage,"['head cabbage', 'coral reef', 'plastic bag', 'artichoke', 'stingray']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,beaker,"['beaker', 'cocktail shaker', 'goblet', 'Petri dish', 'cornet']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,cauliflower,"['cauliflower', 'wool', 'diaper', 'feather boa', 'plastic bag']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,coral reef,"['coral reef', 'water bottle', 'sea lion', 'motor scooter', 'football helmet']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,coral reef,"['coral reef', 'stingray', 'sea snake', 'electric ray', 'sea cucumber']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goblet,"['goblet', 'breastplate', 'grille', 'cuirass', 'spotlight']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,coral reef,"['coral reef', 'head cabbage', 'acorn', 'stone wall', 'jigsaw puzzle']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,plastic bag,"['plastic bag', 'pickelhaube', 'sea lion', 'snow leopard', 'water bottle']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,stingray,"['stingray', 'dugong', 'head cabbage', 'electric ray', 'ice bear']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,hammerhead,"['hammerhead', 'stingray', 'tiger shark', 'electric ray', 'great white shark']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,coral reef,"['coral reef', 'head cabbage', 'jigsaw puzzle', 'bubble', 'coho']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,tile roof,"['tile roof', 'chime', 'folding chair', ""carpenter's kit"", 'revolver']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,jellyfish,"['jellyfish', 'grille', 'coral reef', 'lionfish', 'water bottle']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,sea lion,"['sea lion', 'cliff', 'stone wall', 'leatherback turtle', 'African crocodile']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'plastic bag', 'stone wall', 'snow leopard', 'bighorn']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,barber chair,"['barber chair', 'barbershop', 'half track', 'military uniform', 'pickelhaube']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,coho,"['coho', 'shoe shop', 'motor scooter', 'projectile', 'sturgeon']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,ice bear,"['ice bear', 'geyser', 'sea lion', 'jay', 'conch']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,coral reef,"['coral reef', 'standard schnauzer', 'Scottish deerhound', 'miniature schnauzer', 'brain coral']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,plastic bag,"['plastic bag', 'coral reef', 'loggerhead', 'sea lion', 'puffer']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,shower curtain,"['shower curtain', 'washbasin', 'sewing machine', 'medicine chest', 'bathtub']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,geyser,"['geyser', 'albatross', 'ptarmigan', 'volcano', 'conch']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'coho', 'comic book', 'barracouta', 'shower curtain']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'dowitcher', 'sea lion', 'goose', 'pelican']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,tile roof,"['tile roof', 'stone wall', 'breakwater', 'castle', 'maze']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,coral reef,"['coral reef', 'sea snake', 'sea anemone', 'hen-of-the-woods', 'peacock']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,geyser,"['geyser', 'volcano', 'stingray', 'ice bear', 'junco']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,coral reef,"['coral reef', 'stingray', 'leatherback turtle', 'sea lion', 'electric ray']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,jellyfish,"['jellyfish', 'stingray', 'electric ray', 'bell pepper', 'hammerhead']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'jigsaw puzzle', 'swimming trunks', 'chainlink fence', 'chain mail']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,beaker,"['beaker', 'goblet', 'water bottle', 'Petri dish', 'perfume']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'shower curtain', 'refrigerator', 'electric fan']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,coral reef,"['coral reef', 'head cabbage', 'broccoli', 'brain coral', 'cauliflower']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,photocopier,"['photocopier', 'medicine chest', 'microwave', 'desk', 'cash machine']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'goose', 'American coot', 'dowitcher', 'shower curtain']"
