,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'mitten', 'wool', 'bib']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'necklace', 'chain mail', 'mitten', 'screw']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,airship,"['airship', 'ptarmigan', 'snowmobile', 'bell cote', 'stupa']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'chain', 'necklace', 'bib', 'knot']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,sea snake,"['sea snake', 'water snake', 'parachute', 'nematode', 'chain']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'necklace', 'knot', 'king snake', 'chain']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'airship', 'hair slide', 'mitten', 'chain']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,airship,"['airship', 'sea cucumber', 'mitten', 'hair slide', 'knot']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'stole', 'doormat', 'mitten']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,parachute,"['parachute', 'ant', 'necklace', 'snowmobile', 'warplane']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'necklace', 'hair slide', 'chain']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,airship,"['airship', 'warplane', 'screw', 'aircraft carrier', 'parachute']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,parachute,"['parachute', 'tick', 'garden spider', 'warplane', 'barn spider']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,airship,"['airship', 'parachute', 'snowmobile', 'warplane', 'ant']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,screw,"['screw', 'hair slide', 'necklace', 'chain', 'strainer']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,warplane,"['warplane', 'ant', 'parachute', 'snowmobile', 'kite']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'screw', 'hair slide', 'necklace', 'chain']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,garden spider,"['garden spider', 'barn spider', 'tick', 'parachute', 'black widow']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'nail', 'hair slide', 'chain', 'oboe']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,airship,"['airship', 'screw', 'hair slide', 'necklace', 'ant']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'oboe', 'knot', 'hair slide']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'aircraft carrier', 'snowmobile', 'drilling platform', 'screw']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,screw,"['screw', 'honeycomb', 'chain mail', 'hair slide', 'necklace']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,airship,"['airship', 'hair slide', 'necklace', 'screw', 'ant']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,necklace,"['necklace', 'hair slide', 'Kerry blue terrier', 'starfish', 'chain']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,snowmobile,"['snowmobile', 'dogsled', 'ant', 'ski', 'parachute']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,airship,"['airship', 'hair slide', 'necklace', 'snowmobile', 'dogsled']"
