,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,hair slide,"['hair slide', 'face powder', 'porcupine', 'chain mail', 'nail']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'hair slide', 'Bouvier des Flandres', 'sea cucumber']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,leatherback turtle,"['leatherback turtle', 'Gila monster', 'nail', 'starfish', 'grey whale']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,hair slide,"['hair slide', 'chain mail', 'chain', 'safety pin', 'nail']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'corkscrew', 'sea snake', 'water snake', 'rhinoceros beetle']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'knot', 'chain', 'nail', 'nematode']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'parachute', 'safety pin', 'sea cucumber', 'mitten']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'sea cucumber', 'parachute', 'nematode', 'flatworm']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'fur coat', 'chain mail', 'jigsaw puzzle', 'Bouvier des Flandres']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,cheetah,"['cheetah', 'bluetick', 'banded gecko', 'Scottish deerhound', 'curly-coated retriever']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'face powder', 'chain mail', 'Kerry blue terrier']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,parachute,"['parachute', 'envelope', 'hook', 'nematode', 'corkscrew']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,parachute,"['parachute', 'cliff', 'envelope', 'kite', 'ibex']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'envelope', 'letter opener', 'corkscrew', 'hatchet']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'pot', 'daisy', 'face powder', 'safety pin']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,lakeside,"['lakeside', 'flagpole', 'cliff', 'web site', 'pole']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'hair slide', 'nematode', 'bassoon', 'cheetah']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,parachute,"['parachute', 'barn spider', 'banded gecko', 'Madagascar cat', 'garden spider']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'screw', 'hook', 'hatchet', 'hair slide']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,hair slide,"['hair slide', 'safety pin', 'pot', 'lakeside', 'rapeseed']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'syringe', 'rule', 'corkscrew']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'hair slide', 'cleaver', 'ski', 'chain saw']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,hair slide,"['hair slide', 'rapeseed', 'face powder', 'balloon', 'pot']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,hair slide,"['hair slide', 'balloon', 'volcano', 'parachute', 'pot']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'standard poodle', 'Irish water spaniel', 'Bedlington terrier', 'miniature poodle']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'Bouvier des Flandres', 'standard poodle', 'cliff']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,porcupine,"['porcupine', 'Kerry blue terrier', 'Irish water spaniel', 'skunk', 'doormat']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'banded gecko', 'Gila monster', 'assault rifle', 'rifle']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,starfish,"['starfish', 'hair slide', 'nematode', 'sea urchin', 'screw']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'Bouvier des Flandres', 'standard poodle', 'toy poodle']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,lacewing,"['lacewing', 'ant', 'ladybug', 'airship', 'parachute']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'standard poodle', 'nematode', 'curly-coated retriever']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,hair slide,"['hair slide', 'safety pin', 'chain', 'necklace', 'hook']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,skunk,"['skunk', 'porcupine', 'Kerry blue terrier', 'flatworm', 'hair slide']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'knot', 'leatherback turtle', 'volcano', 'hook']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,parachute,"['parachute', 'pole', 'lakeside', 'ski', 'drilling platform']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'porcupine', 'nail', 'sea urchin', 'face powder']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,nematode,"['nematode', 'sea snake', 'hook', 'eel', 'grey whale']"
