,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'banana', 'strawberry', 'custard apple', 'orange']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,scorpion,"['scorpion', 'plastic bag', 'rock crab', 'sleeping bag', 'tick']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,cloak,"['cloak', 'grey whale', 'scabbard', 'eel', 'abaya']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'barn spider', 'tick', 'king crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,pick,"['pick', 'gong', 'mask', 'drum', 'loupe']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,slug,"['slug', 'nematode', 'flatworm', 'platypus', 'snail']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'conch', 'slug', 'coil', 'hermit crab']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,book jacket,"['book jacket', 'velvet', 'sorrel', 'comic book', 'horse cart']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'power drill', 'assault rifle', 'microphone', 'hammer']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,slug,"['slug', 'sea cucumber', 'snail', 'platypus', 'alligator lizard']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'marmot', 'beaver', 'acorn', 'mink']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'whiskey jug', 'water jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,dugong,"['dugong', 'mitten', 'grey whale', 'American lobster', 'isopod']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'box turtle', 'leatherback turtle', 'loggerhead']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'chime', 'drum', 'puck', 'tick']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hammer,"['hammer', 'nail', 'hatchet', 'crutch', 'hand blower']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,bolete,"['bolete', 'mushroom', 'stinkhorn', 'hen-of-the-woods', 'agaric']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,bell pepper,"['bell pepper', 'head cabbage', 'spaghetti squash', 'hen-of-the-woods', 'fig']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'pot', 'bee', 'hair slide', 'earthstar']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,hand-held computer,"['hand-held computer', 'modem', 'wallet', 'hard disc', 'mousetrap']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Persian cat,"['Persian cat', 'mink', 'tabby', 'lynx', 'Angora']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,printer,"['printer', 'fire screen', 'microwave', 'rotisserie', 'safe']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,barber chair,"['barber chair', 'folding chair', 'rocking chair', 'iron', 'stretcher']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,lemon,"['lemon', 'orange', 'Granny Smith', 'plate', 'pop bottle']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'crayfish', 'spiny lobster', 'isopod', 'scorpion']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Chesapeake Bay retriever,"['Chesapeake Bay retriever', 'Labrador retriever', 'flat-coated retriever', 'curly-coated retriever', 'Newfoundland']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'nail', 'drum', 'Granny Smith', 'orange']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,Egyptian cat,"['Egyptian cat', 'Siamese cat', 'weasel', 'mink', 'fox squirrel']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,hook,"['hook', 'nematode', 'Indian cobra', 'eel', 'night snake']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,brain coral,"['brain coral', 'electric ray', 'stinkhorn', 'sea cucumber', 'hen-of-the-woods']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,book jacket,"['book jacket', 'triceratops', 'comic book', 'mailbag', 'buckle']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,brain coral,"['brain coral', 'head cabbage', 'chambered nautilus', 'gong', 'stinkhorn']"
