,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,fire screen,"['fire screen', 'nail', 'matchstick', 'Petri dish', 'window screen']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,fire screen,"['fire screen', 'nail', 'window screen', 'Petri dish', 'safety pin']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'hen-of-the-woods', 'book jacket']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,fire screen,"['fire screen', 'window screen', 'Petri dish', 'nail', 'strainer']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'Petri dish', 'nematode']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,nail,"['nail', 'fire screen', 'window screen', 'Petri dish', 'hand-held computer']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'Petri dish', 'ballpoint']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,oscilloscope,"['oscilloscope', 'window screen', 'ballpoint', 'Petri dish', 'fire screen']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,chain,"['chain', 'necklace', 'safety pin', 'nematode', 'envelope']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'fire screen', 'maze', 'ballpoint', 'oscilloscope']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,Petri dish,"['Petri dish', 'fire screen', 'crossword puzzle', 'nail', 'window screen']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,nail,"['nail', 'oscilloscope', 'Petri dish', 'matchstick', 'nematode']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,fire screen,"['fire screen', 'window screen', 'prayer rug', 'nail', 'maze']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,Petri dish,"['Petri dish', 'oscilloscope', 'crossword puzzle', 'fire screen', 'matchstick']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,whistle,"['whistle', 'fire screen', 'window screen', 'ocarina', 'safety pin']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,crossword puzzle,"['crossword puzzle', 'oscilloscope', 'hand-held computer', 'analog clock', 'envelope']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,tick,"['tick', 'nail', 'fire screen', 'window screen', 'Petri dish']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,chain,"['chain', 'nail', 'oscilloscope', 'Petri dish', 'analog clock']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Petri dish,"['Petri dish', 'oscilloscope', 'crossword puzzle', 'analog clock', 'fire screen']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,nail,"['nail', 'safety pin', 'Petri dish', 'matchstick', 'fire screen']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,oscilloscope,"['oscilloscope', 'monitor', 'magnetic compass', 'Petri dish', 'ballpoint']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,fire screen,"['fire screen', 'window screen', 'maze', 'nail', 'prayer rug']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,fire screen,"['fire screen', 'nail', 'window screen', 'Petri dish', 'matchstick']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,fire screen,"['fire screen', 'nail', 'matchstick', 'safety pin', 'nematode']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,chain,"['chain', 'oboe', 'bassoon', 'safety pin', 'nail']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hare,"['hare', 'wood rabbit', 'safety pin', 'wallaby', 'cup']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,magnetic compass,"['magnetic compass', 'chain', 'oboe', 'nematode', 'power drill']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,fire screen,"['fire screen', 'window screen', 'Petri dish', 'nail', 'safety pin']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'Petri dish', 'ballpoint']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,fire screen,"['fire screen', 'Petri dish', 'window screen', 'oscilloscope', 'ballpoint']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'gong', 'Petri dish']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,oscilloscope,"['oscilloscope', 'rule', 'screen', 'analog clock', 'magnetic compass']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,matchstick,"['matchstick', 'ballpoint', 'oscilloscope', 'envelope', 'magnetic compass']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'gong', 'prayer rug']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,nail,"['nail', 'fire screen', 'Petri dish', 'window screen', 'matchstick']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'honeycomb', 'Petri dish']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,fire screen,"['fire screen', 'Petri dish', 'nail', 'matchstick', 'window screen']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,fire screen,"['fire screen', 'window screen', 'nail', 'Petri dish', 'tick']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,oscilloscope,"['oscilloscope', 'oboe', 'analog clock', 'bassoon', 'magnetic compass']"
