,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,Great Pyrenees,"['Great Pyrenees', 'Samoyed', 'coral fungus', 'Sealyham terrier', 'Maltese dog']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'bakery', 'backpack', 'ice cream']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'poncho', 'porcupine', 'wool', 'wooden spoon']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,indigo bunting,"['indigo bunting', 'hen-of-the-woods', 'jay', 'mortarboard', 'otter']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,Windsor tie,"['Windsor tie', 'beer bottle', 'electric guitar', 'wine bottle', 'maraca']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'screen', 'library', 'jigsaw puzzle', 'harvester']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,restaurant,"['restaurant', 'tobacco shop', 'beer bottle', 'library', 'mortarboard']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', ""jack-o'-lantern"", 'bell pepper', 'candle', 'gyromitra']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,screwdriver,"['screwdriver', 'oil filter', 'espresso maker', 'screw', 'shower curtain']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'rock beauty', 'spiny lobster', 'iron', 'corn']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'jackfruit', 'gyromitra', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'tobacco shop', 'Windsor tie', 'drum']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'sea slug', 'hen-of-the-woods', 'bee', 'ringlet']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'stole', 'gyromitra']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'guacamole', 'corn', 'coral fungus']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'sea slug', 'beer bottle', 'piggy bank', 'wine bottle']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,earthstar,"['earthstar', 'hen-of-the-woods', 'gyromitra', 'buckeye', 'coral fungus']"
