,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'stole', 'swab', 'honeycomb', 'coral fungus']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,chain mail,"['chain mail', 'chain', 'stole', 'strainer', 'coral fungus']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,strainer,"['strainer', 'stole', 'necklace', 'American alligator', 'Petri dish']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'strainer', 'buckle', 'chain', 'pitcher']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'centipede', 'chain', 'oboe', 'bassoon']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain mail,"['chain mail', 'stole', 'coral fungus', 'coral reef', 'hen-of-the-woods']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'stole', 'chain', 'swab', 'strainer']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'chain mail', 'swab', 'chain', 'coral fungus']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'stole', 'window screen', 'honeycomb', 'coral fungus']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,chain mail,"['chain mail', 'chain', 'fire screen', 'nematode', 'envelope']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,stole,"['stole', 'chain mail', 'hen-of-the-woods', 'coral fungus', 'poncho']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,airship,"['airship', 'aircraft carrier', 'envelope', 'oboe', 'screw']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'barn spider', 'hip', 'ant', 'envelope']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,envelope,"['envelope', 'window screen', 'fire screen', 'airship', 'safety pin']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'chain mail', 'window screen', 'hen-of-the-woods', 'coral fungus']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,lakeside,"['lakeside', 'airship', 'bighorn', 'ibex', 'black stork']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'chain mail', 'chain', 'African chameleon', 'letter opener']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,ant,"['ant', 'aircraft carrier', 'barn spider', 'tick', 'envelope']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,leatherback turtle,"['leatherback turtle', 'starfish', 'loggerhead', 'agama', 'banded gecko']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'fire screen', 'airship', 'hen-of-the-woods', 'coral fungus']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,oboe,"['oboe', 'lampshade', 'screw', 'binder', 'chain mail']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,banded gecko,"['banded gecko', 'airship', 'chain mail', 'safety pin', 'chain']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,stole,"['stole', 'chain mail', 'chain', 'airship', 'hen-of-the-woods']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,chain mail,"['chain mail', 'window screen', 'chain', 'stole', 'strainer']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,starfish,"['starfish', 'chain mail', 'African chameleon', 'banded gecko', 'jigsaw puzzle']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,chain mail,"['chain mail', 'Kerry blue terrier', 'chain', 'window screen', 'stole']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'chain', 'oboe', 'banded gecko', 'agama']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,airship,"['airship', 'envelope', 'aircraft carrier', 'lakeside', 'oboe']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,stole,"['stole', 'chain mail', 'hair slide', 'necklace', 'chain']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,chain mail,"['chain mail', 'fire screen', 'chain', 'window screen', 'chainlink fence']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,stole,"['stole', 'window screen', 'chain mail', 'bustard', 'spider web']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,banded gecko,"['banded gecko', 'African chameleon', 'frilled lizard', 'agama', 'chain']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,envelope,"['envelope', 'aircraft carrier', 'drilling platform', 'oboe', 'chain']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,chain mail,"['chain mail', 'stole', 'lacewing', 'bustard', 'chain']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,starfish,"['starfish', 'banded gecko', 'hair slide', 'screw', 'safety pin']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,drilling platform,"['drilling platform', 'oboe', 'aircraft carrier', 'space shuttle', 'airship']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'honeycomb', 'coral fungus']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,chain,"['chain', 'chain mail', 'necklace', 'nematode', 'stole']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,lacewing,"['lacewing', 'stole', 'swab', 'chain mail', 'quill']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,stole,"['stole', 'chain mail', 'drilling platform', 'airship', 'aircraft carrier']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'centipede', 'oboe', 'sax', 'chain']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,chain mail,"['chain mail', 'coral fungus', 'hen-of-the-woods', 'strainer', 'honeycomb']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,airship,"['airship', 'stole', 'envelope', 'oboe', 'chain']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,chain mail,"['chain mail', 'Kerry blue terrier', 'triceratops', 'jigsaw puzzle', 'banded gecko']"
