,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,ant,"['ant', 'envelope', 'airship', 'loupe', 'Petri dish']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'window screen', 'airship', 'volcano', 'coral fungus']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'komondor', 'cliff']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'cauliflower', 'coral reef']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,window screen,"['window screen', 'ant', 'airship', 'hen-of-the-woods', 'oboe']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'airship', 'ant', 'fire screen', 'envelope']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,lakeside,"['lakeside', 'ant', 'hen-of-the-woods', 'airship', 'volcano']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,airship,"['airship', 'ant', 'fire screen', 'chainlink fence', 'black stork']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'necklace', 'banded gecko', 'oboe', 'chain']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,ant,"['ant', 'hen-of-the-woods', 'cliff', 'airship', 'honeycomb']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,airship,"['airship', 'fire screen', 'hen-of-the-woods', 'window screen', 'ant']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,Kerry blue terrier,"['Kerry blue terrier', 'window screen', 'hen-of-the-woods', 'chain mail', 'fire screen']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'fire screen', 'airship', 'oboe', 'honeycomb']"
