,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'wool', 'stole', 'dishrag', 'porcupine']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'mitten', 'dishrag']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,envelope,"['envelope', 'doormat', 'chain mail', 'hair slide', 'stole']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'stole', 'hair slide', 'doormat', 'chain']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'coil', 'bow', 'horned viper', 'knot']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain mail,"['chain mail', 'jigsaw puzzle', 'Petri dish', 'stole', 'hair slide']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'stole', 'dishrag', 'doormat', 'wool']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'wool', 'hen-of-the-woods']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'stole', 'window screen', 'wool', 'jigsaw puzzle']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hair slide', 'coil', 'stole', 'chain mail']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'stole', 'wool', 'poncho', 'jigsaw puzzle']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'banded gecko', 'hair slide', 'aircraft carrier', 'oboe']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'barn spider', 'hair slide', 'sea urchin', 'screw']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain mail', 'envelope', 'chainlink fence', 'hair slide']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'chain mail', 'wig', 'wool', 'pot']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,envelope,"['envelope', 'jersey', 'screw', 'doormat', 'hair slide']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,screw,"['screw', 'nail', 'hair slide', 'coil', 'stole']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,hair slide,"['hair slide', 'jersey', 'envelope', 'abaya', 'oboe']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'hook', 'bolo tie', 'stole', 'nail']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,lakeside,"['lakeside', 'jigsaw puzzle', 'space shuttle', 'chainlink fence', 'balloon']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'oboe', 'plunger', 'letter opener', 'vase']"
