,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,porcupine,"['porcupine', 'Kerry blue terrier', 'skunk', 'rule', 'thatch']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,banded gecko,"['banded gecko', 'hair slide', 'envelope', 'doormat', 'Kerry blue terrier']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'banded gecko', 'screw', 'nail', 'aircraft carrier']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,buckle,"['buckle', 'chain mail', 'hair slide', 'cleaver', 'doormat']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,oboe,"['oboe', 'bassoon', 'bow', 'nematode', 'quill']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'doormat', 'envelope', 'spatula', 'cleaver']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,doormat,"['doormat', 'Kerry blue terrier', 'mitten', 'banded gecko', 'chain mail']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'banded gecko', 'chain', 'wall clock', 'oboe']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'jigsaw puzzle', 'chain mail', 'stole', 'envelope']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,banded gecko,"['banded gecko', 'tripod', 'Kerry blue terrier', 'starfish', 'tailed frog']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'stole', 'wall clock', 'pot', 'rule']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,banded gecko,"['banded gecko', 'hair slide', 'screw', 'American alligator', 'rule']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,banded gecko,"['banded gecko', 'barn spider', 'hair slide', 'wall clock', 'tick']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,envelope,"['envelope', 'hair slide', 'jersey', 'banded gecko', 'letter opener']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,envelope,"['envelope', 'pot', 'swab', 'rule', 'wall clock']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,envelope,"['envelope', 'kite', 'warplane', 'bell cote', 'parachute']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,letter opener,"['letter opener', 'leatherback turtle', 'hair slide', 'screw', 'grey whale']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,warplane,"['warplane', 'aircraft carrier', 'banded gecko', 'bell cote', 'space shuttle']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'hair slide', 'letter opener', 'knot', 'coil']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,envelope,"['envelope', 'rule', 'pot', 'vase', 'wall clock']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'hair slide', 'oboe', 'plunger']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,banded gecko,"['banded gecko', 'chain saw', 'hair slide', 'African crocodile', 'rule']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,envelope,"['envelope', 'wall clock', 'jigsaw puzzle', 'rule', 'hair slide']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,envelope,"['envelope', 'hair slide', 'cleaver', 'rule', 'wall clock']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'starfish', 'banded gecko', 'leatherback turtle', 'sea cucumber']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,hair slide,"['hair slide', 'envelope', 'Kerry blue terrier', 'banded gecko', 'jersey']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,banded gecko,"['banded gecko', 'hair slide', 'wall clock', 'cleaver', 'jersey']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,hair slide,"['hair slide', 'banded gecko', 'oboe', 'letter opener', 'assault rifle']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,rule,"['rule', 'warplane', 'shovel', 'hair slide', 'window screen']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,envelope,"['envelope', 'hair slide', 'chain', 'wall clock', 'jigsaw puzzle']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,electric ray,"['electric ray', 'shovel', 'grey whale', 'great grey owl', 'warplane']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,oboe,"['oboe', 'wall clock', 'broom', 'banded gecko', 'rifle']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,envelope,"['envelope', 'hair slide', 'barn spider', 'jersey', 'spider web']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,American alligator,"['American alligator', 'porcupine', 'Kerry blue terrier', 'rule', 'rifle']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'envelope', 'letter opener', 'wall clock', 'knot']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,oboe,"['oboe', 'hair slide', 'chain', 'knot', 'letter opener']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,broccoli,"['broccoli', 'doormat', 'honeycomb', 'shovel', 'window screen']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,horned viper,"['horned viper', 'sidewinder', 'hognose snake', 'diamondback', 'banded gecko']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,porcupine,"['porcupine', 'hand blower', 'Kerry blue terrier', 'doormat', 'wall clock']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,envelope,"['envelope', 'jigsaw puzzle', 'hair slide', 'doormat', 'jersey']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,sidewinder,"['sidewinder', 'banded gecko', 'king snake', 'horned viper', 'sea snake']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,hair slide,"['hair slide', 'swab', 'wall clock', 'screw', 'chain']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,envelope,"['envelope', 'banded gecko', 'letter opener', 'hair slide', 'rule']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,hair slide,"['hair slide', 'chain mail', 'banded gecko', 'jersey', 'doormat']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'wool', 'wig']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,hair slide,"['hair slide', 'envelope', 'wall clock', 'swab', 'cleaver']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,envelope,"['envelope', 'hand blower', 'banded gecko', 'hair slide', 'warplane']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,envelope,"['envelope', 'rule', 'pot', 'doormat', 'swab']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,oboe,"['oboe', 'envelope', 'hair slide', 'bell cote', 'chain']"
49,Cro5dva_v07_frog_ILSVRC2012_val_00010287_cd.jpg,envelope,"['envelope', 'banded gecko', 'hair slide', 'jersey', 'wall clock']"
50,Cro5dva_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,wall clock,"['wall clock', 'envelope', 'broccoli', 'porcupine', 'doormat']"
51,Cro5dva_v07_banana_ILSVRC2012_val_00049606_cd.jpg,hair slide,"['hair slide', 'letter opener', 'banded gecko', 'chain saw', 'cleaver']"
52,Cro5dva_v07_mug_ILSVRC2012_val_00027194_cd.jpg,doormat,"['doormat', 'chain mail', 'wool', 'hair slide', 'envelope']"
53,Cro5dva_v07_flower_ILSVRC2012_val_00013936_cd.jpg,envelope,"['envelope', 'jigsaw puzzle', 'ant', 'hair slide', 'rule']"
54,Cro5dva_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,oboe,"['oboe', 'bassoon', 'sax', 'nematode', 'warplane']"
55,Cro5dva_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,sea cucumber,"['sea cucumber', 'centipede', 'letter opener', 'banded gecko', 'Gila monster']"
56,Cro5dva_v07_crab_ILSVRC2012_val_00008705_cd.jpg,envelope,"['envelope', 'banded gecko', 'rule', 'ant', 'wall clock']"
