,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,book jacket,"['book jacket', 'head cabbage', 'chainlink fence', 'envelope', 'quilt']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,plastic bag,"['plastic bag', 'quill', 'rubber eraser', 'envelope', 'binder']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,indri,"['indri', 'book jacket', 'howler monkey', 'orangutan', 'spider monkey']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,gong,"['gong', 'book jacket', 'quilt', 'crash helmet', 'velvet']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,plastic bag,"['plastic bag', 'book jacket', 'head cabbage', 'rifle', 'cliff']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chain,"['chain', 'chain mail', 'bow tie', 'sarong', 'knot']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,magpie,"['magpie', 'bald eagle', 'vulture', 'sulphur-crested cockatoo', 'spoonbill']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'bib', 'pick', 'face powder', 'nematode']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,white stork,"['white stork', 'howler monkey', 'rubber eraser', 'plastic bag', 'vulture']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,nematode,"['nematode', 'book jacket', 'head cabbage', 'comic book', 'spotlight']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,coral reef,"['coral reef', 'brain coral', 'earthstar', 'electric ray', 'hen-of-the-woods']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,prayer rug,"['prayer rug', 'window shade', 'jigsaw puzzle', 'window screen', 'television']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,comic book,"['comic book', 'book jacket', 'head cabbage', 'rifle', 'nematode']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,plastic bag,"['plastic bag', 'binder', 'alp', 'book jacket', 'wing']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,head cabbage,"['head cabbage', 'comic book', 'book jacket', 'velvet', 'plastic bag']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,rifle,"['rifle', 'fountain pen', 'jigsaw puzzle', 'stone wall', 'window screen']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,head cabbage,"['head cabbage', 'howler monkey', 'ice bear', 'orangutan', 'indri']"
