,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,screw,"['screw', 'envelope', 'nail', 'loupe', 'rule']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,screw,"['screw', 'hair slide', 'nail', 'oboe', 'chain']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'stole', 'wool', 'screw', 'nail']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,screw,"['screw', 'nail', 'chain mail', 'cauliflower', 'hair slide']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'nail', 'assault rifle']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,screw,"['screw', 'hair slide', 'chain', 'safety pin', 'assault rifle']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,screw,"['screw', 'assault rifle', 'nail', 'hair slide', 'ant']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,oboe,"['oboe', 'screw', 'bassoon', 'nail', 'panpipe']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,necklace,"['necklace', 'chain', 'coil', 'aircraft carrier', 'nematode']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,screw,"['screw', 'assault rifle', 'projectile', 'window screen', 'rifle']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,screw,"['screw', 'oboe', 'hair slide', 'assault rifle', 'safety pin']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,screw,"['screw', 'nail', 'hair slide', 'oboe', 'assault rifle']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,window screen,"['window screen', 'fire screen', 'chain mail', 'honeycomb', 'hair slide']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,screw,"['screw', 'oboe', 'assault rifle', 'hair slide', 'envelope']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,screw,"['screw', 'worm fence', 'hair slide', 'oboe', 'airship']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,hair slide,"['hair slide', 'oboe', 'safety pin', 'airship', 'space shuttle']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,screw,"['screw', 'oboe', 'hair slide', 'whistle', 'bassoon']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,screw,"['screw', 'oboe', 'bassoon', 'assault rifle', 'nail']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,screw,"['screw', 'assault rifle', 'oboe', 'rifle', 'hair slide']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,screw,"['screw', 'hair slide', 'assault rifle', 'nail', 'power drill']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,screw,"['screw', 'envelope', 'whistle', 'magnetic compass', 'broom']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,aircraft carrier,"['aircraft carrier', 'window screen', 'space shuttle', 'chain mail', 'drilling platform']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,screw,"['screw', 'digital clock', 'hair slide', 'chain', 'oboe']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,screw,"['screw', 'oboe', 'chain', 'hair slide', 'bassoon']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,oboe,"['oboe', 'bassoon', 'sax', 'flute', 'whistle']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,oboe,"['oboe', 'hair slide', 'safety pin', 'projectile', 'bassoon']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,screw,"['screw', 'oboe', 'chain', 'envelope', 'aircraft carrier']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'space shuttle', 'skunk', 'broccoli', 'airship']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,screw,"['screw', 'hair slide', 'ant', 'safety pin', 'nail']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,screw,"['screw', 'hair slide', 'oboe', 'nail', 'radio telescope']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,nail,"['nail', 'screw', 'chain mail', 'Petri dish', 'safety pin']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,screw,"['screw', 'envelope', 'loupe', 'binder', 'oboe']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,oboe,"['oboe', 'aircraft carrier', 'warplane', 'parachute', 'screw']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,nail,"['nail', 'screw', 'chain mail', 'wool', 'matchstick']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,chain mail,"['chain mail', 'wool', 'screw', 'oboe', 'hair slide']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,screw,"['screw', 'nail', 'chain mail', 'matchstick', 'Petri dish']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,screw,"['screw', 'assault rifle', 'ant', 'hair slide', 'envelope']"
