,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,screw,"['screw', 'American alligator', 'hair slide', 'Gila monster', 'oboe']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'screw', 'Gila monster', 'American alligator', 'mitten']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,screw,"['screw', 'dishrag', 'wool', 'chain mail', 'jigsaw puzzle']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,dishrag,"['dishrag', 'sea urchin', 'chain mail', 'hair slide', 'face powder']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,screw,"['screw', 'dishrag', 'hair slide', 'chain mail', 'mitten']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,screw,"['screw', 'oboe', 'hair slide', 'safety pin', 'Gila monster']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,hair slide,"['hair slide', 'wall clock', 'screw', 'ant', 'honeycomb']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,screw,"['screw', 'oboe', 'nail', 'envelope', 'binder']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,sidewinder,"['sidewinder', 'chain', 'horned viper', 'chain mail', 'sea snake']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,screw,"['screw', 'chain mail', 'jigsaw puzzle', 'dishrag', 'safety pin']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'pot', 'American alligator', 'dishrag', 'wool']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,screw,"['screw', 'chain mail', 'hair slide', 'safety pin', 'jigsaw puzzle']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,dishrag,"['dishrag', 'chain mail', 'mitten', 'Windsor tie', 'hair slide']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,screw,"['screw', 'safety pin', 'jigsaw puzzle', 'hair slide', 'chain']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,screw,"['screw', 'hair slide', 'chain mail', 'nail', 'abacus']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,American alligator,"['American alligator', 'Gila monster', 'screw', 'nematode', 'envelope']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,screw,"['screw', 'chain mail', 'hair slide', 'nail', 'chain']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,oboe,"['oboe', 'screw', 'hair slide', 'banded gecko', 'safety pin']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'American alligator', 'Gila monster']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,hair slide,"['hair slide', 'Gila monster', 'chain', 'screw', 'American alligator']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,screw,"['screw', 'oboe', 'hair slide', 'binder', 'corkscrew']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,screw,"['screw', 'dishrag', 'chain mail', 'safety pin', 'binder']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,hair slide,"['hair slide', 'screw', 'knot', 'American alligator', 'chain']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,Gila monster,"['Gila monster', 'hair slide', 'screw', 'American alligator', 'chain mail']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,Gila monster,"['Gila monster', 'sidewinder', 'hair slide', 'hognose snake', 'horned viper']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hair slide,"['hair slide', 'wall clock', 'pot', 'pineapple', 'screw']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,centipede,"['centipede', 'screw', 'oboe', 'ant', 'corkscrew']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hair slide,"['hair slide', 'screw', 'wall clock', 'sea urchin', 'dishrag']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,screw,"['screw', 'chain mail', 'hair slide', 'nail', 'Gila monster']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,screw,"['screw', 'jigsaw puzzle', 'wall clock', 'oboe', 'hair slide']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,dishrag,"['dishrag', 'sea urchin', 'honeycomb', 'nail', 'chain mail']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,ant,"['ant', 'centipede', 'corkscrew', 'binder', 'oboe']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,oboe,"['oboe', 'screw', 'binder', 'American alligator', 'safety pin']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,dishrag,"['dishrag', 'pineapple', 'hair slide', 'sea urchin', 'face powder']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,screw,"['screw', 'dishrag', 'chain mail', 'hen-of-the-woods', 'hair slide']"
