,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'head cabbage', 'cardoon', 'coral reef', 'hen-of-the-woods']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'long-horned beetle', 'Granny Smith', 'leaf beetle', 'custard apple']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,holster,"['holster', 'assault rifle', 'power drill', 'hatchet', 'rifle']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'oxygen mask', 'bulletproof vest', 'triceratops', 'kite']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,ptarmigan,"['ptarmigan', 'albatross', 'borzoi', 'whippet', 'sturgeon']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'aircraft carrier', 'projectile', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Brittany spaniel,"['Brittany spaniel', 'German short-haired pointer', 'Chihuahua', 'bow', 'Madagascar cat']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,giant schnauzer,"['giant schnauzer', 'Gordon setter', 'standard schnauzer', 'hen-of-the-woods', 'cocker spaniel']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'tick', 'black and gold garden spider']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'chimpanzee', 'magpie', 'triceratops', 'curly-coated retriever']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'meat loaf', 'packet', 'pomegranate', 'candle']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'tailed frog', 'barn spider', 'artichoke']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,potpie,"['potpie', 'French loaf', 'hen-of-the-woods', 'meat loaf', 'chiton']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,barracouta,"['barracouta', 'coho', 'banded gecko', 'sturgeon', 'platypus']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,wire-haired fox terrier,"['wire-haired fox terrier', 'Saint Bernard', 'Sealyham terrier', 'Dandie Dinmont', 'golden retriever']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'night snake', 'water snake', 'king snake', 'hognose snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,violin,"['violin', 'muzzle', 'pencil sharpener', 'cello', 'acoustic guitar']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,Indian elephant,"['Indian elephant', 'triceratops', 'hippopotamus', 'tusker', 'Mexican hairless']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,hair slide,"['hair slide', 'sea slug', 'flatworm', 'honeycomb', 'chain']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'whistle']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'honeycomb', 'knot', 'Indian cobra']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,recreational vehicle,"['recreational vehicle', 'photocopier', 'safe', 'entertainment center', 'tape player']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,redbone,"['redbone', 'Rhodesian ridgeback', 'bloodhound', 'Irish terrier', 'Brabancon griffon']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,trifle,"['trifle', ""jack-o'-lantern"", 'rock python', 'spaghetti squash', 'lemon']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,hair slide,"['hair slide', 'hen-of-the-woods', 'stole', 'barn spider', 'wig']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,whistle,"['whistle', 'hair slide', 'velvet', 'nipple', 'Windsor tie']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,artichoke,"['artichoke', 'Granny Smith', 'tennis ball', 'banana', 'broccoli']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'head cabbage', 'cauliflower', 'volcano', 'mortar']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,ice bear,"['ice bear', 'triceratops', 'indri', 'pug', 'koala']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,Arabian camel,"['Arabian camel', 'triceratops', 'warthog', 'hen-of-the-woods', 'cougar']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,wire-haired fox terrier,"['wire-haired fox terrier', 'Airedale', 'Lakeland terrier', 'ibex', 'hare']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,oxygen mask,"['oxygen mask', 'water jug', 'toilet seat', 'neck brace', 'bassinet']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,assault rifle,"['assault rifle', 'revolver', 'holster', 'whistle', 'hair slide']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,fox squirrel,"['fox squirrel', 'tabby', 'triceratops', 'Airedale', 'frilled lizard']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,honeycomb,"['honeycomb', 'spaghetti squash', 'hoopskirt', 'conch', 'lemon']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,desk,"['desk', 'entertainment center', 'solar dish', 'medicine chest', 'wardrobe']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'pomegranate', 'ice lolly', 'envelope', 'bell pepper']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,Weimaraner,"['Weimaraner', 'bloodhound', 'mask', 'basset', 'Arabian camel']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,Arabian camel,"['Arabian camel', 'triceratops', 'whippet', 'bull mastiff', 'Chesapeake Bay retriever']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,grey fox,"['grey fox', 'fox squirrel', 'Airedale', 'hen-of-the-woods', 'frilled lizard']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,knot,"['knot', 'chain', 'warplane', 'hair slide', 'quill']"
