,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'tailed frog', 'comic book', 'African chameleon', 'banded gecko']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'otter', 'bighorn', 'dhole', 'mongoose']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'cardoon', 'hen-of-the-woods', 'head cabbage', 'custard apple']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,king crab,"['king crab', 'rock crab', 'isopod', 'cockroach', 'chiton']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,Sussex spaniel,"['Sussex spaniel', 'red wolf', 'hen-of-the-woods', 'otterhound', 'briard']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,potter's wheel,"[""potter's wheel"", 'water jug', 'buckle', 'barrel', 'clog']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'apiary', 'isopod', 'loggerhead']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'cougar', 'pug', 'Irish wolfhound', 'bighorn']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'spaghetti squash', 'airship', 'nematode', 'shower curtain']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'Weimaraner', 'hog', 'Mexican hairless', 'French bulldog']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'Lakeland terrier', 'Irish wolfhound', 'wire-haired fox terrier', 'ice bear']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'European fire salamander', 'monarch', 'ringlet', 'bee']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,wood rabbit,"['wood rabbit', 'hare', 'grey fox', 'fox squirrel', 'coyote']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,manhole cover,"['manhole cover', 'doormat', 'maze', 'velvet', 'running shoe']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'tick', 'ant', 'cucumber', 'Persian cat']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,goose,"['goose', 'projectile', 'missile', 'stinkhorn', 'bee eater']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'earthstar', 'hen-of-the-woods', 'artichoke', 'cardoon']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,crash helmet,"['crash helmet', 'loudspeaker', 'knee pad', 'space heater', 'electric fan']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,odometer,"['odometer', 'analog clock', 'stopwatch', 'wall clock', 'steam locomotive']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,hare,"['hare', 'ibex', 'coyote', 'lynx', 'wood rabbit']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'mushroom', 'rocking chair', 'four-poster', 'lumbermill']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,tusker,"['tusker', 'Indian elephant', 'Great Dane', 'Weimaraner', 'giant schnauzer']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,hog,"['hog', 'bighorn', 'electric ray', 'platypus', 'earthstar']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,kuvasz,"['kuvasz', 'Great Pyrenees', 'Samoyed', 'Old English sheepdog', 'Maltese dog']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,Irish wolfhound,"['Irish wolfhound', 'Sussex spaniel', 'brown bear', 'three-toed sloth', 'white wolf']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'cougar', 'brown bear', 'otter', 'meerkat']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,knot,"['knot', 'chain', 'frilled lizard', 'American alligator', 'stone wall']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'custard apple', 'artichoke', 'gong']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,Labrador retriever,"['Labrador retriever', 'golden retriever', 'Great Pyrenees', 'clumber', 'kuvasz']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,alligator lizard,"['alligator lizard', 'black and gold garden spider', 'box turtle', 'diamondback', 'echidna']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,corn,"['corn', 'ear', 'honeycomb', 'hamper', 'French loaf']"
