,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,alp,"['alp', 'flatworm', 'cliff', 'necklace', 'airship']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,throne,"['throne', 'cuirass', 'traffic light', 'switch', 'bulletproof vest']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'bulletproof vest', 'cuirass', 'breastplate', 'ski mask']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'bonnet', 'throne', 'rocking chair', 'nail']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,abaya,"['abaya', 'envelope', 'Windsor tie', 'airship', 'knee pad']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cliff', 'volcano', 'pencil sharpener', 'vase']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,flatworm,"['flatworm', 'bison', 'Irish water spaniel', 'Scotch terrier', 'Labrador retriever']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,hook,"['hook', 'holster', 'microphone', 'bulletproof vest', 'cleaver']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Irish wolfhound,"['Irish wolfhound', 'vizsla', 'Labrador retriever', 'giant schnauzer', 'Doberman']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,binoculars,"['binoculars', 'sunglass', 'microphone', 'whistle', 'flatworm']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'black widow', 'tick']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'shield', 'shovel', 'toilet seat', 'bathing cap']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,sunglass,"['sunglass', 'sunglasses', 'whistle', 'microphone', 'loupe']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,scorpion,"['scorpion', 'coral fungus', 'chain', 'banded gecko', 'jersey']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,knot,"['knot', 'letter opener', 'microphone', 'scabbard', 'can opener']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,warplane,"['warplane', 'triceratops', 'black grouse', 'coil', 'breastplate']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,pick,"['pick', 'electric ray', 'shovel', 'shield', 'toilet seat']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,envelope,"['envelope', 'wallet', 'binder', 'dishwasher', 'screw']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,flatworm,"['flatworm', 'microphone', 'sea cucumber', 'chain', 'kite']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'black and gold garden spider', 'black widow']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,traffic light,"['traffic light', 'nail', 'hook', 'hatchet', 'pencil sharpener']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'pencil sharpener', 'earthstar', 'black grouse']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,envelope,"['envelope', 'screw', 'pencil sharpener', 'handkerchief', 'warplane']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hatchet,"['hatchet', 'hammer', 'nail', 'pole', 'cleaver']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Labrador retriever,"['Labrador retriever', 'Newfoundland', 'flat-coated retriever', 'vizsla', 'binoculars']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,shield,"['shield', 'pick', 'bathing cap', 'toilet seat', 'gong']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,ski mask,"['ski mask', 'mask', 'can opener', 'bib', 'neck brace']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,can opener,"['can opener', 'hook', 'hammer', 'nail', 'microphone']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,hook,"['hook', 'flatworm', 'Arabian camel', 'cliff', 'hatchet']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,can opener,"['can opener', 'whistle', ""carpenter's kit"", 'warplane', 'stretcher']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,Labrador retriever,"['Labrador retriever', 'ibex', 'schipperke', 'bison', 'airship']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,warplane,"['warplane', 'nail', 'hook', 'starfish', 'knot']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,triceratops,"['triceratops', 'chain', 'pencil sharpener', 'traffic light', 'African chameleon']"
