,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'vase', 'corkscrew', 'wall clock', 'stole']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'pencil box', 'ski', 'bib', 'mailbag']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,ski,"['ski', 'stretcher', 'sunglass', 'gondola', 'sleeping bag']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,scorpion,"['scorpion', 'wolf spider', 'fiddler crab', 'barn spider', 'rock crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,drum,"['drum', 'bib', 'lumbermill', 'breastplate', 'cuirass']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,sleeping bag,"['sleeping bag', 'volcano', 'stole', 'pencil box', 'stretcher']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,puck,"['puck', 'swab', 'crash helmet', 'coil', 'croquet ball']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'scorpion', 'tick', 'Great Dane', 'groenendael']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'microphone', 'power drill', 'binoculars', 'spotlight']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sleeping bag,"['sleeping bag', 'pencil box', 'sea cucumber', 'stretcher', 'purse']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,book jacket,"['book jacket', 'stole', 'shower cap', 'swab', 'comic book']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,water jug,"['water jug', 'coffee mug', 'cup', 'pitcher', 'whiskey jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'pencil box', 'swab', 'letter opener', 'stretcher']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,head cabbage,"['head cabbage', 'mud turtle', 'bonnet', 'dung beetle', 'leatherback turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,face powder,"['face powder', 'drum', 'bib', 'gong', 'baseball']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hand blower,"['hand blower', 'crutch', 'rifle', 'power drill', 'sewing machine']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,hook,"['hook', 'hatchet', 'horned viper', 'hammer', 'stole']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,bib,"['bib', 'diaper', 'shield', 'bathing cap', 'drum']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'hair slide', 'binder', 'swab', 'bib']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,envelope,"['envelope', 'binder', 'hard disc', 'oscilloscope', 'radio']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'Border collie', 'Cardigan', 'Gordon setter']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,oscilloscope,"['oscilloscope', 'microwave', 'hard disc', 'rotisserie', 'binder']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'folding chair', 'throne', 'park bench', 'barber chair']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,toilet seat,"['toilet seat', 'buckle', 'bib', 'pick', 'hair slide']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,scorpion,"['scorpion', 'American lobster', 'crayfish', 'mountain bike', 'ant']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'otter', 'Labrador retriever', 'curly-coated retriever']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'chime', 'drum', 'bucket', 'Petri dish']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,bonnet,"['bonnet', 'nematode', 'stole', 'brassiere', 'bolo tie']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,knot,"['knot', 'hook', 'stole', 'bib', 'buckle']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,bathing cap,"['bathing cap', 'bib', 'shower cap', 'mouse', 'diaper']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,Christmas stocking,"['Christmas stocking', 'electric ray', 'wall clock', 'brassiere', 'chambered nautilus']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,bathing cap,"['bathing cap', 'shower cap', 'bib', 'toilet seat', 'face powder']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,sleeping bag,"['sleeping bag', 'stretcher', 'pencil box', 'rifle', 'scabbard']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,revolver,"['revolver', 'holster', 'assault rifle', 'rifle', 'cornet']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,bathing cap,"['bathing cap', 'soccer ball', 'crash helmet', 'basketball', 'mountain tent']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,assault rifle,"['assault rifle', 'revolver', 'rifle', 'holster', 'bow']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,pencil box,"['pencil box', 'sea cucumber', 'American alligator', 'purse', 'sleeping bag']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,water jug,"['water jug', 'pitcher', 'coffeepot', 'coffee mug', 'cup']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,bib,"['bib', 'drum', 'nematode', 'shield', 'gong']"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,bonnet,"['bonnet', 'balloon', 'electric ray', 'bathing cap', 'strainer']"
