,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'wig', 'fire screen', 'lampshade', 'chain']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,chain mail,"['chain mail', 'affenpinscher', 'skunk', 'coral fungus', 'Kerry blue terrier']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,chain,"['chain', 'chain mail', 'necklace', 'hair slide', 'strainer']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'chain', 'window screen', 'safety pin', 'fire screen']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,sax,"['sax', 'oboe', 'bassoon', 'nematode', 'whistle']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain mail,"['chain mail', 'chain', 'skunk', 'nematode', 'wig']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'window screen', 'chain', 'coral fungus', 'fire screen']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Sealyham terrier,"['Sealyham terrier', 'Scotch terrier', 'chain mail', 'affenpinscher', 'hen-of-the-woods']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'coral fungus', 'chain mail', 'fire screen', 'hen-of-the-woods']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,chain mail,"['chain mail', 'Irish water spaniel', 'affenpinscher', 'jigsaw puzzle', 'oboe']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'fire screen', 'window screen', 'wig', 'coral fungus']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'oboe', 'submarine', 'barn spider']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,oboe,"['oboe', 'necklace', 'chain', 'ant', 'bassoon']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,crossword puzzle,"['crossword puzzle', 'loupe', 'oboe', 'coral fungus', 'fire screen']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'fire screen', 'window screen', 'volcano']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,oboe,"['oboe', 'crossword puzzle', 'coral fungus', 'loupe', 'jigsaw puzzle']"
