,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'microphone', 'wig', 'chain', 'wool']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'Bouvier des Flandres', 'broccoli', 'chain mail']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,chain mail,"['chain mail', 'conch', 'strainer', 'starfish', 'screw']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'whistle', 'chain', 'stopwatch', 'neck brace']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'necklace', 'whistle', 'stopwatch', 'power drill']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,skunk,"['skunk', 'chain mail', 'chain', 'badger', 'hair slide']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'microphone', 'wig', 'whistle', 'nail']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'affenpinscher', 'Scotch terrier', 'Irish water spaniel', 'Bouvier des Flandres']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'wig', 'Kerry blue terrier', 'doormat', 'Irish water spaniel']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Scottish deerhound,"['Scottish deerhound', 'Irish wolfhound', 'curly-coated retriever', 'Irish water spaniel', 'groenendael']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,wig,"['wig', 'chain mail', 'Kerry blue terrier', 'hen-of-the-woods', 'broccoli']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,banded gecko,"['banded gecko', 'ant', 'scorpion', 'bassoon', 'oboe']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,tick,"['tick', 'barn spider', 'wolf spider', 'spider web', 'garden spider']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,bassoon,"['bassoon', 'ant', 'sax', 'oboe', 'violin']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,broccoli,"['broccoli', 'wig', 'safety pin', 'hair slide', 'hen-of-the-woods']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'barn spider', 'bassoon', 'scorpion', 'Gila monster']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'bassoon', 'flute', 'sax', 'nematode']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'garden spider', 'wolf spider', 'spider web', 'tarantula']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'screw', 'plunger', 'torch', 'chain saw']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,park bench,"['park bench', 'obelisk', 'lakeside', 'picket fence', 'balloon']"
