,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'cauliflower', 'gyromitra', 'earthstar']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'corkscrew', 'hen-of-the-woods', 'chain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,cockroach,"['cockroach', 'goldfish', 'crayfish', 'apiary', 'coral reef']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,barracouta,"['barracouta', 'goose', 'coho', 'tench', 'drake']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,swimming trunks,"['swimming trunks', 'stole', 'purse', 'beer bottle', 'velvet']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,cinema,"['cinema', 'mortarboard', 'academic gown', 'maze', 'library']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'sandal', 'library', 'clog', 'sunglasses']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'consomme', 'orange', 'butternut squash', 'candle']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'desk', 'bookcase', 'monitor', 'desktop computer']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,velvet,"['velvet', 'honeycomb', 'bee', 'shoe shop', 'ruddy turnstone']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,gyromitra,"['gyromitra', 'pineapple', 'hen-of-the-woods', 'jackfruit', 'custard apple']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,corkscrew,"['corkscrew', 'buckle', 'drum', 'revolver', 'cuirass']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,trifle,"['trifle', 'strawberry', 'daisy', 'eggnog', 'ice cream']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'gyromitra', 'coral fungus', 'jackfruit']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'potpie', 'cauliflower', 'corn', 'pizza']"
