,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'meat loaf', 'head cabbage', 'wok']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,custard apple,"['custard apple', 'spaghetti squash', 'Granny Smith', ""yellow lady's slipper"", 'fig']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', ""carpenter's kit"", 'chain saw', 'crate', 'assault rifle']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'earthstar', 'oxygen mask', 'triceratops', 'Boston bull']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,Boston bull,"['Boston bull', 'Cardigan', 'Saint Bernard', 'whippet', 'basset']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'wing', 'projectile', 'missile', 'aircraft carrier']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Mexican hairless,"['Mexican hairless', 'Italian greyhound', 'football helmet', 'breastplate', 'meerkat']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cocker spaniel', 'Bouvier des Flandres', 'Dandie Dinmont', 'Sussex spaniel']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'wolf spider', 'harvestman']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'goose', 'magpie', 'black swan', 'albatross']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'trifle', 'chocolate sauce', 'ice cream', 'bell pepper']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'bullfrog', 'tree frog', 'custard apple', 'common newt']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'chiton', 'cliff', 'gyromitra']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,barracouta,"['barracouta', 'hammerhead', 'coho', 'tiger shark', 'sturgeon']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Sealyham terrier,"['Sealyham terrier', 'wire-haired fox terrier', 'miniature schnauzer', 'Lakeland terrier', 'Dandie Dinmont']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'nematode', 'water snake', 'vine snake', 'night snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,switch,"['switch', 'acoustic guitar', 'electric guitar', 'reel', 'maraca']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'hog', 'warthog', 'water buffalo', 'gyromitra']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,stretcher,"['stretcher', 'warplane', 'parachute', 'terrapin', 'leatherback turtle']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'stage']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'honeycomb', 'American lobster', 'mashed potato']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'printer', 'sewing machine', 'stretcher', 'guillotine']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,gyromitra,"['gyromitra', 'redbone', 'Rhodesian ridgeback', 'bloodhound', 'vizsla']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,pretzel,"['pretzel', 'lemon', 'bagel', 'honeycomb', 'spaghetti squash']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ptarmigan,"['ptarmigan', 'red-backed sandpiper', 'ruddy turnstone', 'prairie chicken', 'kite']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,power drill,"['power drill', 'hair slide', 'chain saw', 'bow', 'plane']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,cucumber,"['cucumber', 'packet', 'sleeping bag', 'zucchini', 'corn']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'meat loaf', 'head cabbage', 'wok']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,malamute,"['malamute', 'Eskimo dog', 'German shepherd', 'Saint Bernard', 'Siberian husky']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,African hunting dog,"['African hunting dog', 'pug', 'Irish wolfhound', 'Arabian camel', 'three-toed sloth']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,wood rabbit,"['wood rabbit', 'hare', 'hen-of-the-woods', 'stole', 'honeycomb']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,oxygen mask,"['oxygen mask', 'gasmask', 'neck brace', 'crash helmet', 'mask']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,assault rifle,"['assault rifle', 'plastic bag', 'rifle', 'scabbard', 'muzzle']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,grey fox,"['grey fox', 'plastic bag', 'fox squirrel', 'tabby', 'Egyptian cat']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,honeycomb,"['honeycomb', 'orange', 'lemon', 'bee', 'apiary']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,desk,"['desk', 'entertainment center', 'microwave', 'file', 'photocopier']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'chocolate sauce', 'English springer', 'clog', 'trifle']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'triceratops', 'wild boar', 'butcher shop', 'Indian elephant']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,bloodhound,"['bloodhound', 'Arabian camel', 'triceratops', 'Indian elephant', 'bull mastiff']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Airedale', 'stole', 'Lakeland terrier', 'wool']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,knot,"['knot', 'bow', 'cliff', 'promontory', 'mink']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,wool,"['wool', 'hen-of-the-woods', 'stole', 'poncho', 'triceratops']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'caldron', 'shower cap', 'wok']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,triceratops,"['triceratops', 'basset', 'kelpie', 'bloodhound', 'black-and-tan coonhound']"
44,SilTex_rabbit_ILSVRC2012_val_00006108_st.jpg,plastic bag,"['plastic bag', 'hen-of-the-woods', 'gyromitra', 'shower cap', 'pedestal']"
45,SilTex_squirrel_ILSVRC2012_val_00035501_st.jpg,African chameleon,"['African chameleon', 'frilled lizard', 'marmoset', 'jacamar', 'titi']"
46,SilTex_shoe_ILSVRC2012_val_00020303_st.jpg,warplane,"['warplane', 'bow', 'rifle', 'assault rifle', 'projectile']"
47,SilTex_lobster_ILSVRC2012_val_00002502_st.jpg,centipede,"['centipede', 'American lobster', 'crayfish', 'isopod', 'cockroach']"
48,SilTex_frog_ILSVRC2012_val_00022660_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'head cabbage', 'broccoli', 'artichoke', 'cauliflower']"
49,SilTex_flower_ILSVRC2012_val_00019320_st.jpg,daisy,"['daisy', 'paper towel', 'plastic bag', 'toilet tissue', 'bee']"
50,SilTex_swine_ILSVRC2012_val_00016806_st.jpg,hog,"['hog', 'wild boar', 'triceratops', 'warthog', 'Scotch terrier']"
51,SilTex_spider_ILSVRC2012_val_00008805_st.jpg,black and gold garden spider,"['black and gold garden spider', 'garden spider', 'barn spider', 'spider web', 'harvestman']"
52,SilTex_fish_ILSVRC2012_val_00032417_st.jpg,great white shark,"['great white shark', 'tiger shark', 'sturgeon', 'hammerhead', 'barracouta']"
53,SilTex_chair_ILSVRC2012_val_00041720_st.jpg,throne,"['throne', 'rocking chair', 'hamper', 'barber chair', 'panpipe']"
54,SilTex_cabbage_ILSVRC2012_val_00005749_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'plastic bag', 'shower cap', 'broccoli']"
55,SilTex_gun_ILSVRC2012_val_00012180_st.jpg,revolver,"['revolver', 'holster', 'assault rifle', 'rifle', 'book jacket']"
56,SilTex_lemon_ILSVRC2012_val_00034286_st.jpg,yellow lady's slipper,"[""yellow lady's slipper"", 'lemon', 'bell pepper', 'Granny Smith', 'slug']"
57,SilTex_mug_ILSVRC2012_val_00025893_st.jpg,toilet seat,"['toilet seat', 'soap dispenser', 'water bottle', 'toilet tissue', 'neck brace']"
58,SilTex_horse_ILSVRC2012_val_00029082_st.jpg,gyromitra,"['gyromitra', 'cougar', 'lion', 'bloodhound', 'cliff']"
59,SilTex_bellpepper_ILSVRC2012_val_00009973_st.jpg,bell pepper,"['bell pepper', 'gyromitra', 'guacamole', 'container ship', 'head cabbage']"
60,SilTex_horse_ILSVRC2012_val_00011600_st.jpg,sorrel,"['sorrel', 'ibex', 'ox', 'Arabian camel', 'horse cart']"
61,SilTex_cat_ILSVRC2012_val_00000796_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Bouvier des Flandres', 'wool', 'Scotch terrier', 'gyromitra']"
62,SilTex_gun_ILSVRC2012_val_00003457_st.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'bow']"
63,SilTex_broccoli_ILSVRC2012_val_00019851_st.jpg,broccoli,"['broccoli', 'cauliflower', 'meat loaf', 'head cabbage', 'mashed potato']"
64,SilTex_bear_ILSVRC2012_val_00011967_st.jpg,Sussex spaniel,"['Sussex spaniel', 'Leonberg', 'otterhound', 'briard', 'bloodhound']"
65,SilTex_elephant_ILSVRC2012_val_00035479_st.jpg,Indian elephant,"['Indian elephant', 'Mexican hairless', 'Italian greyhound', 'tusker', 'Great Dane']"
66,SilTex_snail_ILSVRC2012_val_00001959_st.jpg,isopod,"['isopod', 'snail', 'quill', 'cockroach', 'electric ray']"
67,SilTex_car_ILSVRC2012_val_00037492_st.jpg,warplane,"['warplane', 'snowmobile', 'wing', 'stretcher', 'racer']"
68,SilTex_pineapple_ILSVRC2012_val_00012582_st.jpg,pineapple,"['pineapple', 'hen-of-the-woods', 'plate', 'pot', 'corn']"
69,SilTex_banana_ILSVRC2012_val_00021860_st.jpg,banana,"['banana', 'orange', 'spaghetti squash', 'pineapple', 'lemon']"
70,SilTex_lemon_ILSVRC2012_val_00048264_st.jpg,Granny Smith,"['Granny Smith', 'brain coral', 'bagel', 'potpie', 'jackfruit']"
71,SilTex_butterfly_ILSVRC2012_val_00015608_st.jpg,admiral,"['admiral', 'ringlet', 'lycaenid', 'sulphur butterfly', 'electric ray']"
72,SilTex_snake_ILSVRC2012_val_00024301_st.jpg,sunglass,"['sunglass', 'tick', 'nematode', 'mailbag', 'muzzle']"
73,SilTex_bear_ILSVRC2012_val_00041813_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'bloodhound', 'Sussex spaniel', 'cocker spaniel']"
74,SilTex_car_ILSVRC2012_val_00005456_st.jpg,parachute,"['parachute', 'flagpole', 'sleeping bag', 'stretcher', 'snowmobile']"
75,SilTex_guitar_ILSVRC2012_val_00036762_st.jpg,electric ray,"['electric ray', 'electric guitar', 'hair slide', 'bow', 'hatchet']"
76,SilTex_hippopotamus_ILSVRC2012_val_00045847_st.jpg,Welsh springer spaniel,"['Welsh springer spaniel', 'cocker spaniel', 'Blenheim spaniel', 'Sussex spaniel', 'English springer']"
77,SilTex_hammer_ILSVRC2012_val_00032002_st.jpg,hatchet,"['hatchet', 'hammer', 'reel', 'shovel', 'pole']"
78,SilTex_hippopotamus_ILSVRC2012_val_00006991_st.jpg,hippopotamus,"['hippopotamus', 'hen-of-the-woods', 'gyromitra', 'triceratops', 'Indian elephant']"
79,SilTex_butterfly_ILSVRC2012_val_00025307_st.jpg,lycaenid,"['lycaenid', 'ringlet', 'admiral', 'cabbage butterfly', 'sulphur butterfly']"
80,SilTex_monkey_ILSVRC2012_val_00030191_st.jpg,Welsh springer spaniel,"['Welsh springer spaniel', 'wire-haired fox terrier', 'Blenheim spaniel', 'English springer', 'cocker spaniel']"
81,SilTex_helmet_ILSVRC2012_val_00047186_st.jpg,shower cap,"['shower cap', 'ski', 'crash helmet', 'alp', 'plastic bag']"
82,SilTex_gun_ILSVRC2012_val_00002840_st.jpg,revolver,"['revolver', 'holster', 'assault rifle', 'rifle', 'bulletproof vest']"
83,SilTex_snake_ILSVRC2012_val_00013400_st.jpg,sidewinder,"['sidewinder', 'horned viper', 'diamondback', 'night snake', 'rock python']"
84,SilTex_pineapple_ILSVRC2012_val_00009015_st.jpg,pineapple,"['pineapple', 'banana', 'kimono', 'strawberry', 'jackfruit']"
85,SilTex_mushroom_ILSVRC2012_val_00009394_st.jpg,agaric,"['agaric', 'mushroom', 'stinkhorn', 'bolete', 'earthstar']"
86,SilTex_mushroom_ILSVRC2012_val_00039698_st.jpg,plastic bag,"['plastic bag', 'paintbrush', 'diaper', 'jellyfish', 'ear']"
87,SilTex_microwave_ILSVRC2012_val_00038763_st.jpg,desktop computer,"['desktop computer', 'photocopier', 'espresso maker', 'monitor', 'printer']"
88,SilTex_airplane_ILSVRC2012_val_00011168_st.jpg,warplane,"['warplane', 'projectile', 'missile', 'airliner', 'wing']"
89,SilTex_crocodilian_ILSVRC2012_val_00038287_st.jpg,ski,"['ski', 'bow', 'cliff', 'ski mask', 'alp']"
90,SilTex_mug_ILSVRC2012_val_00043571_st.jpg,swimming trunks,"['swimming trunks', 'shower cap', 'diaper', 'maillot', 'pick']"
91,SilTex_hammer_ILSVRC2012_val_00028069_st.jpg,matchstick,"['matchstick', 'hammer', 'hatchet', 'bow', 'rifle']"
