,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,stole,"['stole', 'chain mail', 'puck', 'poncho', 'African chameleon']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,stole,"['stole', 'chain mail', 'swab', 'vacuum', 'window screen']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,stole,"['stole', 'airship', 'swab', 'ear', 'poncho']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,stole,"['stole', 'Christmas stocking', 'chain mail', 'balloon', 'vacuum']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'sea snake', 'corkscrew', 'necklace', 'water snake']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,stole,"['stole', 'Christmas stocking', 'wool', 'airship', 'macaw']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,stole,"['stole', 'chain mail', 'swab', 'radio telescope', 'window screen']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'Christmas stocking', 'poncho', 'vacuum', 'African chameleon']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,stole,"['stole', 'Christmas stocking', 'window screen', 'wall clock', 'chain mail']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Christmas stocking,"['Christmas stocking', 'affenpinscher', 'stole', 'ant', 'analog clock']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,stole,"['stole', 'chain mail', 'puck', 'balloon', 'poncho']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,table lamp,"['table lamp', 'ant', 'airship', 'pole', 'aircraft carrier']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,pole,"['pole', 'isopod', 'affenpinscher', 'analog clock', 'screw']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,ant,"['ant', 'pole', 'Christmas stocking', 'affenpinscher', 'analog clock']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'swab', 'Christmas stocking', 'puck', 'window screen']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,pole,"['pole', 'doormat', 'Christmas stocking', 'affenpinscher', 'toucan']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,stole,"['stole', 'panpipe', 'Christmas stocking', 'hair slide', 'chain saw']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,ant,"['ant', 'aircraft carrier', 'isopod', 'cockroach', 'pole']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,table lamp,"['table lamp', 'isopod', 'stole', 'nail', 'screw']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,stole,"['stole', 'pole', 'Christmas stocking', 'airship', 'window screen']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'table lamp', 'aircraft carrier', 'pole', 'crane']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'stole', 'swab', 'ant', 'radio telescope']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,stole,"['stole', 'puck', 'window screen', 'Christmas stocking', 'pole']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,stole,"['stole', 'Christmas stocking', 'poncho', 'wool', 'window screen']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,stole,"['stole', 'Christmas stocking', 'chain mail', 'poncho', 'chain saw']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,stole,"['stole', 'Christmas stocking', 'pole', 'affenpinscher', 'skunk']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,stole,"['stole', 'Christmas stocking', 'wall clock', 'puck', 'vase']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,screw,"['screw', 'stole', 'airship', 'swab', 'pole']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,stole,"['stole', 'strainer', 'swab', 'ear', 'African chameleon']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,stole,"['stole', 'pole', 'Christmas stocking', 'ant', 'airship']"
